怪物形象,开采效率[据点类型]= vip效率
vipLevel_kn,efficiency_t
1,"[1]=0,[2]=0,[3]=0"
2,"[1]=0,[2]=0,[3]=0"
3,"[1]=0,[2]=0,[3]=0"
4,"[1]=0,[2]=0,[3]=0"
5,"[1]=0.05,[2]=0.15,[3]=0.2"
6,"[1]=0.05,[2]=0.15,[3]=0.2"
7,"[1]=0.1,[2]=0.2,[3]=0.5"
8,"[1]=0.1,[2]=0.2,[3]=0.5"
9,"[1]=0.15,[2]=0.35,[3]=0.75"
10,"[1]=0.15,[2]=0.35,[3]=0.75"
11,"[1]=0.2,[2]=0.5,[3]=1"
12,"[1]=0.2,[2]=0.5,[3]=1"
13,"[1]=0.2,[2]=0.5,[3]=1"
14,"[1]=0.2,[2]=0.5,[3]=1"
15,"[1]=0.2,[2]=0.5,[3]=1"
16,"[1]=0.2,[2]=0.5,[3]=1"
17,"[1]=0.2,[2]=0.5,[3]=1"
18,"[1]=0.2,[2]=0.5,[3]=1"
19,"[1]=0.2,[2]=0.5,[3]=1"
20,"[1]=0.2,[2]=0.5,[3]=1"
