功能索引,开启类型（1 等级，2 关卡，3 任务）,开启参数（1 2 3类型的不需要）填,功能标识数位,功能说明
funcName_ks,openType_n,openParam_t,funcOrder,dec_c
zuoqi,1,10,1,坐骑
cailiaofuben,1,20,2,材料副本
xianlv,1,20,3,仙君
zhucheng,1,20,4,主城
chenghao,1,25,5,称号
longwangbaozang,1,30,6,秘境宝藏
xiaoleiyinsi,1,40,7,皇城天塔
global,1,40,8,跨服
shizhuang,1,40,9,时装
xiyoulilian,1,45,10,西游历练
huodong,1,45,11,活动
tianxian,1,50,12,天仙
gonghui,1,52,13,帮会
tiantingshilian,1,55,14,三界试炼
sanshengsanshi,1,55,15,家园
paihangbang,1,56,16,排行帮
danyao,1,60,17,丹药
shenbing,1,65,18,神兵
yewaiBOSS,1,70,19,野外BOSS
chibang,1,70,20,翅膀
fazhen,1,74,21,法阵
xianwei,1,78,22,神位
tongling,1,82,23,通灵
shouhun,1,86,24,元神
jingmai,1,95,25,经脉
tiannv,1,100,26,女儿国王
shengsijie,1,105,27,生死劫
xianqi,1,105,28,仙器
huanian,1,110,29,花辇
lingqi,1,115,30,灵气
fabao1,1,120,31,法宝槽位1
fabao2,1,135,32,法宝槽位2
fabao3,1,150,33,法宝槽位3
fabao4,1,165,34,法宝槽位4
xiyouxiangyao,1,40,35,西游降妖
shenzhuang,1,140,36,神装
xingling,1,1,37,星灵
judian,1,80,38,据点
shenchongmilu,1,25,39,宠物召集
