功能索引（定义的索引）,功能索引（顺序序号）,名称,开启条件,奖励描述（特殊的，例如战力提升）,特效,显示模型的ID,添加人物模型,缩放,位置,显示的奖励预览
funcName_ks,funcIndex_n,name_s,conditionDes_s,prizeDes_s,effect_s,monModelId,shape_t,scale,pos_t,showItem_t
zuoqi,1,坐骑,10#rf级开启,战力提升:#green2500,,15001,,1,"{0,0}","{""item"",20001,10}, {""item"",20001,10}, {""item"",20001,10}"
xianlv,2,仙君,20#rf级开启,战力提升:#green3200,,17002,,1,"{0,50}","{""item"",20014,10}, {""item"",20014,10}, {""item"",20014,10}"
chenghao,3,称号,25#rf级开启,战力提升:#green4000,xsChengHao,,,1,"{0,20}","{""bindRmb"",100}, {""bindRmb"",100}, {""bindRmb"",100}"
shizhuang,4,时装,40#rf级开启,战力提升:#green4900,,90010,"{""role"",""heroShapeId""}",0.8,"{0,30}","{""bindRmb"",100}, {""bindRmb"",100}, {""bindRmb"",100}"
xiyoulilian,5,西游历练,45#rf级开启,战力提升:#green5900,,9901,,0.5,"{0,0}","{""bindRmb"",100}, {""bindRmb"",100}, {""bindRmb"",100}"
tianxian,6,天仙,50#rf级开启,战力提升:#green7000,,11001,,1,"{0,100}","{""item"",20002,10}, {""item"",20002,10}, {""item"",20002,10}"
danyao,7,丹药,60#rf级开启,战力提升:#green2250,xsShengMingDan,,,1,"{0,0}","{""item"",60025,3}, {""item"",60026,3}, {""item"",60027,3}"
shenbing,8,神兵,65#rf级开启,战力提升:#green8300,,12004,"{""role"",""weaponShapeId""}",0.8,"{0,30}","{""item"",20003,10}, {""item"",20003,10}, {""item"",20003,10}"
chibang,9,翅膀,70#rf级开启,战力提升:#green9700,,13001,"{""role"",""wingShapeId""}",0.8,"{0,30}","{""item"",20004,10}, {""item"",20004,10}, {""item"",20004,10}"
fazhen,10,法阵,74#rf级开启,战力提升:#green11200,,18001,"{""xianlv"",""xlFZShapeId""}",0.8,"{0,10}","{""item"",20005,10}, {""item"",20005,10}, {""item"",20005,10}"
xianwei,11,神位,78#rf级开启,战力提升:#green12700,,19001,"{""xianlv"",""xlXWShapeId""}",1,"{0,70}","{""item"",20006,10}, {""item"",20006,10}, {""item"",20006,10}"
tongling,12,通灵,82#rf级开启,战力提升:#green13900,,18001,"{""pet"",""petTLShapeId""}",0.7,"{0,0}","{""item"",20007,10}, {""item"",20007,10}, {""item"",20007,10}"
shouhun,13,元神,86#rf级开启,战力提升:#green15000,,22001,"{""pet"",""petSHShapeId""}",1,"{0,50}","{""item"",20008,10}, {""item"",20008,10}, {""item"",20008,10}"
tiannv,14,女儿国王,100#rf级开启,战力提升:#green16500,,23001,,0.8,"{0,50}","{""item"",20009,10}, {""item"",20009,10}, {""item"",20009,10}"
xianqi,15,仙器,105#rf级开启,战力提升:#green18000,,23001,,0.8,"{0,50}","{""item"",20010,10}, {""item"",20010,10}, {""item"",20010,10}"
huanian,16,花辇,110#rf级开启,战力提升:#green19500,,23001,,0.8,"{0,50}","{""item"",20011,10}, {""item"",20011,10}, {""item"",20011,10}"
lingqi,17,灵气,115#rf级开启,战力提升:#green21000,,23001,,0.8,"{0,50}","{""item"",20012,10}, {""item"",20012,10}, {""item"",20012,10}"
fabao1,18,法宝,120#rf级开启,战力提升:#green21000,xsFaBao,,,1,"{0,0}","{""item"",60074,10}, {""item"",60075,5}, {""item"",60075,5}"
shenzhuang,19,神装,140#rf级开启,战力提升:#green21000,xsshenzhuang,,,1,"{0,0}","{""bindRmb"",100}, {""bindRmb"",100}, {""bindRmb"",100}"
judian,38,天宫,80#rf级开启,,,,,,,"{""item"",60114,5}, {""item"",60126,5}, {""item"",60127,5}, {""item"",60132,5}, {""item"",60137,5}, {""item"",60139,5}"
