引导Index,动作Index,监听动作的条件，防止加载没用的引导,监听事件,监听参数,执行动作,动作参数,描述
GuideIndex_kn,ActionIndex_kn,ListenCondition_t,ListenEvent_s,ListenParam_t,Action_s,ActionParam_t,des_c
#穿戴装备,,,,,,,
10001,1,"HeroLevel = {""<="", 50}",LogIn,"[""record""]={{""30001"", ""NULL""}},[""finishTask""]={1001,false}",MovableAnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20,[""moveTarget""]=""RoleFrame/group_equips/btn_Echange"",[""moveTime""]=500,[""targetOffsetX""]=30,[""targetOffsetY""]=-30",
10001,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
10001,3,,,,AddListen,["listen"]=20003,
10002,1,"HeroLevel = {""<="", 50}",LogIn,"[""record""]={{""30001"", ""NULL""}},[""finishTask""]={1001,true}",AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20",
10002,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
10002,3,,,,AddListen,["listen"]=20009,
20003,1,,UIShow,["windowName"] = "RoleFrame",AnimTips,"[""window""]=""RoleFrame/group_equips/btn_Echange"",[""animbox""]=""yuan"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-10,[""width""]=20,[""height""]=20",
20003,2,,,,AddListen,["listen"]=20005,
20005,1,,FinishTask,"[""finishTask""]={1001,true}",ClearAction,"[""index""]={20003,1}",
20005,2,,,,ClearAction,"[""index""]={20003,2}",
20005,3,,,,ClearAction,"[""index""]={10001,1}",
20005,4,,,,ClearAction,"[""index""]={10001,2}",
20005,5,,,,MovableAnimTips,"[""window""]=""RoleFrame/group_equips/btn_Echange"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=30,[""offsetY""]=-30,[""moveTarget""]=""RoleFrame/group_bottom/btn_back"",[""moveTime""]=500,[""targetOffsetX""]=0,[""targetOffsetY""]=-20",
20005,6,,,,AnimTips,"[""window""]=""RoleFrame/group_bottom/btn_back"",[""animbox""]=""yuan"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-10,[""width""]=20,[""height""]=20",
20005,7,,,,AddListen,["listen"]=20007,
20007,1,,BeforeWindowClose,["window"] = "RoleFrame",ClearAction,"[""index""]={20005,5}",
20007,2,,,,ClearAction,"[""index""]={20005,6}",
20007,3,,,,MovableAnimTips,"[""window""]=""RoleFrame/group_bottom/btn_back"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=30,[""offsetY""]=-30,[""moveTarget""]=""MainContentFrame/task_wnd"",[""moveTime""]=500,[""targetOffsetX""]=180,[""targetOffsetY""]=-20",
20007,4,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
20007,5,,,,AddListen,["listen"]=20009,
20009,1,,ClickButton,["buttonName"] = "task_wnd",ClearAction,"[""index""]={20007,3}",
20009,2,,,,ClearAction,"[""index""]={20007,4}",
20009,3,,,,ClearAction,"[""index""]={10002,1}",
20009,4,,,,ClearAction,"[""index""]={10002,2}",
20009,5,,,,Record,"[""key""]=""30001"",[""value""]=""1""",
20009,6,,,,AddListen,["listen"]=20101,
20009,7,,,,AddListen,["listen"]=20108,
#,,,,,,,
#技能升级,,,,,,,
10101,1,"HeroLevel = {""<="", 50}",LogIn,"[""record""]={{""30001"", ""1""},{""30002"", ""NULL""}},[""finishTask""]={1003,false}",MovableAnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20,[""moveTarget""]=""RoleFrame/group_skills/group_Sbottom/group_Sright/btn_S_onekeyUp"",[""moveTime""]=500,[""targetOffsetX""]=0,[""targetOffsetY""]=-20",
10101,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
