任务序号,对话序号,任务名字,类型（0普通1隐形节点）,npcId,对话npc,选择显示面板（1是正常对话框，2是剧情对话框）,仅对nodeId=0使用。nodeId=0是功能按钮，判断是否隐藏功能按钮。nodeId=0时候，如果有跳转判断就会自动切入对话,内容 ,选项1,跳转1,操作1（1记录对话节点2提交任务3触发战斗4记录npc）,选项2,跳转2,操作2,选项3,跳转3,操作3,选项4,跳转4,操作4
TalkId_n,NodeId_n,Name_s,type,NpcIds_s,NpcNames_c,frametype_n,Show_t,Content_s,Option1_s,NextNode1_t,Operation1_t,Option2_s,NextNode2_t,Operation2_t,Option3_s,NextNode3_t,Operation3_t,Option4_s,NextNode4_t,Operation4_t
500000,1,封魔任务,1,11005,冥王哈迪斯,1,,冥界最近比较不稳定，走出了一批恶魔。你可以帮我把他们封印起来吗？#deepskyblue队长#rf在任务过程中还可以获得#deepskyblue额外奖励#rf噢。领取任务后会在#deepskyblue队伍频道#rf显示,,"{3,{[""完成任务""]=500000}},{2}",,,,,,,,,,
500000,2,封魔任务,0,11005,玩家,1,,#norb快去封印吧，组队频道会显示怪物信息，请留意,,0,,,,,,,,,,
500000,3,封魔任务,0,11005,冥王哈迪斯,1,,#norb还不错,,0,"""提交任务""",,,,,,,,,
500000,4,封魔任务,1,40034,鱼魔（封魔）,1,,,,"{6,{[""密钥或宝箱""]=true}},{5}",,,,,,,,,,
500000,5,封魔任务,1,40034,鱼魔（封魔）,1,,#norb这TM也能给你发现？！！！,干它,0,"""触发战斗""",暂时放过它,0,,,,,,,
500000,6,封魔任务,1,40034,鱼魔（封魔）,1,,,,0,"""弹幕提示"", [""param""] = {2, ""持有锁匙或宝箱时不能攻击""}",,,,,,,,,
500001,1,封魔任务,1,11005,冥王哈迪斯,1,,,,"{3,{[""完成任务""]=500001}},{2}",,,,,,,,,,
500001,2,封魔任务,0,11005,玩家,1,,#norb快去刷怪吧，组队频道会显示怪物信息，请留意,,0,,,,,,,,,,
500001,3,封魔任务,0,11005,冥王哈迪斯,1,,#norb还不错,,0,"""提交任务""",,,,,,,,,
500001,4,封魔任务,1,40035,牛魔（封魔）,1,,,,"{6,{[""密钥或宝箱""]=true}},{5}",,,,,,,,,,
500001,5,封魔任务,1,40035,牛魔（封魔）,1,,#norb这TM也能给你发现？！！！,干它,0,"""触发战斗""",暂时放过它,0,,,,,,,
500001,6,封魔任务,1,40035,牛魔（封魔）,1,,,,0,"""弹幕提示"", [""param""] = {2, ""持有锁匙或宝箱时不能攻击""}",,,,,,,,,
500002,1,封魔任务,1,11005,冥王哈迪斯,1,,,,"{3,{[""完成任务""]=500002}},{2}",,,,,,,,,,
500002,2,封魔任务,0,11005,玩家,1,,#norb快去刷怪吧，组队频道会显示怪物信息，请留意,,0,,,,,,,,,,
500002,3,封魔任务,0,11005,冥王哈迪斯,1,,#norb还不错,,0,"""提交任务""",,,,,,,,,
