#序号,任务名称,npcId,对话npc,任务提示,背景描述,奖励描述,任务类型名称,任务类型（主线任务1）,能否放弃,接受和完成任务接听（1：接受新任务  2：完成任务）,任务跟踪完成信息XML,任务跟踪完成信息普通文本,寻路链接参数（根据不同协议，提供不同超链接给显示内容）
TaskId_kn,TaskName_s,NpcIds_s,NpcNames_s,TaskTips_s,TaskBackground_s,TaskPrize_s,TaskTypeName_s,TaskType_n,Cancel_n,Listen_t1,TraceXMLContent_s,TraceContent_s,FindLink_t
500000,封魔任务,11005,哈迪斯,冥王哈迪斯,冥王哈迪斯,,封魔,33,,"[""新接任务""]={[""打开对话节点""]={-500000, 11005, 1},[""任务跟踪提示""]={17, ""#space#lime#red沙魔#rf（法攻高）出现在圣地#deepskyblue破木屋#rf附近，请把它封印""}}, [""响应完成任务""]={[""文字提示""]={17, ""任务完成""},[""封魔进度""]={17}}",与%s对话,与%s对话,
500001,封魔任务,11005,哈迪斯,冥王哈迪斯,冥王哈迪斯,,封魔,33,,"[""新接任务""]={[""打开对话节点""]={-500001, 11005, 1},[""任务跟踪提示""]={17, ""#space#lime#red小丑魔#rf（法防高）出现在圣地#deepskyblue火影楼#rf附近，请把它封印""}}, [""响应完成任务""]={[""文字提示""]={17, ""任务完成""},[""封魔进度""]={17}}",与%s对话,与%s对话,
500002,封魔任务,11005,哈迪斯,冥王哈迪斯,冥王哈迪斯,,封魔,33,,"[""新接任务""]={[""打开对话节点""]={-500002, 11005, 1},[""任务跟踪提示""]={17, ""#space#lime#red沙魔#rf（法攻高）出现在圣地#deepskyblue破木屋#rf附近，请把它封印""}}, [""响应完成任务""]={[""文字提示""]={17, ""任务完成""},[""封魔进度""]={17}}",与%s对话,与%s对话,
500003,封魔任务,11005,哈迪斯,冥王哈迪斯,冥王哈迪斯,,封魔,33,,"[""新接任务""]={[""打开对话节点""]={-500003, 11005, 1},[""任务跟踪提示""]={17, ""#space#lime#red夜魔#rf（降低敌方输出，可驱散）出现在圣地#deepskyblue有烂木头的水池#rf附近，请把它封印""}}, [""响应完成任务""]={[""文字提示""]={17, ""任务完成""},[""封魔进度""]={17}}",与%s对话,与%s对话,
500004,封魔任务,11005,哈迪斯,冥王哈迪斯,冥王哈迪斯,,封魔,33,,"[""新接任务""]={[""打开对话节点""]={-500004, 11005, 1},[""任务跟踪提示""]={17, ""#space#lime#red小丑魔#rf（法防高）出现在圣地#deepskyblue破木屋#rf附近，请把它封印""}}, [""响应完成任务""]={[""文字提示""]={17, ""任务完成""},[""封魔进度""]={17}}",与%s对话,与%s对话,
500005,封魔任务,11005,哈迪斯,冥王哈迪斯,冥王哈迪斯,,封魔,33,,"[""新接任务""]={[""打开对话节点""]={-500005, 11005, 1},[""任务跟踪提示""]={17, ""#space#lime#red忍魔#rf（物防高）出现在圣地#deepskyblue中间水池#rf附近，请把它封印""}}, [""响应完成任务""]={[""文字提示""]={17, ""任务完成""},[""封魔进度""]={17}}",与%s对话,与%s对话,
500006,封魔任务,11005,哈迪斯,冥王哈迪斯,冥王哈迪斯,,封魔,33,,"[""新接任务""]={[""打开对话节点""]={-500006, 11005, 1},[""任务跟踪提示""]={17, ""#space#lime#red忍魔#rf（物防高）出现在圣地#deepskyblue小汽车#rf附近，请把它封印""}}, [""响应完成任务""]={[""文字提示""]={17, ""任务完成""},[""封魔进度""]={17}}",与%s对话,与%s对话,
500007,封魔任务,11005,哈迪斯,冥王哈迪斯,冥王哈迪斯,,封魔,33,,"[""新接任务""]={[""打开对话节点""]={-500007, 11005, 1},[""任务跟踪提示""]={17, ""#space#lime#red沙魔#rf（法攻高）出现在圣地#deepskyblue破木屋#rf附近，请把它封印""}}, [""响应完成任务""]={[""文字提示""]={17, ""任务完成""},[""封魔进度""]={17}}",与%s对话,与%s对话,
500008,封魔任务,11005,哈迪斯,冥王哈迪斯,冥王哈迪斯,,封魔,33,,"[""新接任务""]={[""打开对话节点""]={-500008, 11005, 1},[""任务跟踪提示""]={17, ""#space#lime#red犬魔#rf（物攻高）出现在圣地#deepskyblue中间水池#rf附近，请把它封印""}}, [""响应完成任务""]={[""文字提示""]={17, ""任务完成""},[""封魔进度""]={17}}",与%s对话,与%s对话,
500009,封魔任务,11005,哈迪斯,冥王哈迪斯,冥王哈迪斯,,封魔,33,,"[""新接任务""]={[""打开对话节点""]={-500009, 11005, 1},[""任务跟踪提示""]={17, ""#space#lime#red犬魔#rf（物攻高）出现在圣地#deepskyblue咖啡店#rf附近，请把它封印""}}, [""响应完成任务""]={[""文字提示""]={17, ""任务完成""},[""封魔进度""]={17}}",与%s对话,与%s对话,
500010,封魔任务,11005,哈迪斯,冥王哈迪斯,冥王哈迪斯,,封魔,33,,"[""新接任务""]={[""打开对话节点""]={-500010, 11005, 1},[""任务跟踪提示""]={17, ""#space#lime#red食人魔#rf（高闪避）出现在圣地#deepskyblue中间水池#rf附近，请把它封印""}}, [""响应完成任务""]={[""文字提示""]={17, ""任务完成""},[""封魔进度""]={17}}",与%s对话,与%s对话,
500011,封魔任务,11005,哈迪斯,冥王哈迪斯,冥王哈迪斯,,封魔,33,,"[""新接任务""]={[""打开对话节点""]={-500011, 11005, 1},[""任务跟踪提示""]={17, ""#space#lime#red食人魔#rf（高闪避）出现在圣地#deepskyblue火影楼#rf附近，请把它封印""}}, [""响应完成任务""]={[""文字提示""]={17, ""任务完成""},[""封魔进度""]={17}}",与%s对话,与%s对话,
500012,封魔任务,11005,哈迪斯,冥王哈迪斯,冥王哈迪斯,,封魔,33,,"[""新接任务""]={[""打开对话节点""]={-500012, 11005, 1},[""任务跟踪提示""]={17, ""#space#lime#red食人魔#rf（高闪避）出现在圣地#deepskyblue破木屋#rf附近，请把它封印""}}, [""响应完成任务""]={[""文字提示""]={17, ""任务完成""},[""封魔进度""]={17}}",与%s对话,与%s对话,
500013,封魔任务,11005,哈迪斯,冥王哈迪斯,冥王哈迪斯,,封魔,33,,"[""新接任务""]={[""打开对话节点""]={-500013, 11005, 1},[""任务跟踪提示""]={17, ""#space#lime#red犬魔#rf（物攻高）出现在圣地#deepskyblue冰晶#rf附近，请把它封印""}}, [""响应完成任务""]={[""文字提示""]={17, ""任务完成""},[""封魔进度""]={17}}",与%s对话,与%s对话,
500014,封魔任务,11005,哈迪斯,冥王哈迪斯,冥王哈迪斯,,封魔,33,,"[""新接任务""]={[""打开对话节点""]={-500014, 11005, 1},[""任务跟踪提示""]={17, ""#space#lime#red神魔#rf（护盾，可通过打断或驱散增益技能破解）出现在圣地#deepskyblue咖啡店#rf附近，请把它封印""}}, [""响应完成任务""]={[""文字提示""]={17, ""任务完成""},[""封魔进度""]={17}}",与%s对话,与%s对话,
500015,封魔任务,11005,哈迪斯,冥王哈迪斯,冥王哈迪斯,,封魔,33,,"[""新接任务""]={[""打开对话节点""]={-500015, 11005, 1},[""任务跟踪提示""]={17, ""#space#lime#red神魔#rf（护盾，可通过打断或驱散增益技能破解）出现在圣地#deepskyblue破木屋#rf附近，请把它封印""}}, [""响应完成任务""]={[""文字提示""]={17, ""任务完成""},[""封魔进度""]={17}}",与%s对话,与%s对话,
