任务名,文件名,文件夹路径
task_s,filename_s,path_s
公用对话,dialog_common.csv,data\config\Task\
特殊对话,dialog_guide.csv,data\config\Task\mission\
关键字段（检查）,key_translate_check.csv,data\config\Task\keymapping\
关键字段（监听）,key_translate_listener.csv,data\config\Task\keymapping\
关键字段（执行动作）,key_translate_dialogexe.csv,data\config\Task\keymapping\
新手引导对话,dialog_main1.csv,data\config\Task\mission\
新手任务,task_main1.csv,data\config\Task\mission\
主线任务对话,dialog_main2.csv,data\config\Task\mission\
主线任务,task_main2.csv,data\config\Task\mission\
主线任务对话,dialog_main3.csv,data\config\Task\mission\
主线任务,task_main3.csv,data\config\Task\mission\
主线任务对话,dialog_main4.csv,data\config\Task\mission\
主线任务,task_main4.csv,data\config\Task\mission\
主线任务对话,dialog_main5.csv,data\config\Task\mission\
主线任务,task_main5.csv,data\config\Task\mission\
封魔任务对话,dialog_fengmo1.csv,data\config\Task\mission\
封魔任务,task_fengmo1.csv,data\config\Task\mission\
