选项,原对话框中的选项,部下ID,任务,下个任务,事件,数据,怪物库,邀请的宠物
option_kn,originOption_n,hero,curTask,nextTask,event_s,data_t,monster_t,pet_n
1,1,18000,2001001,2001001,video,,,18007
2,2,18000,2001001,2001001,video,,,18002
3,1,18002,2002001,2002005,talk,,,
4,2,18002,2002001,2002055,talk,,,
5,3,18002,2002001,2002100,talk,,,
6,1,18002,2002005,2002006,money,50,,
7,2,18002,2002005,2002020,talk,,,
8,3,18002,2002005,2002045,talk,,,
9,1,18002,2002006,2002010,talk,,,
10,1,18002,2002010,2002015,talk,,,
11,1,18002,2002015,2002001,talk,,,18003
12,1,18002,2002020,2002025,talk,,,
13,2,18002,2002020,2002035,talk,,,
14,1,18002,2002025,2002030,talk,,,
15,1,18002,2002030,2002001,talk,,,18014
16,1,18002,2002035,2002040,talk,,,
17,1,18002,2002040,2002001,talk,,,18005
18,1,18002,2002045,2002050,money,50,,
19,1,18002,2002050,2002001,talk,,,18005
20,1,18002,2002055,2002056,talk,,,
21,2,18002,2002055,2002057,talk,,,
22,3,18002,2002055,2002090,talk,,,
23,1,18002,2002056,2002060,talk,,,
24,1,18002,2002057,2002070,talk,,,
25,1,18002,2002060,2002065,talk,,,
26,1,18002,2002065,2002001,talk,,,18005
27,1,18002,2002070,2002075,money,100,,
28,2,18002,2002070,2002080,talk,,,
29,1,18002,2002075,2002001,talk,,,18003
30,1,18002,2002080,2002085,talk,,,
31,1,18002,2002085,2002001,talk,,,18014
32,1,18002,2002090,2002095,talk,,,
33,1,18002,2002095,2002001,talk,,,18014
34,1,18002,2002100,2002105,money,50,,
35,2,18002,2002100,2002115,talk,,,
36,1,18002,2002105,2002110,talk,,,
37,1,18002,2002110,2002001,talk,,,18003
38,1,18002,2002115,2002120,talk,,,
39,1,18002,2002120,2002001,talk,,,18005
40,1,18007,2002125,2002130,talk,,,
41,2,18007,2002125,2002155,talk,,,
42,3,18007,2002125,2002195,talk,,,
43,1,18007,2002130,2002135,video,,,
44,2,18007,2002130,2002140,video,,,
45,3,18007,2002130,2002145,talk,,,
46,1,18007,2002135,2002125,talk,,,18010
47,1,18007,2002140,2002125,talk,,,18009
48,1,18007,2002145,2002150,talk,,,
49,1,18007,2002150,2002125,talk,,,18012
50,1,18007,2002155,2002160,video,,,
51,2,18007,2002155,2002170,video,,,
52,3,18007,2002155,2002180,talk,,,
53,1,18007,2002160,2002165,talk,,,
54,1,18007,2002165,2002125,money,50,,18012
55,1,18007,2002170,2002175,talk,,,
56,1,18007,2002175,2002125,talk,,,18010
57,1,18007,2002180,2002185,talk,,,
58,1,18007,2002185,2002190,money,50,,
59,1,18007,2002190,2002125,talk,,,18009
60,1,18007,2002195,2002200,video,,,
61,2,18007,2002195,2002210,talk,,,
62,1,18007,2002200,2002205,talk,,,
63,1,18007,2002205,2002125,talk,,,18012
64,1,18007,2002210,2002215,talk,,,
65,1,18007,2002215,2002125,talk,,,18010
66,1,18003,2003001,2003002,talk,,,
67,1,18003,2003002,2003003,talk,,,
68,1,18003,2003003,2003001,money,50,,18013
69,1,18005,2003010,2003011,video,,,
70,2,18005,2003010,2003090,talk,,,
71,1,18005,2003011,2003012,video,,,
72,2,18005,2003011,2003031,talk,,,
73,1,18005,2003012,2003010,gold,2,,18015
74,1,18005,2003031,2003032,talk,,,
75,1,18005,2003032,2003010,talk,,,18016
76,1,18005,2003090,2003091,video,,,
77,2,18005,2003090,2003092,talk,,,
78,1,18005,2003091,2003010,talk,,,18016
79,1,18005,2003092,2003093,talk,,,
80,1,18005,2003093,2003010,talk,,,18015
81,1,18014,2003020,2003021,talk,,,
82,1,18014,2003021,2003022,talk,,,
83,1,18014,2003022,2003023,talk,,,
84,1,18014,2003023,2003020,talk,,,18004
85,1,18009,2003050,2003051,talk,,,
86,2,18009,2003050,2003040,talk,,,
87,1,18009,2003051,2003052,talk,,,
88,1,18009,2003052,2003053,video,,,
89,2,18009,2003052,2003054,talk,,,
90,1,18009,2003053,2003050,talk,,,18018
91,1,18009,2003054,2003055,talk,,,
92,1,18009,2003055,2003050,talk,,,18017
93,1,18009,2003040,2003041,talk,,,
94,1,18009,2003041,2003042,talk,,,
95,2,18009,2003041,2003043,talk,,,
96,1,18009,2003042,2003050,talk,,,18017
97,1,18009,2003043,2003044,talk,,,
98,1,18009,2003044,2003050,talk,,,18018
99,1,18010,2003060,2003061,talk,,,
100,1,18010,2003061,2003062,talk,,,
101,1,18010,2003062,2003060,talk,,,18019
102,1,18012,2003070,2003080,talk,,,
103,2,18012,2003070,2003071,talk,,,
104,1,18012,2003071,2003072,talk,,,
105,1,18012,2003072,2003073,video,,,
106,2,18012,2003072,2003074,talk,,,
107,1,18012,2003073,2003070,talk,,,18020
108,1,18012,2003074,2003075,talk,,,
109,1,18012,2003075,2003070,talk,,,18021
110,1,18012,2003080,2003081,talk,,,
111,1,18012,2003081,2003082,talk,,,
112,2,18012,2003081,2003083,talk,,,
113,1,18012,2003082,2003070,talk,,,18021
114,1,18012,2003083,2003084,talk,,,
115,1,18012,2003084,2003070,talk,,,18020
