#任务判断条件,协议解释,XML格式,普通格式
Id_kn,Name_s,XMLContent_s,Content_s
4,角色技能等级,技能等级#red（%d/%d）,技能等级（%d/%d）
5,角色技能升级,技能升级次数#red（%d/%d）,技能升级次数（%d/%d）
6,穿戴装备数量,穿戴装备数量#red（%d/%d）,穿戴装备数量（%d/%d）
7,穿戴装备次数,穿戴装备次数#red（%d/%d）,穿戴装备次数（%d/%d）
8,装备强化最高达到等级,装备强化等级#red（%d/%d）,装备强化等级（%d/%d）
9,装备强化最低达到等级,装备强化最低#red（%d/%d）,装备强化最低（%d/%d）
10,装备强化次数,装备强化次数#red（%d/%d）,装备强化次数（%d/%d）
11,装备精炼最高达到等级,装备精炼最高#red（%d/%d）,装备精炼最高（%d/%d）
12,装备精炼最低达到等级,装备精炼最低#red（%d/%d）,装备精炼最低（%d/%d）
13,装备精炼次数,装备精炼次数#red（%d/%d）,装备精炼次数（%d/%d）
14,装备锻炼最高达到等级,装备锻炼最高#red（%d/%d）,装备锻炼最高（%d/%d）
15,装备锻炼最低达到等级,装备锻炼最低#red（%d/%d）,装备锻炼最低（%d/%d）
16,装备锻炼次数,装备锻炼次数#red（%d/%d）,装备锻炼次数（%d/%d）
17,装备宝石最高达到等级,装备宝石最高#red（%d/%d）,装备宝石最高（%d/%d）
18,装备宝石最低达到等级,装备宝石最低#red（%d/%d）,装备宝石最低（%d/%d）
19,装备宝石次数,装备宝石次数#red（%d/%d）,装备宝石次数（%d/%d）
20,装备熔炼次数,装备熔炼次数#red（%d/%d）,装备熔炼次数（%d/%d）
21,世界聊天次数,世界聊天次数#red（%d/%d）,世界聊天次数（%d/%d）
22,通过关卡,%s#red（未通过）,%s（未通过）
23,通过关卡次数,通关次数#red（%d/%d）,通关次数（%d/%d）
24,开启自动战斗#red（未开启）,开启自动战斗（未开启）,
25,进入地图#red%s,进入地图%s,
26,收集宠物,收集宠物#red（%d/%d）,收集宠物（%d/%d）
27,宠物升级,宠物升级#red（%d/%d）,宠物升级（%d/%d）
28,宠物最高达到阶数,宠物阶数#red（%d/%d）,宠物阶数（%d/%d）
29,召集仙君,召集仙君#red（%d/%d）,召集仙君（%d/%d）
30,仙君升级,仙君升级#red（%d/%d）,仙君升级（%d/%d）
31,仙君最高达到阶数,仙君阶数#red（%d/%d）,仙君阶数（%d/%d）
32,坐骑升阶,坐骑升阶#red（%d/%d）,坐骑升阶（%d/%d）
33,坐骑最高达到阶数,坐骑阶数#red（%d/%d）,坐骑阶数（%d/%d）
34,翅膀升阶,翅膀升阶#red（%d/%d）,翅膀升阶（%d/%d）
35,翅膀升阶最高,翅膀阶数#red（%d/%d）,翅膀阶数（%d/%d）
36,通灵升阶,通灵升阶#red（%d/%d）,通灵升阶（%d/%d）
37,通灵升阶最高,通灵升阶最高#red（%d/%d）,通灵升阶最高（%d/%d）
38,元神升阶,元神升阶#red（%d/%d）,元神升阶（%d/%d）
39,元神升阶最高,元神升阶最高#red（%d/%d）,元神升阶最高（%d/%d）
40,法阵升阶,法阵升阶#red（%d/%d）,法阵升阶（%d/%d）
41,法阵升阶最高,法阵升阶最高#red（%d/%d）,法阵升阶最高（%d/%d）
42,神位升阶,神位升阶#red（%d/%d）,神位升阶（%d/%d）
43,神位升阶最高,神位升阶最高#red（%d/%d）,神位升阶最高（%d/%d）
44,天仙升阶,天仙升阶#red（%d/%d）,天仙升阶（%d/%d）
45,天仙升阶最高,天仙升阶最高#red（%d/%d）,天仙升阶最高（%d/%d）
46,天仙武器升阶,天仙武器升阶#red（%d/%d）,天仙武器升阶（%d/%d）
47,天仙武器升阶最高,天仙武器升阶最高#red（%d/%d）,天仙武器升阶最高（%d/%d）
48,女王升阶,女王升阶#red（%d/%d）,女王升阶（%d/%d）
49,女王升阶最高,女王升阶最高#red（%d/%d）,女王升阶最高（%d/%d）
50,仙器升阶,仙器升阶#red（%d/%d）,仙器升阶（%d/%d）
51,仙器升阶最高,仙器升阶最高#red（%d/%d）,仙器升阶最高（%d/%d）
52,花撵升阶,花撵升阶#red（%d/%d）,花撵升阶（%d/%d）
53,花撵升阶最高,花撵升阶最高#red（%d/%d）,花撵升阶最高（%d/%d）
54,灵气升阶,灵气升阶#red（%d/%d）,灵气升阶（%d/%d）
55,灵气升阶最高,灵气升阶最高#red（%d/%d）,灵气升阶最高（%d/%d）
56,角色等级达到#red（%d/%d）,角色等级达到（%d/%d）,
57,角色升级次数#red（%d/%d）,角色升级次数（%d/%d）,
58,个人boss累计次数#red（%d/%d）,个人boss累计次数（%d/%d）,
59,个人boss挑战次数#red（%d/%d）,个人boss挑战次数（%d/%d）,
60,秘境宝藏完成第#red%s关,秘境宝藏完成第%s关,
61,秘境宝藏最高关卡#red（%d/%d）,秘境宝藏最高关卡#red（%d/%d）,
62,秘境宝藏挑战次数#red（%d/%d）,秘境宝藏挑战次数（%d/%d）,
63,秘境宝藏星级奖励#red（%d/%d）,秘境宝藏星级奖励（%d/%d）,
64,秘境宝藏领取星级奖励,秘境宝藏领取星级奖励,
65,材料副本#red%s,材料副本%s,
66,材料副本挑战次数#red（%d/%d）,材料副本挑战次数（%d/%d）,
67,东海降妖战斗次数#red（%d/%d）,东海降妖战斗次数（%d/%d）,
68,东海降妖战斗次数#red（%d/%d）,东海降妖战斗次数（%d/%d）,
69,皇城天塔通关层数#red（%d/%d）,皇城天塔通关层数（%d/%d）,
70,皇城天塔挑战次数#red（%d/%d）,皇城天塔挑战次数（%d/%d）,
71,组队跨服副本次数#red（%d/%d）,组队跨服副本次数（%d/%d）,
72,当日累计比武次数#red（%d/%d）,当日累计比武次数（%d/%d）,
4001,杀怪计数,击杀 %s（%d/%d）,击杀 %s（%d/%d）
4002,收集物品,找到物品#red%s（%d/%d）,找到物品 %s（%d/%d）
4003,收集宠物,捕抓宠物#imp%s（%d/%d）,捕抓宠物 %s（%d/%d）
4004,战斗任务,击败%s,击败 %s
4005,找NPC,寻找#red%s,寻找 %s
4006,等级升级,#imp等级提升到#imp%d级（#nl查看可接任务）,等级提升到%d级（查看可接任务）
4008,装备武器,打开#imp新手连环礼包并装备#imp武器,打开新手连环礼包并装备武器
4007,任意技能升级,#imp战斗技能升到#imp1级，并学习#imp2个招式,战斗技能升到1级，并学习2个招式
4012,任意制造技能,向#imp匠神学习两个#imp制造技能,向匠神学习两个制造技能
4019,探索目的地,到达%s的%s（%d，%d）,到达%s的%s（%d，%d）
4020,任意配方,购买并使用#imp0级制造配方（%d/1）,购买并使用0级制造配方（%d/1）
4023,学习阵法,学会#imp%s,学会%s
4028,发送频道,向#imp附近频道发送一句消息,向附近频道发送一句消息
4029,屏蔽玩家,按下#imp屏蔽按钮,按下屏蔽按钮
4031,巡逻任务,与捣乱怪物战斗胜利（%d/%d）,与捣乱怪物战斗 胜利（%d/%d）
4032,门派挑战,与#imp%s战斗胜利（%d/1）,与%s战斗 胜利（%d/1）
4034,除魔任务,与#imp%s战斗 胜利（%d/1）,与%s战斗 胜利（%d/1）
4035,灭魔任务,前往#imp%s,前往%s
4036,主线师门任务,需完成#imp门派任务（%d/%d）,需完成门派任务（%d/%d）
4038,藏宝图任务,前往#imp%s挖掘宝藏,前往%s挖掘宝藏
4040,地图赢战斗,在%s巡逻 战斗胜利（%d/%d）,在%s巡逻 战斗胜利（%d/%d）
4041,换套装,变换为#imp50级形象,变换为50级形象
4043,挑战BOSS,挑战%s,挑战%s
4042,驱魔,驱邪数量:#imp%d,驱邪数量:%d
4046,职业进阶,需要：#imp完成进阶任务,需要：完成进阶任务
4047,领取高效精力,需要：找#imp慕容玄领取高效精力点,需要：找慕容玄领取高效精力点
4048,灭魔任务扩展,推荐到%s进行灭魔,推荐到%s进行灭魔
4049,找NPC,寻找 %s,寻找 %s
4050,在线时间任务,#imp连续在线至倒计时结束,连续在线至倒计时结束
4051,拜入师门,选择并加入门派,选择并加入门派
4054,到达npc位置,前往#yellow%s#rf运送镖物,前往%s运送镖物
4053,采集物品,采集%s（#red%d/%d#rf）,采集%s（%d/%d）
2003,倒计时,倒计时:%d小时:%d分钟:%d秒,倒计时:%d小时:%d分钟:%d秒
6001,现金奖励,#ts现银+%d#space,现银：%d
6002,银票奖励,#ts银票+%d#space,银票：%d
6004,礼券奖励,#ts礼券+%d#space,礼券：%d
6005,人物经验,#ts人物经验+%d#space,人物经验:%d
6010,宠物经验,#ts宠物经验+%d#space,宠物经验:%d
6012,修为值,#ts修为值+%d#space,修为值:%d
100036,最小等级,等级大于%d级,等级大于%d级
100037,前置任务,完成【%d级支线】%s,完成【%d级支线】%s
120001,战胜npc,战胜%s,战胜%s
120003,完成次数,完成%s（#red%d/%d#rf）,完成%s（%d/%d）
120005,通过关卡,通过关卡#red%s,通过关卡%s
120006,掠夺矿洞,掠夺矿洞（#red%d/%d#rf）,掠夺矿洞（%d/%d）
120007,天空之塔,通过天空之塔（#red%d/%d#rf）层,通过天空之塔（%d/%d）层
120008,刷关卡,刷关卡%s（#red%d/%d#rf）,刷关卡%s（%d/%d）
120009,换形象,换形象,换形象
120010,发送消息,发送消息（#red%d/%d#rf）,发送消息（%d/%d）
120011,打造祭品,打造祭品,打造祭品
120013,收集物品,收集物品#red%s,收集物品%s
120014,战胜npc,战胜%s,战胜%s
120015,杀怪,杀怪%s,杀怪%s
120016,强化装备,强化等级达到%s级的装备数量#red（%s/%s）,强化%s等级装备数量（%s/%s）
120017,主角等级,主角等级#red（%s/%s）,主角等级（%s/%s）
120018,伙伴等级,等级%s级的女神数量#red（%s/%s）,等级%s级的女神数量（%s/%s）
120019,祭坛召唤,祭坛召唤次数#red（%s/%s）,祭坛召唤次数（%s/%s）
120020,穿戴装备,穿戴%s阶装备数量#red（%s/%s）,穿戴%s阶装备数量（%s/%s）
120021,海底逃生,通过海底层数#red（%s/%s）,通过海底层数（%s/%s）
120022,竞技场,竞技场名次#red%s#rf名内,竞技场名次%s名内
120023,进阶等级,#red%s#rf名角色进阶等级达到%s阶,%s名角色进阶等级达到%s阶
120024,蜕变等级,#lime%s#rf蜕变等级#red（%s/%s）,%s蜕变等级（%s/%s）
120025,守护等级,守护等级#red（%s/%s）,守护等级（%s/%s）
120026,互动次数,与#lime%s#rf互动#red（%s/%s）,与%s互动（%s/%s）
120027,使用圣地技能次数,挂机技能#lime%s#rf使用次数#red（%s/%s）,挂机技能%s使用次数（%s/%s）
120028,解锁职业数,解锁#lime%s#rf阶职业数#red（%s/%s）,解锁%s阶职业数（%s/%s）
120029,心情奖励次数,领取心情奖励次数#red（%s/%s）,领取心情奖励次数（%s/%s）
120030,占领或掠夺N次,占领或掠夺#red（%s/%s）#rf次,占领或掠夺（%s/%s）
120031,守护植入技能数量,守护植入技能数量#red（%s/%s）,守护植入技能数量（%s/%s）
120032,圣地杀怪,杀怪#lime%s#rf数量#red（%s/%s）,杀怪%s数量（%s/%s）
