vip等级,索引,说明,参数
vipLevel_kn,index_ks,read_c,param_t
0,vipTitle,VIP标识,0
1,vipTitle,,1
2,vipTitle,,2
3,vipTitle,,3
4,vipTitle,,4
5,vipTitle,,5
6,vipTitle,,6
7,vipTitle,,7
8,vipTitle,,8
9,vipTitle,,9
10,vipTitle,,10
11,vipTitle,,11
12,vipTitle,,12
13,vipTitle,,13
14,vipTitle,,14
15,vipTitle,,15
16,vipTitle,,16
0,chatBubble,聊天气泡,"""hy_duiHuaDi01"","""""
1,chatBubble,,"""hy_VIPduiHuaDi04"",""hy_VIPduiHua04"""
2,chatBubble,,"""hy_VIPduiHuaDi04"",""hy_VIPduiHua04"""
3,chatBubble,,"""hy_VIPduiHuaDi01"",""hy_VIPduiHua01"""
4,chatBubble,,"""hy_VIPduiHuaDi01"",""hy_VIPduiHua01"""
5,chatBubble,,"""hy_VIPduiHuaDi05"",""hy_VIPduiHua05"""
6,chatBubble,,"""hy_VIPduiHuaDi05"",""hy_VIPduiHua05"""
7,chatBubble,,"""hy_VIPduiHuaDi05"",""hy_VIPduiHua05"""
8,chatBubble,,"""hy_VIPduiHuaDi02"",""hy_VIPduiHua02"""
9,chatBubble,,"""hy_VIPduiHuaDi02"",""hy_VIPduiHua02"""
10,chatBubble,,"""hy_VIPduiHuaDi02"",""hy_duiHuaDi01"""
11,chatBubble,,"""hy_VIPduiHuaDi02"",""hy_duiHuaDi01"""
12,chatBubble,,"""hy_VIPduiHuaDi03"",""hy_VIPduiHua03"""
13,chatBubble,,"""hy_VIPduiHuaDi03"",""hy_VIPduiHua03"""
14,chatBubble,,"""hy_VIPduiHuaDi03"",""hy_VIPduiHua03"""
15,chatBubble,,"""hy_VIPduiHuaDi03"",""hy_VIPduiHua03"""
16,chatBubble,,"""hy_VIPduiHuaDi03"",""hy_VIPduiHua03"""
0,interactCount,互动次数,0
1,interactCount,,0
2,interactCount,,0
3,interactCount,,0
4,interactCount,,0
5,interactCount,,0
6,interactCount,,0
7,interactCount,,0
8,interactCount,,0
9,interactCount,,0
10,interactCount,,0
11,interactCount,,0
12,interactCount,,0
13,interactCount,,0
14,interactCount,,0
15,interactCount,,0
16,interactCount,,0
0,RobberMaterial,圣地技能使用次数增加,"[1]=0,[2]=0,[3]=0,[4]=0,"
1,RobberMaterial,,"[1]=1,[2]=0,[3]=0,[4]=0,"
2,RobberMaterial,,"[1]=1,[2]=1,[3]=0,[4]=1,"
3,RobberMaterial,,"[1]=2,[2]=1,[3]=0,[4]=1,"
4,RobberMaterial,,"[1]=2,[2]=1,[3]=1,[4]=1,"
5,RobberMaterial,,"[1]=3,[2]=2,[3]=1,[4]=2,"
6,RobberMaterial,,"[1]=3,[2]=2,[3]=1,[4]=2,"
7,RobberMaterial,,"[1]=4,[2]=3,[3]=2,[4]=3,"
8,RobberMaterial,,"[1]=4,[2]=3,[3]=2,[4]=3,"
9,RobberMaterial,,"[1]=5,[2]=4,[3]=2,[4]=4,"
10,RobberMaterial,,"[1]=5,[2]=4,[3]=3,[4]=4,"
11,RobberMaterial,,"[1]=6,[2]=5,[3]=3,[4]=5,"
12,RobberMaterial,,"[1]=6,[2]=5,[3]=3,[4]=5,"
13,RobberMaterial,,"[1]=7,[2]=6,[3]=4,[4]=6,"
14,RobberMaterial,,"[1]=8,[2]=6,[3]=4,[4]=6,"
15,RobberMaterial,,"[1]=9,[2]=7,[3]=4,[4]=7,"
16,RobberMaterial,,"[1]=10,[2]=8,[3]=5,[4]=8,"
0,buyFund,金币购买次数,1
1,buyFund,,5
2,buyFund,,10
3,buyFund,,20
4,buyFund,,25
5,buyFund,,30
6,buyFund,,40
7,buyFund,,50
8,buyFund,,60
9,buyFund,,70
