#index,跳入地图id,跳入地图名,是不是公共地图,进入地图等级,跳入点X,跳入点Y,方向,地图图标,图标位置,图标位置,图标宽,图标高,钟馗坐标
index_kn,inMapId_n,inMapName_s,public_n,level_n,inX_n,inY_n,direction_n,icon_s,iconX_n,iconY_n,iconW_n,iconH_n,pos_t
1,50001,东海湾,1,1,40,40,1,sjdt_icon01,36,292,162,158,"{5,41},{43,26},{55,51},{62,28},{73,54}"
2,50009,凌霄宝殿,1,10,16,13,1,sjdt_icon02,76,64,152,126,"{16,13},{13,45},{46,22},{69,45},{22,55}"
3,50023,大雁塔,1,20,28,18,1,sjdt_icon03,228,142,161,133,"{28,18},{18,43},{49,50},{57,14},{69,46}"
4,50024,长安城,1,40,11,17,1,sjdt_icon04,350,258,161,150,"{11,17},{41,26},{28,49},{59,36},{70,60}"
5,50019,长寿村,1,50,27,20,1,sjdt_icon05,416,66,179,128,"{27,20},{54,24},{22,46},{43,58},{62,44}"
6,50002,高老庄,1,60,42,33,1,sjdt_icon06,570,194,159,135,"{36,26},{60,14},{72,34},{45,49},{17,47}"
7,50004,黄风岭,1,70,24,28,1,sjdt_icon07,636,340,185,122,"{58,13},{25,14},{6,54},{11,31},{39,32}"
8,50010,流沙河,1,80,31,27,1,sjdt_icon08,776,208,181,130,"{32,18},{14,38},{30,58},{67,55},{68,32}"
9,50020,五庄观,1,90,38,37,1,sjdt_icon09,812,5,181,141,"{57,20},{15,23},{4,42},{20,58},{65,54}"
10,50003,花果山,1,100,50,37,1,sjdt_icon10,982,176,188,139,"{19,57},{55,38},{8,16},{66,17},{70,42}"
11,50017,乌鸡国,1,110,32,50,1,sjdt_icon11,1052,324,139,137,"{64,12},{34,37},{32,52},{38,59},{59,34}"
12,50006,火云洞,1,120,42,36,1,sjdt_icon12,1236,234,163,141,"{27,54},{63,54},{30,26},{74,58},{75,34}"
13,50016,通天河,1,130,38,42,1,sjdt_icon13,1170,40,173,134,"{57,24},{21,34},{32,57},{61,48},{75,40}"
14,50012,女儿国,1,140,35,45,1,sjdt_icon14,1408,68,136,128,"{28,36},{20,57},{73,14},{55,31},{39,20}"
15,50013,琵琶洞,1,150,23,39,1,sjdt_icon15,1460,274,172,143,"{36,50},{10,55},{31,26},{8,26},{24,44}"
16,50005,火焰山,1,160,59,28,1,sjdt_icon16,1652,108,145,158,"{29,50},{29,24},{52,16},{70,17},{71,44}"
17,50021,小雷音寺,1,170,32,42,1,sjdt_icon17,1704,318,172,136,"{55,14},{49,31},{23,43},{31,56},{10,57}"
18,50018,无底洞,1,180,42,41,1,sjdt_icon18,1882,198,141,122,"{39,19},{69,19},{61,49},{19,52},{39,35}"
19,50025,蜘蛛洞,1,190,42,45,1,sjdt_icon19,1854,44,161,134,"{12,16},{56,18},{37,53},{17,57},{25,21}"
20,50014,狮驼山,1,200,30,37,1,sjdt_icon20,2090,124,137,122,"{49,14},{39,27},{27,41},{18,53},{23,52}"
21,50015,天竺,1,200,42,43,1,sjdt_icon21,2106,266,176,151,"{64,35},{33,51},{34,13},{9,28},{67,56}"
22,50008,灵山,1,200,38,39,1,sjdt_icon22,2344,324,187,136,"{22,53},{68,56},{52,15},{28,23},{41,58}"
23,50007,两界山,1,200,42,40,1,sjdt_icon23,2352,162,160,122,"{23,30},{55,19},{71,33},{30,53},{61,50}"
24,50011,南天门,1,200,19,24,1,sjdt_icon24,2558,58,181,131,"{7,43},{6,13},{29,13},{19,28},{42,30}"
25,50022,瑶池仙境,1,200,36,44,1,sjdt_icon25,2596,226,186,129,"{36,54},{60,34},{32,38},{66,13},{20,17}"
