#规则索引,序号,奖励说明,是否模板 1是,说明标题（默认是玩法介绍）
rule_ks,index_kn,des_s,templet,title_s
rideRule,1,1、提升等阶可激活更炫酷的外形。,,
rideRule,2,2、提升等阶可获得大量属性。,,
rideRule,3,3、提升等阶可佩戴更强大的装备，获得大量属性。,,
rideRule,4,4、提升等阶可激活对应等阶的技能，最后一个技能可获得稀有属性效果。,,
wingRule,1,1、提升等阶可激活更炫酷的外形。,,
wingRule,2,2、提升等阶可获得大量属性。,,
wingRule,3,3、提升等阶可佩戴更强大的装备，获得大量属性。,,
wingRule,4,4、提升等阶可激活对应等阶的技能，最后一个技能可获得稀有属性效果。,,
tianxianRule,1,1、提升等阶可激活更炫酷的外形。,,
tianxianRule,2,2、提升等阶可获得大量属性。,,
tianxianRule,3,3、提升等阶可佩戴更强大的装备，获得大量属性。,,
tianxianRule,4,4、提升等阶可激活对应等阶的技能，最后一个技能可获得稀有属性效果。,,
shenbingRule,1,1、提升等阶可激活更炫酷的外形。,,
shenbingRule,2,2、提升等阶可获得大量属性。,,
shenbingRule,3,3、提升等阶可佩戴更强大的装备，获得大量属性。,,
shenbingRule,4,4、提升等阶可激活对应等阶的技能，最后一个技能可获得稀有属性效果。,,
fazhenRule,1,1、提升等阶可激活更炫酷的外形。,,
fazhenRule,2,2、提升等阶可获得大量属性。,,
fazhenRule,3,3、提升等阶可佩戴更强大的装备，获得大量属性。,,
fazhenRule,4,4、提升等阶可激活对应等阶的技能，最后一个技能可获得稀有属性效果。,,
xianweiRule,1,1、提升等阶可激活更炫酷的外形。,,
xianweiRule,2,2、提升等阶可获得大量属性。,,
xianweiRule,3,3、提升等阶可佩戴更强大的装备，获得大量属性。,,
xianweiRule,4,4、提升等阶可激活对应等阶的技能，最后一个技能可获得稀有属性效果。,,
tonglingRule,1,1、提升等阶可激活更炫酷的外形。,,
tonglingRule,2,2、提升等阶可获得大量属性。,,
tonglingRule,3,3、提升等阶可佩戴更强大的装备，获得大量属性。,,
tonglingRule,4,4、提升等阶可激活对应等阶的技能，最后一个技能可获得稀有属性效果。,,
shouhunRule,1,1、提升等阶可激活更炫酷的外形。,,
shouhunRule,2,2、提升等阶可获得大量属性。,,
shouhunRule,3,3、提升等阶可佩戴更强大的装备，获得大量属性。,,
shouhunRule,4,4、提升等阶可激活对应等阶的技能，最后一个技能可获得稀有属性效果。,,
xianqiRule,1,1、提升等阶可激活更炫酷的外形。,,
xianqiRule,2,2、提升等阶可获得大量属性。,,
xianqiRule,3,3、提升等阶可佩戴更强大的装备，获得大量属性。,,
xianqiRule,4,4、提升等阶可激活对应等阶的技能，最后一个技能可获得稀有属性效果。,,
huanianRule,1,1、提升等阶可激活更炫酷的外形。,,
