VIP_ID,特权简介,购买钻石,"奖励（这里的奖励只显示在vip好礼那里）{""pet"", petEntryId}/{""item"", itemEntryId, count}",特权说明
VIPId_kn,introduce_s,jingshi,prizeList_t,privilege_t
0,#navajowhite无,,,
1,#navajowhite无,0,"{""item"",30001,1}","""银两兑换次数1次"",""擂台购买次数1次"",""开启键熔炼50件装备"",""战斗速度开启2倍加速设置"","
2,#navajowhite无,0,"{""item"",30001,1}","""银两兑换次数3次"",""全民BOSS购买次数1次"",""擂台购买次数2次"",""战斗速度开启2倍加速设置"",""开启秘境宝藏打到第四回合可以跳过"","
3,#navajowhite无,0,"{""item"",30001,1}","""银两兑换次数5次"",""擂台购买次数3次"",""开启三界试炼一键扫荡"",""开启材料副本通关后扫荡"",""开启运镖一键刷橙"","
4,#navajowhite无,1000,"{""item"",30001,1}","""银两兑换次数7次"",""擂台购买次数4次"",""开启三界试炼一键扫荡"",""开启秘境宝藏一键扫荡"",""开启材料副本通关后扫荡"","
5,#navajowhite无,5000,"{""item"",30001,1}","""银两兑换次数9次"",""擂台购买次数5次"",""材料副本购买次数2次"",""开启全民BOSS跳过功能"",""开启秘境宝藏通过后跳过"",""开启帮会任务重置功能"",""占领大矿开采效率提升25%；中矿提升15%；小矿5%"","
6,#navajowhite无,10000,"{""item"",30001,1}","""银两兑换次数11次"",""全民BOSS购买次数2次"",""开启日常任务一键扫荡功能"",""开启复活全民BOSS功能"",""擂台购买次数6次"",""占领大矿开采效率提升25%；中矿提升15%；小矿5%"","
7,#navajowhite无,20000,"{""item"",30001,1}","""银两兑换次数13次"",""擂台购买次数7次"",""开启日常任务一键扫荡功能"",""开启复活全民BOSS功能"",""提前开启女儿国王系统功能"",""开启背包自动熔炼"",""占领大矿开采效率提升50%；中矿提升20%；小矿10%"","
8,#navajowhite无,50000,"{""item"",30001,1}","""银两兑换次数15次"",""擂台购买次数8次"",""开启日常任务一键扫荡功能"",""开启复活全民BOSS功能"",""提前开启女儿国王系统功能"",""开启背包自动熔炼"",""占领大矿开采效率提升50%；中矿提升20%；小矿10%"","
9,#navajowhite无,100000,"{""item"",30001,1}","""银两兑换次数17次"",""全民BOSS购买次数3次"",""擂台购买次数9次"",""开启复活全民BOSS功能"",""提前开启女儿国王系统功能"",""开启背包自动熔炼"",""占领大矿开采效率提升75%；中矿提升35%；小矿15%"","
10,#navajowhite无,200000,"{""item"",30001,1}","""银两兑换次数19次"",""擂台购买次数10次"",""材料副本购买次数3次"",""开启复活全民BOSS功能"",""提前开启女儿国王系统功能"",""开启背包自动熔炼"",""占领大矿开采效率提升75%；中矿提升35%；小矿15%"","
11,#navajowhite无,400000,"{""item"",30001,1}","""银两兑换次数21次"",""全民BOSS购买次数4次"",""擂台购买次数11次"",""开启复活全民BOSS功能"",""提前开启女儿国王系统功能"",""开启背包自动熔炼"",""占领大矿开采效率提升100%；中矿提升50%；小矿20%"","
12,#navajowhite无,700000,"{""item"",30001,1}","""银两兑换次数23次"",""擂台购买次数12次"",""材料副本购买次数3次"",""开启复活全民BOSS功能"",""提前开启女儿国王系统功能"",""占领大矿开采效率提升100%；中矿提升50%；小矿20%"","
13,#navajowhite无,1000000,"{""item"",30001,1}","""银两兑换次数25次"",""全民BOSS购买次数5次"",""擂台购买次数13次"",""开启复活全民BOSS功能"",""提前开启女儿国王系统功能"",""占领大矿开采效率提升100%；中矿提升50%；小矿20%"","
14,#navajowhite无,1500000,"{""item"",30001,1}","""银两兑换次数27次"",""擂台购买次数14次"",""材料副本购买次数3次"",""开启复活全民BOSS功能"",""提前开启女儿国王系统功能"",""占领大矿开采效率提升100%；中矿提升50%；小矿20%"","
15,#navajowhite无,2000000,"{""item"",30001,1}","""银两兑换次数29次"",""全民BOSS购买次数6次"",""擂台购买次数15次"",""材料副本购买次数4次"",""提前开启女儿国王系统功能"",""占领大矿开采效率提升100%；中矿提升50%；小矿20%"","
16,#navajowhite无,3000000,"{""item"",30001,1}","""银两兑换次数31次"",""全民BOSS购买次数6次"",""擂台购买次数16次"",""材料副本购买次数4次"",""提前开启女儿国王系统功能"",""占领大矿开采效率提升100%；中矿提升50%；小矿20%"","
17,#navajowhite无,4000000,"{""item"",30001,1}","""银两兑换次数33次"",""全民BOSS购买次数7次"",""擂台购买次数17次"",""材料副本购买次数4次"",""提前开启女儿国王系统功能"",""占领大矿开采效率提升100%；中矿提升50%；小矿20%"","
18,#navajowhite无,5500000,"{""item"",30001,1}","""银两兑换次数35次"",""全民BOSS购买次数7次"",""擂台购买次数18次"",""材料副本购买次数4次"",""提前开启女儿国王系统功能"",""占领大矿开采效率提升100%；中矿提升50%；小矿20%"","
19,#navajowhite无,7500000,"{""item"",30001,1}","""银两兑换次数37次"",""全民BOSS购买次数8次"",""擂台购买次数19次"",""材料副本购买次数4次"",""提前开启女儿国王系统功能"",""占领大矿开采效率提升100%；中矿提升50%；小矿20%"","
20,#navajowhite无,10000000,"{""item"",30001,1}","""银两兑换次数39次"",""全民BOSS购买次数8次"",""擂台购买次数20次"",""材料副本购买次数4次"",""提前开启女儿国王系统功能"",""占领大矿开采效率提升100%；中矿提升50%；小矿20%"","
