索引,角色ID,角色类型(宠物：4；怪物：1；角色：0）,站边（左：2；右：1）,站位（1-18）,生命值,最大生命值,怒气值,最大怒气值,名字,类型ID（entryId）,绝招,奥义招,是否手动发招（可不填）,性别（1男，2女，0无）,突破等级
index_kn,id_kn,type_id_n,side_n,pos_n,hp_n,maxHp_n,rp_n,maxRp_n,name_s,entry_n,skillId1_n,skillId2_n,manualCast_n,sexId_n,breakLevel
1,1,4,2,1,1000,1000,0,200,角色1,18000,,,,,
1,2,4,2,2,1000,1000,0,200,角色2,18001,,,,,
1,3,4,2,3,1000,1000,0,200,角色3,18002,,,,,
1,4,4,2,4,1000,1000,0,200,角色4,18003,,,,,
1,5,4,2,5,1000,1000,0,200,角色5,18004,,,,,
1,6,4,2,6,1000,1000,0,200,角色6,18005,,,,,
1,7,4,1,1,1000,1000,0,200,角色7,18006,,,,,
1,8,4,1,2,1000,1000,0,200,角色8,18007,,,,,
1,9,4,1,3,1000,1000,0,200,角色9,18008,,,,,
1,10,4,1,4,1000,1000,0,200,角色10,18009,,,,,
1,11,4,1,5,1000,1000,0,200,角色11,18010,,,,,
1,12,4,1,6,1000,1000,0,200,角色12,18011,,,,,
2,1,4,1,2,1000,1000,0,200,测试1,18000,,,,,
2,2,4,2,2,1000,1000,0,200,测试2,18001,,,,,
3,1,0,2,2,10655,10655,0,200,狂战士,40007,,,,1,
3,2,0,2,4,10557,10557,0,200,魔导士,40001,,,,1,
3,3,0,2,6,10338,10338,0,200,敏捷剑士,40002,,,,1,
3,4,0,2,7,10009,10009,0,200,潜行者,40003,,,,1,
3,5,0,2,11,8073,8073,0,200,拳击手,40000,,,,1,
3,6,4,1,2,4000,4000,0,200,露菲尔,18001,,,,,5
3,7,4,1,4,4000,4000,0,200,夜叉,18017,,,,,5
3,8,4,1,6,4911,4911,0,200,明仁,18023,,,,,5
3,9,4,1,7,5956,5956,0,200,黑崎白,18010,,,,,5
3,10,4,1,9,3264,3264,0,200,皮卡皮卡,18002,,,,,5
3,11,4,1,11,3240,3240,0,200,吾爱洛,18011,,,,,5
3,12,4,1,14,6810,6810,0,200,水月,18003,,,,,5
3,13,4,1,16,5500,5500,0,200,辉,18013,,,,,5
3,14,4,1,18,5500,5500,0,200,机器瞄,18009,,,,,5
