聊天Id,聊天内容,"transform_s(用于对接收到的参数进行转换)编写规则{[index1] = op,[index2] = op}30:主角名字"
chatId_kn,content_s,transform_t
10001,有没有人一起去跨服组队啊，赶快来组队啦,
10002,副本刷起，要的组队惹。。。,
10003,请问宠物激活材料在哪刷啊？,
10004,差2级就开元神了,
10005,这游戏野外BOSS玩法还不错，我喜欢,
10006,宠物进阶后变强很多啊！,
10007,靠北=  =主角群攻技能放在第一个出手好强大……,
10008,原来主角技能释放顺序可以调整啊……,
10009,跨服组队，还缺1个，有没有人要来？,
10010,原来这游戏可以组队……,
10011,有没人一起杀全民BOSS啊？,
10012,哈哈，我在关卡打到一个紫色品质装备！,
10013,你们关卡都打到第几章了呀,
10014,哈哈，我抓到了一个宠物啦。,
10015,最强的宠物是哪一个啊？？？？？？,
10016,我要集齐四大天王~~~,
10017,原来宠物可以设置出战阿!都忘记出战了~,
10018,谁知道帮会BOSS什么时候开启,
10019,我只是个路过的……,
10020,洗练技能怎么组合最好啊？？,
10021,有美女一起玩吗,
10022,我是来打酱油的,
10023,有广州的玩家吗，我们一起组个固定团吧,
10024,有没有美女啊？,
10025,呵呵,
10026,我要大熊猫啊,
10027,啦啦啦啦啦啦～,
10028,这么热闹,
10029,专业带妹…不是是专业带队……有人要组我吗,
10030,你才是猪头,
10031,有广州的在玩吗？,
10032,雅蠛蝶。。,
10033,神宠看着好牛逼,
10034,花惹发…,
10035,马der我紫色技能被覆盖了,
10036,甘，怎么样才可以出战仙君啊！,
10037,老子就是有钱，任性。。。,
10038,家园什么时候开？,
10039,要上课了，大家掰,
10040,这游戏真适合坐车的时候玩,
10041,靠，又没进阶丹了,
10042,宠物进阶丹不够啊。。。。,
10043,豪，刚刚谁打我？,
10044,本鲁今天来这边逛逛,
10045,专业卖对有，谁要跟我组,
10046,好玩,
10047,有快速获得元宝的方法吗,
10048,竞技场没次数了,
10049,红衣仙子超可爱的(≧?≦) ,
10050,我是人族的小美眉，想找一个仙族的小帅哥,
10051,楼上好啊,
10052,电量刷光惹……,
10053,有没有想收我做徒弟的,
10054,有互刷关注的吗？,
10055,求一个长期在线的师傅~~~,
10056,耶！终于50级了,
10057,前期多做任务！,
10058,去挂机啦！,
10059,我是第一个到凌霄宝殿的吗，哈哈,
10060,公会小伙伴记得每天上香哦,
10061,关卡任务好多钱呢!!!,
10062,WOW~龙族小帅哥也太帅了吧!!,
10063,靠，原来自动升级会一直使用，我的宠物丹都用完了,
10064,完成任务好多经验哦~~~~我的等级狂飙,
10065,有没有人要一起组队+++,
10066,有隐藏的彩蛋分享吗？？？,
10067,押个镖好多金币，爽~,
10068,打竞技场竟然有这么多元宝,
10069,关卡求助有没有小伙伴帮我,
10070,大家安安!!,
10071,吼~帮会怪物的血好厚...,
10072,求漂亮美眉加好友,
10073,各位大大，带我啊,
10074,有没有推荐的仙君?,
10075,首充定海神针很赞哦！为什么不出一整套猴装,
20001,运气真好，，，,
20002,靠北,
20003,666！,
20004,大家快去寻宝啊！好多东西,
20005,集齐所有宠物会发生什么神奇的事情吗,
20006,哇，你运气超好的诶,
20007,运气这么好，你的良心不会痛吗？,
20008,兄弟，你运气那么好，创个帮会带大家一起飞,
20009,手持菜刀的应该叫猪刚鬣吧,
20010,干！！走狗屎运了,
20101,在吗？,
20102,帮会地图完全是送给经验的吗,
20103,有兴趣加入帮会吗？,
20104,各位大哥不要打劫我的镖啊！3Q,
20105,友情建议不要吧宠物丹一下子全部消耗了，留点丹等搞到高级宠物再用,
20106,恭喜,
20107,掉什么东西了？,
20201,你是怎么拿到神宠的？,
20202,你也拿到了吗？你是在哪里拿到的？,
20203,高价回收二手宠物，一打起收,
20204,兄弟入会吗？本公会妹子多多，福利多多,
20205,分享一下怎么拿到神宠的,
20206,收徒弟吗？本人拜师，希望一起玩,
20207,教教我啊！怎么获得的,
20208,你是全服第一个拿到神宠的吗,
20209,有没有40级了，一起打跨服组队,
20210,在吗，要不要一起玩,
20211,#2来者何人，报上名来,
20212,新人入游，求好心人带带我,
20213,老司机发车，呜呜呜~,
20214,你等级多少了，要不要结婚一起玩,
20215,神宠需要花钱吗？为什么我没有,
20216,你们关卡都打到第几关了呀，要不要一起,
20217,你丫的怎么拿到神宠的！！！,
20218,刷到那张地图了，一起关卡协助过关来不来,
20219,盆友，要不要一起建帮会玩,
20220,大神求关注求带求包~,
