物品entryId,索引,"获得途径([""fight""]={关卡1Id,关卡2ID,})",提示
entryId_kn,index_kn,approach_t,showTips_s
40001,1,,宠物捕捉
40002,1,,宠物捕捉
40003,1,,宠物捕捉
40004,1,"""shop_yuanbao"",2",宠物商店
40005,1,,宠物捕捉
40006,1,,宠物捕捉
40007,1,,宠物捕捉
40008,1,,宠物捕捉
40009,1,,宠物捕捉
40010,1,"""mat_copy"",1",秘境宝藏第六章
40011,1,,宠物捕捉
40012,1,"""shop_yuanbao"",2",宠物商店
40013,1,,宠物捕捉
40014,1,"""shop_zhuangban"",1",友情商店
40015,1,"""shop_yuanbao"",2",宠物商店
40016,1,,开服第2日活动
40017,1,,猪八戒活动
40018,1,"""shop_equip"",3",帮会福利商店
40019,1,,活动获得
40020,1,"""mat_copy"",1",秘境宝藏第九章
40021,1,"""shop_zhuangban"",1",友情商店
40022,1,"""shop_jingji"",2",跑镖商店
40023,1,"""shop_yuanbao"",2",宠物商店
40024,1,"""shop_equip"",3",帮会福利商店
40025,1,"""lucky"",0",寻宝
40026,1,"""mat_copy"",1",秘境宝藏第十八章
40027,1,"""shop_yuanbao"",2",宠物商店
40028,1,"""mat_copy"",1",秘境宝藏第十五章
40029,1,"""shop_jingji"",2",跑镖商店
40030,1,,活动获得
40031,1,"""shop_deline""",生死劫商店
40032,1,,活动获得
40033,1,"""mat_copy"",1",秘境宝藏第二十七章
40034,1,"""shop_deline""",生死劫商店
40035,1,,跨服争霸
40036,1,"""mat_copy"",1",秘境宝藏三十三章
40037,1,"""shop_deline""",生死劫商店
40038,1,,跨服争霸
40039,1,"""vip""",VIP特权礼包
40043,1,,猪八戒活动
40046,1,,活动获得
40047,1,,活动获得
50012,1,,进入游戏送
50013,1,,登录第2日获得
50014,1,"""shouchong"",1",首充大礼获得
50015,1,,登录第7日获得
50016,1,"""mat_copy"",3",三界试炼15层获得
50017,1,"""vip""",VIP特权礼包
50018,1,,开服8日累充回馈
60001,1,"""shop_equip"",0",装备商店
60001,2,"""mat_copy"",0",材料副本
60002,1,"""shop_equip"",0",装备商店
60002,2,"""mat_copy"",0",材料副本
60003,1,"""shop_equip"",0",装备商店
60003,2,"""mat_copy"",0",材料副本
60007,1,"""vip""",1.VIP福利赠送
60007,2,,2.活动
63001,1,"""shop_zhuangban"",2",威望商店
63004,1,"""mat_copy"",1",秘境宝藏第三章
63005,1,"""mat_copy"",1",秘境宝藏第十二章
63006,1,"""shop_mat""",材料商店
63007,1,"""kaifu"",40",开服排行活动
63008,1,"""shop_gobal"",0",全民商店
63009,1,"""shop_equip"",1",皇城天塔福利
63010,1,"""shop_equip"",3",帮会福利商店
63011,1,"""shop_jingji"",3",答题商店
63012,1,"""shop_jingji"",3",答题商店
63013,1,"""shop_jingji"",3",答题商店
63014,1,"""mat_copy"",1",秘境宝藏第十七章
63015,1,"""mat_copy"",1",秘境宝藏第二十一章
63016,1,"""shop_jingji"",1",竞技福利
63017,1,"""shop_jingji"",1",竞技福利
63018,1,"""shop_heishi""",神秘商店
63019,1,"""shop_equip"",3",帮会福利商店
63020,1,"""shop_zhuangban"",1",友情商店
63021,1,"""shop_zhuangban"",1",友情商店
63022,1,"""mat_copy"",1",秘境宝藏第二十四章
63023,1,"""mat_copy"",1",秘境宝藏第二十六章
63024,1,"""shop_jingji"",3",答题商店
63025,1,"""shop_jingji"",3",答题商店
63026,1,"""shop_jingji"",3",答题商店
63027,1,"""shop_equip"",3",帮会福利商店
63028,1,,开服第2日活动
63029,1,"""mat_copy"",1",秘境宝藏第十三章
