聊天Id,聊天内容,"transform_s(用于对接收到的参数进行转换)编写规则{[index1] = op,[index2] = op}30:主角名字"
chatId_kn,content_s,transform_t
10001,说出来你可能不信，这是我最喜欢玩的游戏,
10002,我是一条很认真的广告：欢迎来到全民最爱游戏,
10003,这里的人很好，说话又好听，我超喜欢这里,
10004,刚来的软萌新，求各位大神带飞,
10005,不是我吹，我砍这些怪像切菜一样简单,
10006,前排出售帅哥，来个萌妹子结婚一起玩～,
10007,在线求夫，来个帅哥带带我,
10008,萌新，求大神师傅一枚,
10009,互相关注，送友情币,
10010,我就问一句：还有谁？哈哈哈,
10011,我不是针对谁，我是说玩游戏的都很帅,
10012,有人要和我结婚吗？没有我待会再来问问,
10013,想找一个结婚玩游戏的，如果没有我待会再来问问,
10014,这个画面太美我不敢看,
10015,你这个话说的好，就喜欢你这种诚实人,
10016,一群戏精,
10017,先定了小目标：比如升到200级,
