daxie,名字,缩放,镜像,骨骼操作,模型名,换装,二进制加载
entryId_kn,name_c,scale_n,mirror_b,boneOperation_t1,modelpath_s,show_s,dbbin_n
9901,历练法宝01,,,,data/sprite/liLian/fabao01,,
9902,历练法宝02,,,,data/sprite/liLian/fabao02,,
9903,历练法宝03,,,,data/sprite/liLian/fabao03,,
9904,历练法宝04,,,,data/sprite/liLian/fabao04,,
9905,历练法宝05,,,,data/sprite/liLian/fabao05,,
9906,历练法宝06,,,,data/sprite/liLian/fabao06,,
9907,历练法宝07,,,,data/sprite/liLian/fabao07,,
9908,历练法宝08,,,,data/sprite/liLian/fabao08,,
9909,历练法宝09,,,,data/sprite/liLian/fabao09,,
9910,历练法宝10,,,,data/sprite/liLian/fabao10,,
11001,天仙1阶,,,,data/sprite/tianXian/tianxian01,,
11002,天仙2阶,,,,data/sprite/tianXian/tianxian02,,
11003,天仙3阶,,,,data/sprite/tianXian/tianxian03,,
11004,天仙4阶,,,,data/sprite/tianXian/tianxian04,,
11005,天仙5阶,,,,data/sprite/tianXian/tianxian05,,
11006,天仙6阶,,,,data/sprite/tianXian/tianxian06,,
11007,天仙7阶,,,,data/sprite/tianXian/tianxian07,,
11008,天仙8阶,,,,data/sprite/tianXian/tianxian08,,
11009,天仙9阶,,,,data/sprite/tianXian/tianxian09,,
11010,天仙10阶,,,,data/sprite/tianXian/tianxian10,,
50001,天仙皮肤,,,,data/sprite/tianXian/tianxianpifu01,,
50002,天仙皮肤,,,,data/sprite/tianXian/tianxianpifu02,,
50003,天仙皮肤,,,,data/sprite/tianXian/tianxianpifu03,,
50004,天仙皮肤,,,,data/sprite/tianXian/tianxianpifu04,,
50005,天仙皮肤,,,,data/sprite/tianXian/tianxianpifu05,,
50006,天仙皮肤,,,,data/sprite/tianXian/tianxianpifu06,,
50007,天仙皮肤,,,,data/sprite/tianXian/tianxianpifu07,,
50008,天仙皮肤,,,,data/sprite/tianXian/tianxianpifu08,,
50009,天仙皮肤,,,,data/sprite/tianXian/tianxianpifu09,,
50010,天仙皮肤,,,,data/sprite/tianXian/tianxianpifu10,,
50011,天仙皮肤,,,,data/sprite/tianXian/tianxianpifu11,,
50012,天仙皮肤,,,,data/sprite/tianXian/tianxianpifu12,,
12001,神武男初始武器,,,,data/sprite/role/ShengWuNanQiCheng-WuQi,,
12002,逍遥男初始武器,,,,data/sprite/role/XiaoYaoNanQiCheng-WuQi,,
12003,心魔男初始武器,,,,data/sprite/role/XinMoNanQiCheng-WuQi,,
12004,男神兵1阶,,,,data/sprite/weapon/shenbing_nan01,,
12005,男神兵2阶,,,,data/sprite/weapon/shenbing_nan02,,
12006,男神兵3阶,,,,data/sprite/weapon/shenbing_nan03,,
12007,男神兵4阶,,,,data/sprite/weapon/shenbing_nan04,,
12008,男神兵5阶,,,,data/sprite/weapon/shenbing_nan05,,
12009,男神兵6阶,,,,data/sprite/weapon/shenbing_nan06,,
12010,男神兵7阶,,,,data/sprite/weapon/shenbing_nan07,,
12011,男神兵8阶,,,,data/sprite/weapon/shenbing_nan08,,
12012,男神兵9阶,,,,data/sprite/weapon/shenbing_nan09,,
12013,男神兵10阶,,,,data/sprite/weapon/shenbing_nan10,,
12101,神武女初始武器,,,,data/sprite/role/ShengWuNvQiCheng-WuQi,,
12102,逍遥女初始武器,,,,data/sprite/role/XiaoYaoNvQiCheng-WuQi,,
12103,心魔女初始武器,,,,data/sprite/role/XinMoNvQiCheng-WuQi,,
12104,女神兵1阶,,,,data/sprite/weapon/shenbing_nv01,,
12105,女神兵2阶,,,,data/sprite/weapon/shenbing_nv02,,
12106,女神兵3阶,,,,data/sprite/weapon/shenbing_nv03,,
12107,女神兵4阶,,,,data/sprite/weapon/shenbing_nv04,,
12108,女神兵5阶,,,,data/sprite/weapon/shenbing_nv05,,
12109,女神兵6阶,,,,data/sprite/weapon/shenbing_nv06,,
12110,女神兵7阶,,,,data/sprite/weapon/shenbing_nv07,,
12111,女神兵8阶,,,,data/sprite/weapon/shenbing_nv08,,
12112,女神兵9阶,,,,data/sprite/weapon/shenbing_nv09,,
12113,女神兵10阶,,,,data/sprite/weapon/shenbing_nv10,,
60001,男神兵皮肤01,,,,data/sprite/weapon/ShengBingNanPiFu01,,
60002,男神兵皮肤02,,,,data/sprite/weapon/ShengBingNanPiFu02,,
60003,男神兵皮肤03,,,,data/sprite/weapon/ShengBingNanPiFu03,,
60004,男神兵皮肤04,,,,data/sprite/weapon/ShengBingNanPiFu04,,
60005,男神兵皮肤05,,,,data/sprite/weapon/ShengBingNanPiFu05,,
60006,男神兵皮肤06,,,,data/sprite/weapon/ShengBingNanPiFu06,,
60007,男神兵皮肤07,,,,data/sprite/weapon/ShengBingNanPiFu07,,
60008,男神兵皮肤08,,,,data/sprite/weapon/ShengBingNanPiFu08,,
