entryId,名称,模型,名字颜色（1灰 2绿 3蓝 4紫 5金 6红）,类型(-1，分身半透明；-2，头顶；-3不透明),宠物半身像,怪物帮手提示对白,发招对白
Id_kn,Name_s,model_n,quality_n,type_n,bust_n,lines_s,skillIntro_t
40000001,天将,20048,,,20048,,
40000002,月兔,20002,,,20002,,
40000003,鲛人,20003,,,20003,,
40000004,狐妖,20004,,,20004,,
40000005,巡海夜叉,20005,,,20005,,
40000006,持国天王,20006,,,20006,,
40000007,河神,20007,,,20007,,
40000008,棕熊,20008,,,20008,,
40000009,黑熊精,20009,,,20009,,
40000010,人鱼公主,20010,,,20010,,
40000011,猛虎,20011,,,20011,,
40000012,广目天王,20049,,,20049,,
40000013,重明鸟,20013,,,20013,,
40000014,巨灵神,20014,,,20014,,
40000015,趴趴熊,20015,,,20015,,
40000016,九尾狐,20016,,,20016,,
40000017,龙龟,20017,,,20017,,
40000018,武士,20018,,,20018,,
40000019,年兽,20019,,,20019,,
40000020,黑风小妖,20020,,,20020,,
40000021,熊猫,20021,,,20021,,
40000022,黑水麒麟,20022,,,20022,,
40000023,火德真君,20023,,,20023,,
40000024,六耳猕猴,20024,,,20024,,
40000025,地狱三头犬,20025,,,20025,,
40000026,强盗,20028,,,20028,,
40000027,白象王,20029,,,20029,,
50000001,靡籁,110001,5,,110001,,
50000002,混沌,110002,5,,110002,,
50000003,穷奇,110003,5,,110003,,
50000004,深渊之龙,110004,5,,110004,,
50000005,魅,110005,5,,110005,,
50000006,魑,110006,5,,110006,,
60000001,混沌,20025,,,100037,,
18,女儿国王,23001,,,23001,,
100109,小乌龟,100001,,,100001,,
100110,鱼精,20005,,,20005,,"[80046]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""站住，干什么的"", },},},"
100209,硬壳龟,100027,,,100027,,
100210,黑水玄蛇,20022,,,20022,,"[80063]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""竟敢潜入东海龙宫，好大的胆子"", },},},"
100309,蚌精,100005,,,100005,,
100310,蓝巨人,20045,,,20045,,"[80086]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""我劝你最好赶紧投降！"", },},},"
100409,巫龟,100022,,,100022,,
100410,水龙,20038,,,20038,,"[80079]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""擅闯龙宫的都只有死路一条！"", },},},"
100509,巫龟,100022,,,100022,,
100510,鲨鱼精,20007,,,20007,,"[80048]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""有生路不走，偏要走死路！"", },},},"
100609,小乌龟,100001,,,100001,,
100610,麒麟,20019,,,20019,,"[80105]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""把定海神针交回来！"", },},},"
100709,硬壳龟,100027,,,100027,,
100710,冰龙,20030,,,20030,,"[80071]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""你们竟敢打伤龙公主！"", },},},"
100809,蚌精,100005,,,100005,,
100810,混沌,100037,,,100037,,"[80037]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""我们愤怒起来连自己都害怕！"", },},},"
100909,巫龟,100022,,,100022,,
100910,深渊之龙,100039,,,100039,,"[80131]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""让你尝尝本公主的厉害！"", },},},"
101009,巫龟,100022,,,100022,,
101010,玄武,20042,,,20042,,"[80126]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""你好大的胆子，竟敢与龙宫对敌！"", },},},"
101109,石狮,100007,,,100007,,
101110,魑,100041,,,100041,,"[80041]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""来者何人，敢扰天庭秩序！"", },},},"
101209,小骷髅,100003,,,100003,,
101210,靡籁,100036,,,100036,,"[80132]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""我乃太上老君座下仙兽！"", },},},"
101309,异面怪,100009,,,100009,,
101310,逸琼玄女,100032,,,100032,,"[80114]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""让本仙来会会你！"", },},},"
101409,白熊精,20015,,,20015,,
101410,魑,100041,,,100041,,"[80041]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""师尊有令，守此天门，不得擅闯！"", },},},"
101509,五毒蝎,100021,,,100021,,
101510,云中子,100034,,,100034,,"[80117]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""宝殿之内，岂容你放肆！"", },},},"
101609,麟鹿,100015,,,100015,,
101610,逸琼玄女,100032,,,100032,,"[80114]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""让你见识一下本仙女的厉害！"", },},},"
101709,小骷髅,100003,,,100003,,
101710,云中子,100034,,,100034,,"[80117]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""让我来收拾你！"", },},},"
101809,蝶精灵,100010,,,100010,,
101810,宠物剑邪,100030,,,100030,,"[80030]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""打扰宝殿安宁，你可知罪！"", },},},"
101909,古树精,100013,,,100013,,
101910,粉红兔,20002,,,20002,,"[80043]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""我看你是不知道死字怎么写！"", },},},"
102009,剑魂,100012,,,100012,,
102010,宠物剑邪,100030,,,100030,,"[80030]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""哈哈，正愁这天庭的日子闲得慌！"", },},},"
102109,硬壳龟,100027,,,100027,,
102110,逸琼玄女,100032,,,100032,,"[80114]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""你这是自寻死路！"", },},},"
102209,异面怪,100009,,,100009,,
102210,地狱三头犬,20025,,,20025,,"[80099]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""别想再靠近一步！"", },},},"
102309,小僵尸,100019,,,100019,,
102310,靡籁,100036,,,100036,,"[80132]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""这次你可逃不掉了！"", },},},"
102409,山精,100029,,,100029,,
102410,魑,100041,,,100041,,"[80041]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""竟敢打扰上仙，找死！"", },},},"
102509,林妖,100014,,,100014,,
102510,逸琼玄女,100032,,,100032,,"[80114]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""宝殿的安宁由我来守护！"", },},},"
102609,五毒蝎,100021,,,100021,,
102610,狐妖,20004,,,20004,,"[80045]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""得寸进尺，看招！"", },},},"
102709,硬壳龟,100027,,,100027,,
102710,逸琼玄女,100032,,,100032,,"[80114]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""这就想走了，再陪姐姐玩会儿"", },},},"
102809,石狮,100007,,,100007,,
102810,粉红兔,20002,,,20002,,"[80043]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""现在的你，已经走不了了！"", },},},"
102909,石狮,100007,,,100007,,
102910,穷奇,100038,,,100038,,"[80130]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""把老君的丹药交出来，我还可饶你一命！"", },},},"
103009,小僵尸,100019,,,100019,,
103010,地狱三头犬,20025,,,20025,,"[80099]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""比头多，我可没输过谁！"", },},},"
103109,小骷髅,100003,,,100003,,
103110,云中子,100034,,,100034,,"[80117]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""是谁！怎么在这鬼鬼祟祟的"", },},},"
103209,跳跳鼠,100004,,,100004,,
103210,宠物剑邪,100030,,,100030,,"[80030]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""这里可不是活人敢来的地方！"", },},},"
103309,林妖,100014,,,100014,,
103310,星魔,20026,,,20026,,"[80109]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""你来这究竟有什么目的！"", },},},"
103409,小僵尸,100019,,,100019,,
103410,粉红兔,20002,,,20002,,"[80043]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""让我来会会你！"", },},},"
103509,冰火螳螂,100016,,,100016,,
103510,玄武,20042,,,20042,,"[80126]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""想闯大雁塔，先问问我答应不答应！"", },},},"
103609,炎魔,100017,,,100017,,
103610,龙龟,20017,,,20017,,"[80104]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""让我给你点颜色瞧瞧！"", },},},"
103709,五毒蝎,100021,,,100021,,
103710,小白虎,20011,,,20011,,"[80101]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""这里可不你想闯就能闯的！"", },},},"
103809,寒霜狼,100011,,,100011,,
103810,小白虎,20011,,,20011,,"[80101]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""天堂有路你不走，地狱无门你自来！"", },},},"
103909,小僵尸,100019,,,100019,,
103910,炼丹童子,17002,,,17002,,"[80090]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""居然来了，就留下别走了！"", },},},"
104009,小乌龟,100001,,,100001,,
104010,多闻天王,17006,,,17006,,"[80122]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""难不成你还想逆天改命！"", },},},"
104109,麟鹿,100015,,,100015,,
104110,星魔,20026,,,20026,,"[80109]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""在我的掌控下，你还能如何！"", },},},"
104209,山精,100029,,,100029,,
104210,剑邪,20012,,,20012,,"[80053]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""你选择了一条必死之路！"", },},},"
104309,蝶精灵,100010,,,100010,,
104310,鱼精,20005,,,20005,,"[80046]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""你这次插翅难飞！"", },},},"
104409,小僵尸,100019,,,100019,,
104410,白熊精,20015,,,20015,,"[80056]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""看来得拿出几分真本事让你瞧瞧了！"", },},},"
104509,小僵尸,100019,,,100019,,
104510,宠物剑邪,100030,,,100030,,"[80030]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""强龙不压地头蛇，你这是送死！"", },},},"
104609,蝶精灵,100010,,,100010,,
104610,剑侠兔,20031,,,20031,,"[80111]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""哼，你的命我就收下了！"", },},},"
104709,强盗,100002,,,100002,,
104710,剑邪,20012,,,20012,,"[80053]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""人各有命，何必强求！"", },},},"
104809,跳跳鼠,100004,,,100004,,
104810,蟹精,20010,,,20010,,"[80051]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""如此硬闯，就别怪我手下不留情了！"", },},},"
104909,五毒蝎,100021,,,100021,,
104910,熊猫,20021,,,20021,,"[80106]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""再往前就只有死路一条了！"", },},},"
105009,异面怪,100009,,,100009,,
105010,狻猊,20037,,,20037,,"[80078]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""放下屠刀，回头是岸！"", },},},"
105109,巫龟,100022,,,100022,,
105110,流浪剑客,17005,,,17005,,"[80121]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""大雁塔镇压各类妖魔，不可妄动！"", },},},"
105209,蚌精,100005,,,100005,,
105210,黑风老妖,20034,,,20034,,"[80075]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""让我来超度你！"", },},},"
105309,利刃猿,100028,,,100028,,
105310,深渊之龙,100039,,,100039,,"[80131]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""没想到你还能深入这里来！"", },},},"
105409,魔爪花,100025,,,100025,,
105410,猿猴,20024,,,20024,,"[80065]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""到这里已经是尽头了！"", },},},"
105509,魔爪花,100025,,,100025,,
105510,龙龟,20017,,,20017,,"[80104]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""你果然是为了镇压的妖魔来的！"", },},},"
105609,石狮,100007,,,100007,,
105610,雷震子,17010,,,17010,,"[80129]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""你和猴妖是一路的吧，让我们好好算算账！"", },},},"
105709,跳跳鼠,100004,,,100004,,
105710,龙龟,20017,,,20017,,"[80104]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""想离开，要先问过我！"", },},},"
105809,石狮,100007,,,100007,,
105810,粉红兔,20002,,,20002,,"[80043]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""你现在离开还能捡回一条小命！"", },},},"
105909,灵猴,100023,,,100023,,
105910,玉冥真人,100033,,,100033,,"[80033]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""现在想走，晚了！"", },},},"
106009,白熊精,20015,,,20015,,
106010,小白虎,20011,,,20011,,"[80101]={[""times""]={[1]={[1]={[1]="">"", [2]=0, },[2]=""没有人能从我这里离开！"", },},},"
106109,剑魂,100012,,,100012,,
106110,粉红兔,20002,,,20002,,
106209,麟鹿,100015,,,100015,,
106210,麒麟,20019,,,20019,,
106309,灵猴,100023,,,100023,,
106310,招财猫,20035,,,20035,,
106409,瞌睡蛇,100020,,,100020,,
106410,星魔,20026,,,20026,,
106509,白熊精,20015,,,20015,,
106510,龙象精,20028,,,20028,,
106609,魔爪花,100025,,,100025,,
106610,酒仙,20036,,,20036,,
106709,异面怪,100009,,,100009,,
106710,鲨鱼精,20007,,,20007,,
106809,石巨人,100024,,,100024,,
106810,龙象精,20028,,,20028,,
106909,利刃猿,100028,,,100028,,
106910,龙龟,20017,,,20017,,
107009,巫龟,100022,,,100022,,
107010,龙象精,20028,,,20028,,
107109,白熊精,20015,,,20015,,
107110,深渊之龙,100039,,,100039,,
107209,强盗,100002,,,100002,,
107210,穷奇,100038,,,100038,,
107309,寒霜狼,100011,,,100011,,
107310,剑侠兔,20031,,,20031,,
107409,冰火螳螂,100016,,,100016,,
107410,剑侠兔,20031,,,20031,,
107509,麟鹿,100015,,,100015,,
107510,白熊精,20015,,,20015,,
107609,寒霜狼,100011,,,100011,,
107610,玄武,20042,,,20042,,
107709,灵猴,100023,,,100023,,
107710,黑水玄蛇,20022,,,20022,,
107809,利刃猿,100028,,,100028,,
107810,晶魂,20018,,,20018,,
107909,蝶精灵,100010,,,100010,,
107910,蟹精,20010,,,20010,,
108009,异面怪,100009,,,100009,,
108010,剑邪,20012,,,20012,,
108109,小僵尸,100019,,,100019,,
108110,青龙,20040,,,20040,,
108209,五毒蝎,100021,,,100021,,
108210,虎力大仙,20044,,,20044,,
108309,蛮牛,100006,,,100006,,
108310,地狱三头犬,20025,,,20025,,
108409,石狮,100007,,,100007,,
108410,麒麟,20019,,,20019,,
108509,石狮,100007,,,100007,,
108510,龙象精,20028,,,20028,,
108609,木鱼怪,100026,,,100026,,
108610,深渊之龙,100039,,,100039,,
108709,五毒蝎,100021,,,100021,,
108710,黑风小妖,20020,,,20020,,
108809,寒霜狼,100011,,,100011,,
108810,白象精,20029,,,20029,,
108909,魔爪花,100025,,,100025,,
108910,白虎,20041,,,20041,,
109009,利刃猿,100028,,,100028,,
109010,鲨鱼精,20007,,,20007,,
109109,冰火螳螂,100016,,,100016,,
109110,炼丹童子,17002,,,17002,,
109209,剑魂,100012,,,100012,,
109210,鲨鱼精,20007,,,20007,,
109309,蛮牛,100006,,,100006,,
109310,深渊之龙,100039,,,100039,,
109409,利刃猿,100028,,,100028,,
109410,熊猫,20021,,,20021,,
109509,麟鹿,100015,,,100015,,
109510,黑风小妖,20020,,,20020,,
109609,硬壳龟,100027,,,100027,,
109610,逸琼玄女,100032,,,100032,,
109709,强盗,100002,,,100002,,
109710,黑风小妖,20020,,,20020,,
109809,硬壳龟,100027,,,100027,,
109810,玉冥真人,100033,,,100033,,
109909,剑魂,100012,,,100012,,
109910,百花仙子,17009,,,17009,,
110009,小僵尸,100019,,,100019,,
110010,鲨鱼精,20007,,,20007,,
110109,异面怪,100009,,,100009,,
110110,狐妖,20004,,,20004,,
110209,古树精,100013,,,100013,,
110210,月光蝶,17001,,,17001,,
110309,林妖,100014,,,100014,,
110310,酒仙,20036,,,20036,,
110409,强盗,100002,,,100002,,
110410,鲨鱼精,20007,,,20007,,
110509,石巨人,100024,,,100024,,
110510,百花仙子,17009,,,17009,,
110609,跳跳鼠,100004,,,100004,,
110610,桃花仙子,17003,,,17003,,
110709,炎魔,100017,,,100017,,
110710,小白虎,20011,,,20011,,
110809,白熊精,20015,,,20015,,
110810,鱼精,20005,,,20005,,
110909,冰火螳螂,100016,,,100016,,
110910,月光蝶,17001,,,17001,,
111009,麟鹿,100015,,,100015,,
111010,地狱三头犬,20025,,,20025,,
111109,跳跳鼠,100004,,,100004,,
111110,狻猊,20037,,,20037,,
111209,魔爪花,100025,,,100025,,
111210,蟹精,20010,,,20010,,
111309,跳跳鼠,100004,,,100004,,
111310,靡籁,100036,,,100036,,
111409,山精,100029,,,100029,,
111410,地狱三头犬,20025,,,20025,,
111509,麟鹿,100015,,,100015,,
111510,剑侠兔,20031,,,20031,,
111609,硬壳龟,100027,,,100027,,
111610,九尾狐,20016,,,20016,,
111709,古树精,100013,,,100013,,
111710,麒麟,20019,,,20019,,
111809,剑魂,100012,,,100012,,
111810,地狱三头犬,20025,,,20025,,
111909,蛮牛,100006,,,100006,,
111910,狻猊,20037,,,20037,,
112009,灵猴,100023,,,100023,,
112010,小白虎,20011,,,20011,,
112109,寒霜狼,100011,,,100011,,
112110,冰龙,20030,,,20030,,
112209,石巨人,100024,,,100024,,
112210,鹿力大仙,20047,,,20047,,
112309,灵猴,100023,,,100023,,
112310,蓝巨人,20045,,,20045,,
112409,石狮,100007,,,100007,,
112410,酒仙,20036,,,20036,,
112509,寒霜狼,100011,,,100011,,
112510,玉冥真人,100033,,,100033,,
112609,灵猴,100023,,,100023,,
112610,酒仙,20036,,,20036,,
112709,硬壳龟,100027,,,100027,,
112710,黑风老妖,20034,,,20034,,
112809,硬壳龟,100027,,,100027,,
112810,地狱三头犬,20025,,,20025,,
112909,邪毒蜂,100018,,,100018,,
112910,虎力大仙,20044,,,20044,,
113009,山精,100029,,,100029,,
113010,鱼精,20005,,,20005,,
113109,瞌睡蛇,100020,,,100020,,
113110,星魔,20026,,,20026,,
113209,山精,100029,,,100029,,
113210,熊精,20009,,,20009,,
113309,邪毒蜂,100018,,,100018,,
113310,星魔,20026,,,20026,,
113409,炎魔,100017,,,100017,,
113410,魑,100041,,,100041,,
113509,剑魂,100012,,,100012,,
113510,穷奇,100038,,,100038,,
113609,硬壳龟,100027,,,100027,,
113610,熊猫,20021,,,20021,,
113709,剑魂,100012,,,100012,,
113710,熊精,20009,,,20009,,
113809,小骷髅,100003,,,100003,,
113810,狮驼,20046,,,20046,,
113909,魔爪花,100025,,,100025,,
113910,宠物剑邪,100030,,,100030,,
114009,冰火螳螂,100016,,,100016,,
114010,深渊之龙,100039,,,100039,,
114109,巫龟,100022,,,100022,,
114110,宠物剑邪,100030,,,100030,,
