ID,名称缩写,消耗能量,消耗奥义值,怪物技能介绍,技能放置位（允许多个框）,技能类型(1表示绝招，2表示奥义招，享有最高表演优先级）,禁止连发（用于吟唱和持续施法的起手阶段）,升级说明
Id_kn,Name_s,NeedRP,NeedMP,skillIntro_s,posSet_t,type_n,atonce_n,readme2_s
1,普通攻击,0,,普通攻击,,0,0,
31001,烈焰突刺,0,,对随机单体造成30%的伤害，附加162点攻击。,,0,0,
31002,分身斩,0,,对随机3个敌人造成26%的伤害，附加78点攻击。,,0,0,
31003,圆月斩,0,,对随机单体造成34%的伤害，附加219点攻击，并使下次伤害提升30%。,,0,0,
31004,神龙火柱,0,,对敌方全体造成10%的伤害，附加468点攻击，并使全队下回合伤害提升10%。,,0,0,
31005,半月斩,0,,对随机单体造成64%的伤害，附加468点攻击,,0,0,
32001,飞龙在天,0,,对随机单体造成30%的伤害，附加162点攻击。,,0,0,
32002,寒冰突刺,0,,对随机3个敌人造成26%的伤害，附加78点攻击。,,0,0,
32003,龙卷残云,0,,对随机单体造成34%的伤害，附加219点攻击，并使下次伤害提升30%。,,0,0,
32004,双龙绞杀,0,,对敌方全体造成10%的伤害，附加468点攻击，并使全队下回合伤害提升10%。,,0,0,
32005,飞龙息,0,,对随机单体造成64%的伤害，附加468点攻击,,0,0,
33001,瞬影突袭,0,,对随机单体造成30%的伤害，附加162点攻击。,,0,0,
33002,恶灵毒气,0,,对随机3个敌人造成26%的伤害，附加78点攻击。,,0,0,
33003,星河逆转,0,,对随机单体造成34%的伤害，附加219点攻击，并使下次伤害提升30%。,,0,0,
33004,罡气笼罩,0,,对敌方全体造成10%的伤害，附加468点攻击，并使全队下回合伤害提升10%。,,0,0,
33005,幽灵一刀,0,,对随机单体造成64%的伤害，附加468点攻击,,0,0,
40001,月光洗礼,0,,对随机2个目标造成18%+620的伤害。,,0,0,
40002,毒葫芦,0,,对随机1个目标造成15%+300的伤害。,,0,0,
40003,荆棘丛生,0,,对随机2个目标造成15%+380的伤害。,,0,0,
40004,蝶花乱舞,0,,对随机2个目标造成16%+460的伤害。,,0,0,
40005,流浪剑法,0,,对随机2个目标造成18%+540的伤害。,,0,0,
40006,风龙天旋,0,,对随机2个目标造成20%+780的伤害。,,0,0,
40007,光点打击,0,,对随机2个目标造成20%+780的伤害。,,0,0,
40008,敕令灵符,0,,对随机3个目标造成22%+860的伤害。,,0,0,
40009,百花葬,0,,对随机3个目标造成24%+940的伤害。,,0,0,
40010,雷霆万钧,0,,对随机3个目标造成26%+1020的伤害。,,0,0,
50001,天将,0,,对随机1个目标造成20%+280的伤害。,,0,0,
50002,月兔,0,,对随机1个目标造成20%+560的伤害。,,0,0,
50003,鲛人,0,,对随机1个目标造成20%+840的伤害。,,0,0,
50004,狐妖,0,,对随机1个目标造成20%+1120的伤害。,,0,0,
50005,巡海夜叉,0,,对随机1个目标造成21%+1400的伤害。,,0,0,
50006,持国天王,0,,对随机3个目标造成16%+1008的伤害。,,0,0,
50007,鲨鱼精,0,,对随机1个目标造成20%+1000的伤害。,,0,0,
50008,棕熊,0,,对随机1个目标造成21%+1000的伤害。,,0,0,
50009,黑熊精,0,,对随机1个目标造成22%+1000的伤害。,,0,0,
50010,蟹王,0,,对随机1个目标造成22%+1960的伤害。,,0,0,
50011,猛虎,0,,对随机3个目标造成16.5%+1344的伤害。,,0,0,
50012,广目天王,0,,对随机1个目标造成23%+2520的伤害。,,0,0,
