ID,技能等级,技能品质框（1是灰色 2是绿色 3是蓝色 4是紫色 5是金色 6是红色 7是彩色）,名称缩写,图标,技能描述
Id_kn,Level_kn,Quality_n,Name_s,Icon_n,Describe_s
#主角技能,,,,,
31001,1,2,烈焰突刺,31001,对随机单体造成30%%的伤害，附加%d点攻击。
31002,1,2,分身斩,31002,对随机3个敌人造成26%%的伤害，附加%d点攻击。
31003,1,2,圆月斩,31003,对随机单体造成34%%的伤害，附加%d点攻击，并使下次伤害提升30%%。
31004,1,2,神龙火柱,31004,对敌方全体造成10%%的伤害，附加%d点攻击，并使全队下回合伤害提升10%%。
31005,1,2,半月斩,31005,对随机单体造成64%%的伤害，附加%d点攻击
32001,1,2,飞龙在天,32001,对随机单体造成30%%的伤害，附加%d点攻击。
32002,1,2,寒冰突刺,32002,对随机3个敌人造成26%%的伤害，附加%d点攻击。
32003,1,2,龙卷残云,32003,对随机单体造成34%%的伤害，附加%d点攻击，并使下次伤害提升30%%。
32004,1,2,双龙绞杀,32004,对敌方全体造成10%%的伤害，附加%d点攻击，并使全队下回合伤害提升10%%。
32005,1,2,飞龙息,32005,对随机单体造成64%%的伤害，附加%d点攻击
33001,1,2,瞬影突袭,33001,对随机单体造成30%%的伤害，附加%d点攻击。
33002,1,2,恶灵毒气,33002,对随机3个敌人造成26%%的伤害，附加%d点攻击。
33003,1,2,星河逆转,33003,对随机单体造成34%%的伤害，附加%d点攻击，并使下次伤害提升30%%。
33004,1,2,罡气笼罩,33004,对敌方全体造成10%%的伤害，附加%d点攻击，并使全队下回合伤害提升10%%。
33005,1,2,幽灵一刀,33005,对随机单体造成64%%的伤害，附加%d点攻击
,,,,,
#仙君技能,,,,,
40001,1,1,万千猴兵,40001,对随机2名目标造成16%+460的伤害
40001,2,2,万千猴兵,40001,对随机2名目标造成16%+690的伤害
40001,3,3,万千猴兵,40001,对随机2名目标造成21%+690的伤害
40001,4,4,万千猴兵,40001,对随机2名目标造成21%+920的伤害
40001,5,5,万千猴兵,40001,对随机2名目标造成26%+920的伤害
40001,6,6,万千猴兵,40001,对随机2名目标造成26%+1150的伤害
40001,7,7,万千猴兵,40001,对随机2名目标造成31%+1150的伤害
40002,1,1,毒葫芦,40002,对随机1名目标造成15%+300的伤害
40002,2,2,毒葫芦,40002,对随机1名目标造成15%+450的伤害
40002,3,3,毒葫芦,40002,对随机1名目标造成20%+450的伤害
40002,4,4,毒葫芦,40002,对随机1名目标造成20%+600的伤害
40002,5,5,毒葫芦,40002,对随机1名目标造成25%+600的伤害
40002,6,6,毒葫芦,40002,对随机1名目标造成25%+750的伤害
40002,7,7,毒葫芦,40002,对随机1名目标造成30%+750的伤害
40003,1,1,旋风斩,40003,对随机2名目标造成15%+380的伤害
40003,2,2,旋风斩,40003,对随机2名目标造成15%+570的伤害
40003,3,3,旋风斩,40003,对随机2名目标造成20%+570的伤害
40003,4,4,旋风斩,40003,对随机2名目标造成20%+760的伤害
40003,5,5,旋风斩,40003,对随机2名目标造成25%+760的伤害
40003,6,6,旋风斩,40003,对随机2名目标造成25%+950的伤害
40003,7,7,旋风斩,40003,对随机2名目标造成30%+950的伤害
40004,1,1,千军破,40006,对随机2名目标造成20%+780的伤害
40004,2,2,千军破,40006,对随机2名目标造成20%+1170的伤害
40004,3,3,千军破,40006,对随机2名目标造成25%+1170的伤害
40004,4,4,千军破,40006,对随机2名目标造成25%+1560的伤害
40004,5,5,千军破,40006,对随机2名目标造成30%+1560的伤害
40004,6,6,千军破,40006,对随机2名目标造成30%+1950的伤害
40004,7,7,千军破,40006,对随机2名目标造成35%+1950的伤害
40005,1,1,神捕剑法,40005,对随机2名目标造成18%+540的伤害
40005,2,2,神捕剑法,40005,对随机2名目标造成18%+810的伤害
40005,3,3,神捕剑法,40005,对随机2名目标造成23%+810的伤害
40005,4,4,神捕剑法,40005,对随机2名目标造成23%+1080的伤害
40005,5,5,神捕剑法,40005,对随机2名目标造成28%+1080的伤害
40005,6,6,神捕剑法,40005,对随机2名目标造成28%+1350的伤害
40005,7,7,神捕剑法,40005,对随机2名目标造成33%+1350的伤害
40006,1,1,蝶花乱舞,40004,对随机2名目标造成18%+680的伤害
40006,2,2,蝶花乱舞,40004,对随机2名目标造成18%+1020的伤害
40006,3,3,蝶花乱舞,40004,对随机2名目标造成23%+1020的伤害
40006,4,4,蝶花乱舞,40004,对随机2名目标造成23%+1360的伤害
40006,5,5,蝶花乱舞,40004,对随机2名目标造成28%+1360的伤害
40006,6,6,蝶花乱舞,40004,对随机2名目标造成28%+1700的伤害
40006,7,7,蝶花乱舞,40004,对随机2名目标造成33%+1700的伤害
40007,1,1,八部天龙,40007,对随机2名目标造成23%+780的伤害
40007,2,2,八部天龙,40007,对随机2名目标造成23%+1170的伤害
40007,3,3,八部天龙,40007,对随机2名目标造成28%+1170的伤害
40007,4,4,八部天龙,40007,对随机2名目标造成28%+1560的伤害
40007,5,5,八部天龙,40007,对随机2名目标造成33%+1560的伤害
40007,6,6,八部天龙,40007,对随机2名目标造成33%+1950的伤害
40007,7,7,八部天龙,40007,对随机2名目标造成38%+1950的伤害
40008,1,1,敕令灵符,40008,对随机3名目标造成25%+860的伤害
40008,2,2,敕令灵符,40008,对随机3名目标造成25%+1290的伤害
40008,3,3,敕令灵符,40008,对随机3名目标造成30%+1290的伤害
40008,4,4,敕令灵符,40008,对随机3名目标造成30%+1720的伤害
40008,5,5,敕令灵符,40008,对随机3名目标造成35%+1720的伤害
40008,6,6,敕令灵符,40008,对随机3名目标造成35%+2150的伤害
40008,7,7,敕令灵符,40008,对随机3名目标造成40%+2150的伤害
