索引,功能名称,功能简介,开启提示,图标名称,标题（用于文字简介）,
index_ks,name_s,introduce_s,openTips_s,imageName_s,title_s,giftIndex_n
huodong,活动,在线答题、时空宝箱、在线抢答、美味甜点、圣地双倍、公会战；大量活动等待你的参与！,进入游戏开启,,,
jinsheng,职业晋升,解锁不同职业形象，开启更多职业技能，快来解锁吧！,进入游戏开启,,,
shengji,角色升级,升级角色可提升能力！,通过第一章第四关开启,xsyd_kaiQi_shengJi,,
juexing,伙伴进阶,伙伴进阶可大幅提升伙伴的能力！,通过第一章第十二关开启,xsyd_kaiQi_jueXing,,
qianhua,装备强化,大幅提升装备的属性！#br(#yellow强化推荐礼包#rf：想一刀秒小怪吗？买它不吃亏！）,通过第一章第九关开启,xsyd_kaiQi_qiangHua,,
shouhu,守护,解锁炫酷翅膀形象，拥有神秘力量！#br(#yellow守护推荐礼包#rf：助你解锁高级守护外观，全体女神战力飙升！）,通过第二章第十二关开启,xsyd_kaiQi_shouHu,,
jineng,技能升级,提升技能的效果！,通过第七章第十二关开启,xsyd_kaiQi_skillShengJi,,
jingjichang,竞技场,谁来与我一决高低，来竞技场试试你的身手吧。还有排名奖励可以拿哦！进入途径：日常活动-竞技场,通过第二章第三关开启,xsyd_kaiQi_jingJiChang,,
juntuan,公会,创建自己的公会或者加入强大的公会，打造属于我们的辉煌！进入途径：更多-公会,通过第二章第十关开启,xsyd_kaiQi_gongHui,,
shilianchang,海底逃生,神秘的海底，大量的金币钻石等您来取，还可以与伙伴们组队参与！进入途径：日常活动-海底逃生,通过第一章第三关开启,xsyd_kaiQi_shiLianChang,,
yuling,御灵,提升角色的生命和攻击！#br(#yellow御灵推荐礼包#rf：极为有效的提升全体战力的手段，战力狂飙！）,通过第五章第十二关开启,xsyd_kaiQi_yuling,,
tupo,蜕变,蜕变提升伙伴能力，拥有更酷外观！#br(#yellow蜕变推荐礼包#rf：蜕变直升3级，形象与战力大幅增长！）,通过第三章第十二关开启,xsyd_kaiQi_tuPo,,
jiban,羁绊,植入天赋石可以获得神力哦！#br(#yellow天赋石推荐礼包#rf：不可或缺的两种天赋石，提升战力的好帮手！）,通过第一章第十一关开启,xsyd_kaiQi_jiban,,
zhuangbeigongming,装备共鸣,穿戴指定的装备，可以产生共鸣获得加成属性#br(#yellow装备共鸣礼包#rf：不受等级限制的高级别装备，战力大幅增加！）,通过第三章第五关开启,xsyd_kaiQi_zhuangBeiGongMing,,
guyong,雇佣,可雇佣他人的伙伴，助你一臂之力！详情：布阵界面-雇佣申请,进入游戏开启,,,
zudui,组队,与其他玩家一起奋勇战斗吧！进入途径：更多-组队,通过第五章第三关开启,xsyd_kaiQi_zudui,,
qitian,七日任务,女神召集石、海量青苹果、强化石、钻石等大奖等你来拿！,通过第一章第十关开启,xsyd_kaiQi_qiri,,
meiri,每日任务,按照每日任务进行游戏，可轻松成长哦！,通过第三章第六关开启,xsyd_kaiQi_meiri,,
choujiang,祭坛,祭坛召唤，宝物拿不停！#br(#yellow祭坛推荐礼包#rf：充值月卡送120抽！！更有挂机产出价值及钻石返还等福利！）,通过第一章第六关开启,xsyd_kaiQi_jiTan,,
paihangbang,排行榜,在这份吸引眼球的榜单上留下你的印记吧！进入途径：更多-排行榜,通过第三章第二关开启,xsyd_kaiQi_paiHang,,
homepage,个人主页,SHOW出你自己！进入途径：更多-个人主页,通过第二章第六关开启,xsyd_kaiQi_zhuYe,,
hanghai,航海贸易,海上贸易，收益颇丰富，但小心被他人抢劫哦！进入途径：日常活动-航海贸易,通过第二章第六关开启,xsyd_kaiQi_hangHai,,
xuemeng,血盟,与伙伴签订血盟契约，大家一起战斗！进入途径：更多-血盟,通过第三章第一关开启,xsyd_kaiQi_xuemeng,,
shengdi,圣地,圣地挂机，收获各类资源！,进入游戏开启,,,
shenbing,圣使,圣使开启，装备圣使能力飙升！#br#yellow你获得了圣使10分钟体验时间。#rf,通过第三章第三关开启,xsyd_kaiQi_shenbing,,
yangcheng,养成,养成开启，与角色互动养成,通过第一章第一关开启,xsyd_kaiQi_yangCheng,,
aoyi,奥义,奥义技能开启，开启更绚丽，更强大的技能,通过第四章第六关开启,xsyd_kaiQi_aoYi,,
xianji,献祭,献祭功能开启，通过献祭让自己变得更强吧,通过第十章第十二关开启,xsyd_kaiQi_xianJi,,
