任务序号,对话序号,任务名字,头顶图标类型,类型（0普通1隐形节点）,npcId,对话npc,选择显示面板（1是正常对话框，2是剧情对话框）,仅对nodeId=0使用。nodeId=0是功能按钮，判断是否隐藏功能按钮。nodeId=0时候，如果有跳转判断就会自动切入对话,内容 ,选项1,跳转1,操作1（1记录对话节点2提交任务3触发战斗4记录npc）,选项2,跳转2,操作2,选项3,跳转3,操作3,选项4,跳转4,操作4,选项5,跳转5,操作5
TalkId_n,NodeId_n,Name_c,funcType_n,type,NpcIds_s,NpcNames_s,frametype_n,Show_t,Content_s,Option1_s,NextNode1_t,Operation1_t,Option2_s,NextNode2_t,Operation2_t,Option3_s,NextNode3_t,Operation3_t,Option4_s,NextNode4_t,Operation4_t,Option5_s,NextNode5_t,Operation5_t
100,-1,功能对话,,1,,,,,,,0,"""打开关卡UI"",['param']=1",,,,,,,,,,,,
103,-1,,,1,,,1,,,,,"""魔女战斗""",,,,,,,,,,,,
104,-1,,,1,,,1,,,,,"""捡取终极魔女宝箱""",,,,,,,,,,,,
105,-1,,,1,,,1,,,,,"""捡取令牌""",,,,,,,,,,,,
106,-1,,,1,,,1,,,,,"""挑战BOSS""",,,,,,,,,,,,
107,-1,,,1,,,1,,,,,"""捡取混沌世界宝箱""",,,,,,,,,,,,
108,-1,,,1,,,1,,,,,"""点击惊喜宝箱""",,,,,,,,,,,,
111,-1,,,1,,,1,,,,,"""封印之地pkNPC""",,,,,,,,,,,,
112,-1,,,1,,,1,,,,,"""封印之地pkBossNPC""",,,,,,,,,,,,
115,-1,,,1,,,1,,,,,"""捡取迷之宝箱"",['param']=1",,,,,,,,,,,,
116,-1,,,1,,,1,,,,,"""点击时空盗贼"",['param']=2",,,,,,,,,,,,
117,-1,,,1,,,1,,,,,"""拾取光明神像""",,,,,,,,,,,,
118,-1,,,1,,,1,,,,,"""拾取军团令牌""",,,,,,,,,,,,
119,-1,,,,,,3,,#norb确定离开军团战副本？,确定,,"""点击军团接引人""",关闭,,,,,,,,,,,
120,-1,,,1,,,1,,,,,"""点击军团冠军旗""",,,,,,,,,,,,
121,-1,,,1,,,1,,,,,"""挑战攻城boss""",,,,,,,,,,,,
122,-1,,,1,,,1,,,,,"""拾取魔物宝箱""",,,,,,,,,,,,
