任务序号,对话序号,任务名字,类型（0普通1隐形节点）,npcId,对话npc,选择显示面板（1是正常对话框，2是剧情对话框）,仅对nodeId=0使用。nodeId=0是功能按钮，判断是否隐藏功能按钮。nodeId=0时候，如果有跳转判断就会自动切入对话,内容 ,选项1,跳转1,操作1（1记录对话节点2提交任务3触发战斗4记录npc）,选项2,跳转2,操作2,选项3,跳转3,操作3,选项4,跳转4,操作4
TalkId_n,NodeId_n,Name_s,type,NpcIds_s,NpcNames_c,frametype_n,Show_t,Content_s,Option1_s,NextNode1_t,Operation1_t,Option2_s,NextNode2_t,Operation2_t,Option3_s,NextNode3_t,Operation3_t,Option4_s,NextNode4_t,Operation4_t
-500000,1,冥王哈迪斯,1,11005,,1,,,,"{2,{[""是否队长""]=true, [""活动中""]=0}},{3,{[""是否队长""]=true}},{0}",,,,,,,,,,
-500000,2,冥王哈迪斯,0,11005,,1,,快去刷怪吧，组队频道会显示怪物资讯，请留意,进入圣地,,"""封魔入圣地"",['param']={""#space#lime#red沙魔#rf（法攻高）出现在圣地#deepskyblue破木屋#rf附近，请把它封印""}",,,,,,,,,
-500000,3,冥王哈迪斯,1,11005,,1,,,,,"""引导天使"",['param']={""#space#lime#red沙魔#rf（法攻高）出现在圣地#deepskyblue破木屋#rf附近，请把它封印""}",,,,,,,,,
-500001,1,冥王哈迪斯,1,11005,,1,,,,"{2,{[""是否队长""]=true, [""活动中""]=0}},{3,{[""是否队长""]=true}},{0}",,,,,,,,,,
-500001,2,冥王哈迪斯,0,11005,,1,,快去刷怪吧，组队频道会显示怪物资讯，请留意,进入圣地,,"""封魔入圣地"",['param']={""#space#lime#red小丑魔#rf（法防高）出现在圣地#deepskyblue火影楼#rf附近，请把它封印""}",,,,,,,,,
-500001,3,冥王哈迪斯,1,11005,,1,,,,,"""引导天使"",['param']={""#space#lime#red小丑魔#rf（法防高）出现在圣地#deepskyblue火影楼#rf附近，请把它封印""}",,,,,,,,,
-500002,1,冥王哈迪斯,1,11005,,1,,,,"{2,{[""是否队长""]=true, [""活动中""]=0}},{3,{[""是否队长""]=true}},{0}",,,,,,,,,,
-500002,2,冥王哈迪斯,0,11005,,1,,快去刷怪吧，组队频道会显示怪物资讯，请留意,进入圣地,,"""封魔入圣地"",['param']={""#space#lime#red沙魔#rf（法攻高）出现在圣地#deepskyblue破木屋#rf附近，请把它封印""}",,,,,,,,,
-500002,3,冥王哈迪斯,1,11005,,1,,,,,"""引导天使"",['param']={""#space#lime#red沙魔#rf（法攻高）出现在圣地#deepskyblue破木屋#rf附近，请把它封印""}",,,,,,,,,
-500003,1,冥王哈迪斯,1,11005,,1,,,,"{2,{[""是否队长""]=true, [""活动中""]=0}},{3,{[""是否队长""]=true}},{0}",,,,,,,,,,
-500003,2,冥王哈迪斯,0,11005,,1,,快去刷怪吧，组队频道会显示怪物资讯，请留意,进入圣地,,"""封魔入圣地"",['param']={""#space#lime#red夜魔#rf（降低敌方输出，可驱散）出现在圣地#deepskyblue有烂木头的水池#rf附近，请把它封印""}",,,,,,,,,
-500003,3,冥王哈迪斯,1,11005,,1,,,,,"""引导天使"",['param']={""#space#lime#red夜魔#rf（降低敌方输出，可驱散）出现在圣地#deepskyblue有烂木头的水池#rf附近，请把它封印""}",,,,,,,,,
-500004,1,冥王哈迪斯,1,11005,,1,,,,"{2,{[""是否队长""]=true, [""活动中""]=0}},{3,{[""是否队长""]=true}},{0}",,,,,,,,,,
-500004,2,冥王哈迪斯,0,11005,,1,,快去刷怪吧，组队频道会显示怪物资讯，请留意,进入圣地,,"""封魔入圣地"",['param']={""#space#lime#red小丑魔#rf（法防高）出现在圣地#deepskyblue破木屋#rf附近，请把它封印""}",,,,,,,,,
-500004,3,冥王哈迪斯,1,11005,,1,,,,,"""引导天使"",['param']={""#space#lime#red小丑魔#rf（法防高）出现在圣地#deepskyblue破木屋#rf附近，请把它封印""}",,,,,,,,,
-500005,1,冥王哈迪斯,1,11005,,1,,,,"{2,{[""是否队长""]=true, [""活动中""]=0}},{3,{[""是否队长""]=true}},{0}",,,,,,,,,,
