任务序号,对话序号,任务名字,类型（0普通1隐形节点）,npcId,对话npc,选择显示面板（1是正常对话框，2是剧情对话框）,仅对nodeId=0使用。nodeId=0是功能按钮，判断是否隐藏功能按钮。nodeId=0时候，如果有跳转判断就会自动切入对话,内容 ,选项1,跳转1,操作1（1记录对话节点2提交任务3触发战斗4记录npc）,选项2,跳转2,操作2,选项3,跳转3,操作3,选项4,跳转4,操作4
TalkId_n,NodeId_n,Name_s,type,NpcIds_s,NpcNames_c,frametype_n,Show_t,Content_s,Option1_s,NextNode1_t,Operation1_t,Option2_s,NextNode2_t,Operation2_t,Option3_s,NextNode3_t,Operation3_t,Option4_s,NextNode4_t,Operation4_t
3001,1,乌鸡国1-3,1,10001,桤木西,1,,#norb恭喜你通关乌鸡国1_3,,0,"""提交任务""",,,,,,,,,
3003,1,乌鸡国1-6,1,10001,桤木西,1,,#norb恭喜你通关乌鸡国1_6,,0,"""提交任务""",,,,,,,,,
3005,1,乌鸡国1-9,1,10001,桤木西,1,,#norb恭喜你通关乌鸡国1_9,,0,"""提交任务""",,,,,,,,,
3007,1,乌鸡国2-3,1,10001,桤木西,1,,#norb恭喜你通关乌鸡国2_3,,0,"""提交任务""",,,,,,,,,
3009,1,乌鸡国2-6,1,10001,桤木西,1,,#norb恭喜你通关乌鸡国2_6,,0,"""提交任务""",,,,,,,,,
3011,1,乌鸡国2-9,1,10001,桤木西,1,,#norb恭喜你通关乌鸡国2_9,,0,"""提交任务""",,,,,,,,,
3013,1,乌鸡国3-3,1,10001,桤木西,1,,#norb恭喜你通关乌鸡国3_3,,0,"""提交任务""",,,,,,,,,
3015,1,乌鸡国3-6,1,10001,桤木西,1,,#norb恭喜你通关乌鸡国3_6,,0,"""提交任务""",,,,,,,,,
3017,1,乌鸡国3-9,1,10001,桤木西,1,,#norb恭喜你通关乌鸡国3_9,,0,"""提交任务""",,,,,,,,,
3019,1,乌鸡国4-3,1,10001,桤木西,1,,#norb恭喜你通关乌鸡国4_3,,0,"""提交任务""",,,,,,,,,
3021,1,乌鸡国4-6,1,10001,桤木西,1,,#norb恭喜你通关乌鸡国4_6,,0,"""提交任务""",,,,,,,,,
3023,1,乌鸡国4-9,1,10001,桤木西,1,,#norb恭喜你通关乌鸡国4_9,,0,"""提交任务""",,,,,,,,,
3025,1,乌鸡国5-3,1,10001,桤木西,1,,#norb恭喜你通关乌鸡国5_3,,0,"""提交任务""",,,,,,,,,
3027,1,乌鸡国5-6,1,10001,桤木西,1,,#norb恭喜你通关乌鸡国5_6,,0,"""提交任务""",,,,,,,,,
3029,1,乌鸡国5-9,1,10001,桤木西,1,,#norb恭喜你通关乌鸡国5_9,,0,"""提交任务""",,,,,,,,,
3031,1,乌鸡国6-3,1,10001,桤木西,1,,#norb恭喜你通关乌鸡国6_3,,0,"""提交任务""",,,,,,,,,
3033,1,乌鸡国6-6,1,10001,桤木西,1,,#norb恭喜你通关乌鸡国6_6,,0,"""提交任务""",,,,,,,,,
3035,1,乌鸡国6-9,1,10001,桤木西,1,,#norb恭喜你通关乌鸡国6_9,,0,"""提交任务""",,,,,,,,,
3037,1,乌鸡国7-3,1,10001,桤木西,1,,#norb恭喜你通关乌鸡国7_3,,0,"""提交任务""",,,,,,,,,
3039,1,乌鸡国7-6,1,10001,桤木西,1,,#norb恭喜你通关乌鸡国7_6,,0,"""提交任务""",,,,,,,,,
3041,1,乌鸡国7-9,1,10001,桤木西,1,,#norb恭喜你通关乌鸡国7_9,,0,"""提交任务""",,,,,,,,,
3043,1,乌鸡国8-3,1,10001,桤木西,1,,#norb恭喜你通关乌鸡国8_3,,0,"""提交任务""",,,,,,,,,
3045,1,乌鸡国8-6,1,10001,桤木西,1,,#norb恭喜你通关乌鸡国8_6,,0,"""提交任务""",,,,,,,,,
3047,1,乌鸡国8-9,1,10001,桤木西,1,,#norb恭喜你通关乌鸡国8_9,,0,"""提交任务""",,,,,,,,,
3049,1,乌鸡国9-3,1,10001,桤木西,1,,#norb恭喜你通关乌鸡国9_3,,0,"""提交任务""",,,,,,,,,
3051,1,乌鸡国9-6,1,10001,桤木西,1,,#norb恭喜你通关乌鸡国9_6,,0,"""提交任务""",,,,,,,,,
3053,1,乌鸡国9-9,1,10001,桤木西,1,,#norb恭喜你通关乌鸡国9_9,,0,"""提交任务""",,,,,,,,,
3055,1,乌鸡国10-3,1,10001,桤木西,1,,#norb恭喜你通关乌鸡国10_3,,0,"""提交任务""",,,,,,,,,
3057,1,乌鸡国10-6,1,10001,桤木西,1,,#norb恭喜你通关乌鸡国10_6,,0,"""提交任务""",,,,,,,,,
3059,1,乌鸡国10-10,1,10001,桤木西,1,,#norb恭喜你通关乌鸡国10_10,,0,"""提交任务""",,,,,,,,,
3061,1,前往火云洞,1,10001,桤木西,1,,#norb恭喜你完成前往火云洞,,0,"""提交任务""",,,,,,,,,
3063,1,火云洞1-3,1,10001,桤木西,1,,#norb恭喜你通关火云洞1_3,,0,"""提交任务""",,,,,,,,,
3065,1,火云洞1-6,1,10001,桤木西,1,,#norb恭喜你通关火云洞1_6,,0,"""提交任务""",,,,,,,,,
3067,1,火云洞1-9,1,10001,桤木西,1,,#norb恭喜你通关火云洞1_9,,0,"""提交任务""",,,,,,,,,
3069,1,火云洞2-3,1,10001,桤木西,1,,#norb恭喜你通关火云洞2_3,,0,"""提交任务""",,,,,,,,,
3071,1,火云洞2-6,1,10001,桤木西,1,,#norb恭喜你通关火云洞2_6,,0,"""提交任务""",,,,,,,,,
3073,1,火云洞2-9,1,10001,桤木西,1,,#norb恭喜你通关火云洞2_9,,0,"""提交任务""",,,,,,,,,
3075,1,火云洞3-3,1,10001,桤木西,1,,#norb恭喜你通关火云洞3_3,,0,"""提交任务""",,,,,,,,,
3077,1,火云洞3-6,1,10001,桤木西,1,,#norb恭喜你通关火云洞3_6,,0,"""提交任务""",,,,,,,,,
3079,1,火云洞3-9,1,10001,桤木西,1,,#norb恭喜你通关火云洞3_9,,0,"""提交任务""",,,,,,,,,
3081,1,火云洞4-3,1,10001,桤木西,1,,#norb恭喜你通关火云洞4_3,,0,"""提交任务""",,,,,,,,,
3083,1,火云洞4-6,1,10001,桤木西,1,,#norb恭喜你通关火云洞4_6,,0,"""提交任务""",,,,,,,,,
3085,1,火云洞4-9,1,10001,桤木西,1,,#norb恭喜你通关火云洞4_9,,0,"""提交任务""",,,,,,,,,
3087,1,火云洞5-3,1,10001,桤木西,1,,#norb恭喜你通关火云洞5_3,,0,"""提交任务""",,,,,,,,,
3089,1,火云洞5-6,1,10001,桤木西,1,,#norb恭喜你通关火云洞5_6,,0,"""提交任务""",,,,,,,,,
