个人boss索引,怪物entryId,等级（要求）,扫荡等级差,BOSS名称,挑战次数（每天）,能否组队,怪物列表,掉落预览,掉落装备,灰色品质装备件数,绿色品质装备件数,蓝色品质装备件数,紫色品质装备件数,金装概率,金装碎片权重
index_kn,entryId_n,level_n,sweepLevel_n,bossName_s,chance_n,canTeam_n,monster_t,itemShow_t,suitid_n,gray_n,green_n,blue_n,purple_n,gold_t,peiece_t
11,6000110,30,40,小白虎(30级),1,0,"[2]=6000109,[3]=6000109,[4]=6000109,[5]=6000109,[6]=6000109,[8]=6000109,[9]=6000109,[10]=6000110,[11]=6000109,[12]=6000109","{""equip"",15021,1,5},{""equip"",15024,1,5},{""equip"",15026,1,5}",103,2,2,2,2,"{0,29},{1,1}","{1,100}"
12,6000210,40,40,白熊精(40级),1,0,"[2]=6000209,[3]=6000209,[4]=6000209,[5]=6000209,[6]=6000209,[8]=6000209,[9]=6000209,[10]=6000210,[11]=6000209,[12]=6000209","{""equip"",15021,1,5},{""equip"",15024,1,5},{""equip"",15026,1,5}",103,2,2,2,2,"{0,29},{1,1}","{1,100}"
13,6000310,50,40,剑邪(50级),1,0,"[2]=6000309,[3]=6000309,[4]=6000309,[5]=6000309,[6]=6000309,[8]=6000309,[9]=6000309,[10]=6000310,[11]=6000309,[12]=6000309","{""equip"",15021,1,5},{""equip"",15024,1,5},{""equip"",15026,1,5}",103,2,2,2,2,"{0,29},{1,1}","{1,100}"
14,6000410,60,40,重明鸟(60级),1,0,"[2]=6000409,[3]=6000409,[4]=6000409,[5]=6000409,[6]=6000409,[8]=6000409,[9]=6000409,[10]=6000410,[11]=6000409,[12]=6000409","{""equip"",15031,1,5},{""equip"",15032,1,5},{""equip"",15033,1,5}",104,2,2,2,2,"{0,199},{1,1}","{1,100}"
15,6000510,70,40,巨灵(70级),1,0,"[2]=6000509,[3]=6000509,[4]=6000509,[5]=6000509,[6]=6000509,[8]=6000509,[9]=6000509,[10]=6000510,[11]=6000509,[12]=6000509","{""equip"",15031,1,5},{""equip"",15032,1,5},{""equip"",15033,1,5}",104,2,2,2,2,"{0,199},{1,1}","{1,100}"
16,6000610,80,40,龙龟(80级),1,0,"[2]=6000609,[3]=6000609,[4]=6000609,[5]=6000609,[6]=6000609,[8]=6000609,[9]=6000609,[10]=6000610,[11]=6000609,[12]=6000609","{""equip"",15041,1,5},{""equip"",15043,1,5},{""equip"",15047,1,5}",104,2,2,2,2,"{0,199},{1,1}","{1,100}"
17,6000710,90,40,冰龙(90级),1,0,"[2]=6000709,[3]=6000709,[4]=6000709,[5]=6000709,[6]=6000709,[8]=6000709,[9]=6000709,[10]=6000710,[11]=6000709,[12]=6000709","{""equip"",15041,1,5},{""equip"",15043,1,5},{""equip"",15047,1,5}",105,2,2,2,2,"{0,299},{1,1}","{1,100}"
18,6000810,100,40,剑侠兔(100级),1,0,"[2]=6000809,[3]=6000809,[4]=6000809,[5]=6000809,[6]=6000809,[8]=6000809,[9]=6000809,[10]=6000810,[11]=6000809,[12]=6000809","{""equip"",15051,1,5},{""equip"",15053,1,5},{""equip"",15058,1,5}",106,2,2,2,2,"{0,299},{1,1}","{1,100}"
19,6000910,110,40,封蛇(110级),1,0,"[2]=6000909,[3]=6000909,[4]=6000909,[5]=6000909,[6]=6000909,[8]=6000909,[9]=6000909,[10]=6000910,[11]=6000909,[12]=6000909","{""equip"",15051,1,5},{""equip"",15053,1,5},{""equip"",15058,1,5}",106,2,2,2,2,"{0,299},{1,1}","{1,100}"
20,6001010,120,40,蓝巨人(120级),1,0,"[2]=6001009,[3]=6001009,[4]=6001009,[5]=6001009,[6]=6001009,[8]=6001009,[9]=6001009,[10]=6001010,[11]=6001009,[12]=6001009","{""equip"",15061,1,5},{""equip"",15064,1,5},{""equip"",15068,1,5}",107,2,2,2,2,"{0,299},{1,1}","{1,100}"
21,6001110,130,40,狻猊(130级),1,0,"[2]=6001109,[3]=6001109,[4]=6001109,[5]=6001109,[6]=6001109,[8]=6001109,[9]=6001109,[10]=6001110,[11]=6001109,[12]=6001109","{""equip"",15061,1,5},{""equip"",15064,1,5},{""equip"",15068,1,5}",107,2,2,2,2,"{0,299},{1,1}","{1,100}"
22,6001210,140,40,水龙(140级),1,0,"[2]=6001209,[3]=6001209,[4]=6001209,[5]=6001209,[6]=6001209,[8]=6001209,[9]=6001209,[10]=6001210,[11]=6001209,[12]=6001209","{""equip"",15071,1,5},{""equip"",15072,1,5},{""equip"",15076,1,5}",108,2,2,2,2,"{0,299},{1,1}","{1,100}"
23,6001310,150,40,黑风老妖(150级),1,0,"[2]=6001309,[3]=6001309,[4]=6001309,[5]=6001309,[6]=6001309,[8]=6001309,[9]=6001309,[10]=6001310,[11]=6001309,[12]=6001309","{""equip"",15071,1,5},{""equip"",15072,1,5},{""equip"",15076,1,5}",108,2,2,2,2,"{0,299},{1,1}","{1,100}"
24,6001410,160,40,朱雀(160级),1,0,"[2]=6001409,[3]=6001409,[4]=6001409,[5]=6001409,[6]=6001409,[8]=6001409,[9]=6001409,[10]=6001410,[11]=6001409,[12]=6001409","{""equip"",15081,1,5},{""equip"",15083,1,5},{""equip"",15089,1,5}",109,2,2,2,2,"{0,299},{1,1}","{1,100}"
25,6001510,170,40,白虎(170级),1,0,"[2]=6001509,[3]=6001509,[4]=6001509,[5]=6001509,[6]=6001509,[8]=6001509,[9]=6001509,[10]=6001510,[11]=6001509,[12]=6001509","{""equip"",15081,1,5},{""equip"",15083,1,5},{""equip"",15089,1,5}",109,2,2,2,2,"{0,299},{1,1}","{1,100}"
26,6001610,180,40,青龙(180级),1,0,"[2]=6001609,[3]=6001609,[4]=6001609,[5]=6001609,[6]=6001609,[8]=6001609,[9]=6001609,[10]=6001610,[11]=6001609,[12]=6001609","{""equip"",15091,1,5},{""equip"",15094,1,5},{""equip"",15097,1,5}",110,2,2,2,2,"{0,299},{1,1}","{1,100}"
27,6001710,190,40,玄武(190级),1,0,"[2]=6001709,[3]=6001709,[4]=6001709,[5]=6001709,[6]=6001709,[8]=6001709,[9]=6001709,[10]=6001710,[11]=6001709,[12]=6001709","{""equip"",15091,1,5},{""equip"",15094,1,5},{""equip"",15097,1,5}",110,2,2,2,2,"{0,299},{1,1}","{1,100}"
28,50000005,200,30,魑(200级),1,0,"[2]=6001809,[3]=6001809,[4]=6001809,[5]=6001809,[6]=6001809,[8]=6001809,[9]=6001809,[10]=6001810,[11]=6001809,[12]=6001809","{""equip"",15091,1,5},{""equip"",15094,1,5},{""equip"",15097,1,5}",110,2,2,2,2,"{0,299},{1,1}","{1,100}"
29,50000006,210,20,魅(210级),1,0,"[2]=6001909,[3]=6001909,[4]=6001909,[5]=6001909,[6]=6001909,[8]=6001909,[9]=6001909,[10]=6001910,[11]=6001909,[12]=6001909","{""equip"",15091,1,5},{""equip"",15094,1,5},{""equip"",15097,1,5}",110,2,2,2,2,"{0,299},{1,1}","{1,100}"
30,6002010,220,10,奎木狼(220级),1,0,"[2]=6002009,[3]=6002009,[4]=6002009,[5]=6002009,[6]=6002009,[8]=6002009,[9]=6002009,[10]=6002010,[11]=6002009,[12]=6002009","{""equip"",15091,1,5},{""equip"",15094,1,5},{""equip"",15097,1,5}",110,2,2,2,2,"{0,299},{1,1}","{1,100}"
31,50000001,230,0,靡籁(230级),1,0,"[2]=6002109,[3]=6002109,[4]=6002109,[5]=6002109,[6]=6002109,[8]=6002109,[9]=6002109,[10]=6002110,[11]=6002109,[12]=6002109","{""equip"",15091,1,5},{""equip"",15094,1,5},{""equip"",15097,1,5}",110,2,2,2,2,"{0,299},{1,1}","{1,100}"
32,50000003,240,0,穷奇(240级),1,0,"[2]=6002209,[3]=6002209,[4]=6002209,[5]=6002209,[6]=6002209,[8]=6002209,[9]=6002209,[10]=6002210,[11]=6002209,[12]=6002209","{""equip"",15091,1,5},{""equip"",15094,1,5},{""equip"",15097,1,5}",110,2,2,2,2,"{0,299},{1,1}","{1,100}"
33,50000004,250,0,深渊之龙(250级),1,0,"[2]=6002309,[3]=6002309,[4]=6002309,[5]=6002309,[6]=6002309,[8]=6002309,[9]=6002309,[10]=6002310,[11]=6002309,[12]=6002309","{""equip"",15091,1,5},{""equip"",15094,1,5},{""equip"",15097,1,5}",110,2,2,2,2,"{0,299},{1,1}","{1,100}"
