神龙宝藏索引,章节,怪物entryId,等级（要求）,挑战次数（每天）,能否组队,怪物列表,挑战奖励,首通奖励,挖宝星级,章节名称,进度（关）,首通奖励预览,通关奖励预览
index_kn,chapter_n,entryId_n,level_n,chance_n,canTeam_n,monster_t,prize_t,firstPrize_t,starPrize_t,chapterName_s,campaign,showFirstItem_t,showPassItem_t
11,11,5000110,0,1,0,"[9]=5000109,[10]=5000110,[11]=5000109","{""exp"",113000},{""funds"",35000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",1200000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",1600000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",20013,20}}",宝藏图1,1,"{60056, 100}","{60061,113000},{60055,35000},{20013,1}"
12,11,50000004,0,1,0,"[9]=5000209,[10]=5000210,[11]=5000209","{""exp"",113000},{""funds"",35000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",1200000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",1600000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",20013,20}}",宝藏图1,2,"{60056, 100}","{60061,113000},{60055,35000},{20013,1}"
13,11,5000310,0,1,0,"[9]=5000309,[10]=5000310,[11]=5000309","{""exp"",113000},{""funds"",35000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",1200000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",1600000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",20013,20}}",宝藏图1,3,"{60056, 100}","{60061,113000},{60055,35000},{20013,1}"
14,11,5000410,0,1,0,"[9]=5000409,[10]=5000410,[11]=5000409","{""exp"",113000},{""funds"",35000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",1200000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",1600000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",20013,20}}",宝藏图1,4,"{60056, 100}","{60061,113000},{60055,35000},{20013,1}"
15,11,5000510,0,1,0,"[9]=5000509,[10]=5000510,[11]=5000509","{""exp"",113000},{""funds"",35000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",1200000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",1600000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",20013,20}}",宝藏图1,5,"{60056, 100}","{60061,113000},{60055,35000},{20013,1}"
16,11,5000610,0,1,0,"[9]=5000609,[10]=5000610,[11]=5000609","{""exp"",113000},{""funds"",35000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",1200000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",1600000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",20013,20}}",宝藏图1,6,"{60056, 100}","{60061,113000},{60055,35000},{20013,1}"
17,12,5000710,0,1,0,"[3]=5000709,[4]=5000709,[9]=5000709,[10]=5000710,[11]=5000709","{""exp"",113000},{""funds"",36000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",1600000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",2200000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",20013,20}}",宝藏图2,7,"{60056, 100}","{60061,113000},{60055,36000},{20013,1}"
18,12,5000810,0,1,0,"[3]=5000809,[4]=5000809,[9]=5000809,[10]=5000810,[11]=5000809","{""exp"",113000},{""funds"",36000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",1600000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",2200000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",20013,20}}",宝藏图2,8,"{60056, 100}","{60061,113000},{60055,36000},{20013,1}"
19,12,5000910,0,1,0,"[3]=5000909,[4]=5000909,[9]=5000909,[10]=5000910,[11]=5000909","{""exp"",113000},{""funds"",36000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",1600000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",2200000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",20013,20}}",宝藏图2,9,"{60056, 100}","{60061,113000},{60055,36000},{20013,1}"
