等级索引,需要经验,奖励内容,属性
ID_kn,exp_n,prize_t,effects_t
0,25,"{""item"",20001,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',0},{'demage',0},{'hujia',0}"
1,25,"{""item"",20002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',100},{'demage',40},{'hujia',10}"
2,25,"{""item"",20003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',201},{'demage',80},{'hujia',20}"
3,25,"{""item"",20004,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',302},{'demage',120},{'hujia',30}"
4,25,"{""item"",20005,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',403},{'demage',161},{'hujia',40}"
5,25,"{""item"",20006,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',505},{'demage',202},{'hujia',50}"
6,25,"{""item"",20007,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',608},{'demage',243},{'hujia',60}"
7,25,"{""item"",20008,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',711},{'demage',284},{'hujia',71}"
8,25,"{""item"",60003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',814},{'demage',325},{'hujia',81}"
9,30,"{""item"",60002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',918},{'demage',367},{'hujia',91}"
10,30,"{""item"",20001,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',1023},{'demage',409},{'hujia',102}"
11,30,"{""item"",20002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',1149},{'demage',459},{'hujia',114}"
12,30,"{""item"",20003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',1275},{'demage',510},{'hujia',127}"
13,30,"{""item"",20004,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',1402},{'demage',561},{'hujia',140}"
14,30,"{""item"",20005,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',1530},{'demage',612},{'hujia',153}"
15,30,"{""item"",20006,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',1659},{'demage',663},{'hujia',165}"
16,30,"{""item"",20007,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',1788},{'demage',715},{'hujia',178}"
17,30,"{""item"",20008,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',1917},{'demage',767},{'hujia',191}"
18,30,"{""item"",60003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',2047},{'demage',819},{'hujia',204}"
19,35,"{""item"",60002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',2178},{'demage',871},{'hujia',217}"
20,35,"{""item"",20001,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',2310},{'demage',924},{'hujia',231}"
21,35,"{""item"",20002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',2450},{'demage',980},{'hujia',245}"
22,35,"{""item"",20003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',2591},{'demage',1036},{'hujia',259}"
23,35,"{""item"",20004,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',2732},{'demage',1093},{'hujia',273}"
24,35,"{""item"",20005,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',2874},{'demage',1149},{'hujia',287}"
25,35,"{""item"",20006,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',3016},{'demage',1206},{'hujia',301}"
26,35,"{""item"",20007,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',3158},{'demage',1263},{'hujia',315}"
27,35,"{""item"",20008,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',3301},{'demage',1320},{'hujia',330}"
28,35,"{""item"",60003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',3445},{'demage',1378},{'hujia',344}"
29,35,"{""item"",60002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',3588},{'demage',1435},{'hujia',358}"
30,35,"{""item"",20001,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',3733},{'demage',1493},{'hujia',373}"
31,35,"{""item"",20002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',3877},{'demage',1551},{'hujia',387}"
32,35,"{""item"",20003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',4022},{'demage',1609},{'hujia',402}"
33,35,"{""item"",20004,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',4168},{'demage',1667},{'hujia',416}"
34,40,"{""item"",20005,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',4314},{'demage',1725},{'hujia',431}"
35,40,"{""item"",20006,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',4460},{'demage',1784},{'hujia',446}"
36,40,"{""item"",20007,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',4628},{'demage',1851},{'hujia',462}"
37,40,"{""item"",20008,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',4796},{'demage',1918},{'hujia',479}"
38,40,"{""item"",60003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',4964},{'demage',1985},{'hujia',496}"
39,40,"{""item"",60002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',5134},{'demage',2053},{'hujia',513}"
40,40,"{""item"",20001,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',5303},{'demage',2121},{'hujia',530}"
41,40,"{""item"",20002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',5473},{'demage',2189},{'hujia',547}"
42,40,"{""item"",20003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',5644},{'demage',2257},{'hujia',564}"
43,40,"{""item"",20004,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',5815},{'demage',2326},{'hujia',581}"
44,40,"{""item"",20005,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',5986},{'demage',2394},{'hujia',598}"
45,40,"{""item"",20006,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',6158},{'demage',2463},{'hujia',615}"
46,40,"{""item"",20007,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',6331},{'demage',2532},{'hujia',633}"
47,40,"{""item"",20008,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',6504},{'demage',2601},{'hujia',650}"
48,40,"{""item"",60003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',6677},{'demage',2671},{'hujia',667}"
49,46,"{""item"",60002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',6851},{'demage',2740},{'hujia',685}"
50,46,"{""item"",20001,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',7026},{'demage',2810},{'hujia',702}"
51,46,"{""item"",20002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',7210},{'demage',2884},{'hujia',721}"
52,46,"{""item"",20003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',7384},{'demage',2953},{'hujia',738}"
53,46,"{""item"",20004,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',7564},{'demage',3025},{'hujia',756}"
54,46,"{""item"",20005,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',7766},{'demage',3106},{'hujia',776}"
55,46,"{""item"",20006,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',7952},{'demage',3181},{'hujia',795}"
56,46,"{""item"",20007,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',8139},{'demage',3255},{'hujia',813}"
57,46,"{""item"",20008,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',8326},{'demage',3330},{'hujia',832}"
58,46,"{""item"",60003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',8514},{'demage',3405},{'hujia',851}"
59,46,"{""item"",60002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',8702},{'demage',3481},{'hujia',870}"
60,46,"{""item"",20001,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',8891},{'demage',3556},{'hujia',889}"
61,46,"{""item"",20002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',9080},{'demage',3632},{'hujia',908}"
62,46,"{""item"",20003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',9269},{'demage',3707},{'hujia',926}"
63,46,"{""item"",20004,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',9459},{'demage',3783},{'hujia',945}"
64,46,"{""item"",20005,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',9650},{'demage',3860},{'hujia',965}"
65,46,"{""item"",20006,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',9841},{'demage',3936},{'hujia',984}"
66,46,"{""item"",20007,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',10032},{'demage',4013},{'hujia',1003}"
67,46,"{""item"",20008,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',10224},{'demage',4089},{'hujia',1022}"
68,46,"{""item"",60003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',10416},{'demage',4166},{'hujia',1041}"
69,52,"{""item"",60002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',10609},{'demage',4243},{'hujia',1060}"
70,52,"{""item"",20001,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',10802},{'demage',4321},{'hujia',1080}"
71,52,"{""item"",20002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',11021},{'demage',4408},{'hujia',1102}"
72,52,"{""item"",20003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',11240},{'demage',4496},{'hujia',1124}"
73,52,"{""item"",20004,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',11460},{'demage',4584},{'hujia',1146}"
74,52,"{""item"",20005,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',11681},{'demage',4672},{'hujia',1168}"
75,52,"{""item"",20006,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',11902},{'demage',4760},{'hujia',1190}"
76,52,"{""item"",20007,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',12123},{'demage',4849},{'hujia',1212}"
77,52,"{""item"",20008,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',12345},{'demage',4938},{'hujia',1234}"
78,52,"{""item"",60003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',12568},{'demage',5027},{'hujia',1256}"
79,52,"{""item"",60002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',12791},{'demage',5116},{'hujia',1279}"
80,52,"{""item"",20001,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',13015},{'demage',5206},{'hujia',1301}"
81,52,"{""item"",20002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',13239},{'demage',5295},{'hujia',1323}"
82,52,"{""item"",20003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',13463},{'demage',5385},{'hujia',1346}"
83,52,"{""item"",20004,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',13630},{'demage',5452},{'hujia',1363}"
84,52,"{""item"",20005,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',13914},{'demage',5565},{'hujia',1391}"
85,52,"{""item"",20006,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',14080},{'demage',5632},{'hujia',1408}"
86,52,"{""item"",20007,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',14367},{'demage',5747},{'hujia',1436}"
87,52,"{""item"",20008,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',14534},{'demage',5813},{'hujia',1453}"
88,52,"{""item"",60003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',14764},{'demage',5905},{'hujia',1476}"
89,60,"{""item"",60002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',14995},{'demage',5998},{'hujia',1499}"
90,60,"{""item"",20001,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',15227},{'demage',6090},{'hujia',1522}"
91,60,"{""item"",20002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',15520},{'demage',6208},{'hujia',1552}"
92,60,"{""item"",20003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',15696},{'demage',6278},{'hujia',1569}"
93,60,"{""item"",20004,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',15932},{'demage',6372},{'hujia',1593}"
94,60,"{""item"",20005,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',16170},{'demage',6468},{'hujia',1617}"
95,60,"{""item"",20006,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',16410},{'demage',6564},{'hujia',1641}"
96,60,"{""item"",20007,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',16729},{'demage',6691},{'hujia',1672}"
97,60,"{""item"",20008,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',16892},{'demage',6756},{'hujia',1689}"
98,60,"{""item"",60003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',17217},{'demage',6886},{'hujia',1721}"
99,60,"{""item"",60002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',17381},{'demage',6952},{'hujia',1738}"
100,60,"{""item"",20001,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',17627},{'demage',7050},{'hujia',1762}"
101,60,"{""item"",20002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',17875},{'demage',7150},{'hujia',1787}"
102,60,"{""item"",20003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',18124},{'demage',7249},{'hujia',1812}"
103,60,"{""item"",20004,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',18374},{'demage',7349},{'hujia',1837}"
104,60,"{""item"",20005,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',18626},{'demage',7450},{'hujia',1862}"
105,60,"{""item"",20006,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',18880},{'demage',7552},{'hujia',1888}"
106,60,"{""item"",20007,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',19134},{'demage',7653},{'hujia',1913}"
107,60,"{""item"",20008,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',19390},{'demage',7756},{'hujia',1939}"
108,60,"{""item"",60003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',19648},{'demage',7859},{'hujia',1964}"
109,60,"{""item"",60002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',19931},{'demage',7972},{'hujia',1993}"
110,60,"{""item"",20001,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',20180},{'demage',8072},{'hujia',2018}"
111,60,"{""item"",20002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',20430},{'demage',8172},{'hujia',2043}"
112,60,"{""item"",20003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',20681},{'demage',8272},{'hujia',2068}"
113,60,"{""item"",20004,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',20932},{'demage',8372},{'hujia',2093}"
114,68,"{""item"",20005,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',21183},{'demage',8473},{'hujia',2118}"
115,68,"{""item"",20006,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',21435},{'demage',8574},{'hujia',2143}"
116,68,"{""item"",20007,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',21721},{'demage',8688},{'hujia',2172}"
117,68,"{""item"",20008,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',22008},{'demage',8803},{'hujia',2200}"
118,68,"{""item"",60003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',22295},{'demage',8918},{'hujia',2229}"
119,68,"{""item"",60002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',22583},{'demage',9033},{'hujia',2258}"
120,68,"{""item"",20001,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',22871},{'demage',9148},{'hujia',2287}"
121,68,"{""item"",20002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',23160},{'demage',9264},{'hujia',2316}"
122,68,"{""item"",20003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',23450},{'demage',9380},{'hujia',2345}"
123,68,"{""item"",20004,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',23740},{'demage',9496},{'hujia',2374}"
124,68,"{""item"",20005,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',24030},{'demage',9612},{'hujia',2403}"
125,68,"{""item"",20006,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',24321},{'demage',9728},{'hujia',2432}"
126,68,"{""item"",20007,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',24613},{'demage',9845},{'hujia',2461}"
127,68,"{""item"",20008,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',24905},{'demage',9962},{'hujia',2490}"
128,68,"{""item"",60003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',25198},{'demage',10079},{'hujia',2519}"
129,68,"{""item"",60002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',25491},{'demage',10196},{'hujia',2549}"
130,68,"{""item"",20001,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',25785},{'demage',10314},{'hujia',2578}"
131,68,"{""item"",20002,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',26079},{'demage',10431},{'hujia',2607}"
132,68,"{""item"",20003,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',26374},{'demage',10549},{'hujia',2637}"
133,68,"{""item"",20004,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',26669},{'demage',10667},{'hujia',2666}"
134,68,"{""item"",20005,3},{""funds"",5000},{""bindRmb"",100}","{'maxhp',26965},{'demage',10786},{'hujia',2696}"
