三界试炼索引,怪物entryId,怪物列表,掉落库,宝箱奖励,层级名称,层级索引,提示对白
index_kn,entryId_n,monster_t,prize_t,box_t,layerName_s,layerIndex,lines_s
11,2000110,"[2]=2000109,[3]=2000109,[4]=2000109,[5]=2000109,[6]=2000109,[8]=2000109,[9]=2000109,[10]=2000110,[11]=2000109,[12]=2000109","{""item"",20014,5}",,1层,1,
12,2000210,"[2]=2000209,[3]=2000209,[4]=2000209,[5]=2000209,[6]=2000209,[8]=2000209,[9]=2000209,[10]=2000210,[11]=2000209,[12]=2000209","{""item"",20014,5}",,2层,2,
13,2000310,"[2]=2000309,[3]=2000309,[4]=2000309,[5]=2000309,[6]=2000309,[8]=2000309,[9]=2000309,[10]=2000310,[11]=2000309,[12]=2000309","{""item"",20014,5}","{""funds"",10000},{""item"",20014,20}",3层,3,通关15层送#orange#br[狐狸精]
14,2000410,"[2]=2000409,[3]=2000409,[4]=2000409,[5]=2000409,[6]=2000409,[8]=2000409,[9]=2000409,[10]=2000410,[11]=2000409,[12]=2000409","{""item"",20014,5}",,4层,4,
15,2000510,"[2]=2000509,[3]=2000509,[4]=2000509,[5]=2000509,[6]=2000509,[8]=2000509,[9]=2000509,[10]=2000510,[11]=2000509,[12]=2000509","{""item"",20014,5}",,5层,5,
16,2000610,"[2]=2000609,[3]=2000609,[4]=2000609,[5]=2000609,[6]=2000609,[8]=2000609,[9]=2000609,[10]=2000610,[11]=2000609,[12]=2000609","{""item"",20014,5}","{""funds"",20000},{""item"",20014,40}",6层,6,通关15层送#orange#br[狐狸精]
17,2000710,"[2]=2000709,[3]=2000709,[4]=2000709,[5]=2000709,[6]=2000709,[8]=2000709,[9]=2000709,[10]=2000710,[11]=2000709,[12]=2000709","{""item"",20014,5}",,7层,7,
18,2000810,"[2]=2000809,[3]=2000809,[4]=2000809,[5]=2000809,[6]=2000809,[8]=2000809,[9]=2000809,[10]=2000810,[11]=2000809,[12]=2000809","{""item"",20014,5}",,8层,8,
19,2000910,"[2]=2000909,[3]=2000909,[4]=2000909,[5]=2000909,[6]=2000909,[8]=2000909,[9]=2000909,[10]=2000910,[11]=2000909,[12]=2000909","{""item"",20014,5}","{""funds"",30000},{""item"",20014,60}",9层,9,通关15层送#orange#br[狐狸精]
