生死劫索引,怪物entryId,说明,等级（要求）,能否组队,开启宝箱消耗,怪物列表,怪物列表,怪物列表,劫索引,劫名称,几率掉落库,几率掉落展示,宝箱奖励,宝箱奖励(掉落库),首通奖励展示,首通奖励,领取宝箱后固定物品显示,固定物品奖励,协助物品奖励,全服首通奖励
index_kn,entryId_n,read_s,level_n,canTeam_n,bindCurrency,monster1_t,monster2_t,monster3_t,chapterIndex_n,chapterName_s,lib_t,itemShow_t,boxShow_t,box_t,firstItemShow_t,firstItem_t,afterBoxItemShow_t,fixPrize_t,helpPrize_t,severFirst_t
0,13000110,第1劫(1),105,1,500,"[2]=13000102,[3]=13000103,[4]=13000102,[5]=13000105,[6]=13000106,[8]=13000108,[9]=13000109,[10]=13000112,[11]=13000111,[12]=13000112","[2]=13000102,[3]=13000103,[4]=13000102,[5]=13000105,[6]=13000106,[8]=13000108,[9]=13000109,[10]=13000112,[11]=13000111,[12]=13000112","[2]=13000102,[3]=13000103,[5]=13000105,[6]=13000106,[8]=13000108,[9]=13000109,[10]=13000110,[11]=13000111,[12]=13000112",1,第一劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
1,13000210,第1劫(2),105,1,500,"[2]=13000202,[3]=13000203,[4]=13000202,[5]=13000205,[6]=13000206,[8]=13000208,[9]=13000209,[10]=13000212,[11]=13000211,[12]=13000212","[2]=13000202,[3]=13000203,[4]=13000202,[5]=13000205,[6]=13000206,[8]=13000208,[9]=13000209,[10]=13000212,[11]=13000211,[12]=13000212","[2]=13000202,[3]=13000203,[5]=13000205,[6]=13000206,[8]=13000208,[9]=13000209,[10]=13000210,[11]=13000211,[12]=13000212",1,第一劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
2,13000310,第1劫(3),105,1,500,"[2]=13000302,[3]=13000303,[4]=13000302,[5]=13000305,[6]=13000306,[8]=13000308,[9]=13000309,[10]=13000312,[11]=13000311,[12]=13000312","[2]=13000302,[3]=13000303,[4]=13000302,[5]=13000305,[6]=13000306,[8]=13000308,[9]=13000309,[10]=13000312,[11]=13000311,[12]=13000312","[2]=13000302,[3]=13000303,[5]=13000305,[6]=13000306,[8]=13000308,[9]=13000309,[10]=13000310,[11]=13000311,[12]=13000312",1,第一劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
3,13000410,第1劫(4),105,1,500,"[2]=13000402,[3]=13000403,[4]=13000402,[5]=13000405,[6]=13000406,[8]=13000408,[9]=13000409,[10]=13000412,[11]=13000411,[12]=13000412","[2]=13000402,[3]=13000403,[4]=13000402,[5]=13000405,[6]=13000406,[8]=13000408,[9]=13000409,[10]=13000412,[11]=13000411,[12]=13000412","[2]=13000402,[3]=13000403,[5]=13000405,[6]=13000406,[8]=13000408,[9]=13000409,[10]=13000410,[11]=13000411,[12]=13000412",1,第一劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
4,13000510,第1劫(5),105,1,500,"[2]=13000502,[3]=13000503,[4]=13000502,[5]=13000505,[6]=13000506,[8]=13000508,[9]=13000509,[10]=13000512,[11]=13000511,[12]=13000512","[2]=13000502,[3]=13000503,[4]=13000502,[5]=13000505,[6]=13000506,[8]=13000508,[9]=13000509,[10]=13000512,[11]=13000511,[12]=13000512","[2]=13000502,[3]=13000503,[5]=13000505,[6]=13000506,[8]=13000508,[9]=13000509,[10]=13000510,[11]=13000511,[12]=13000512",1,第一劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
5,13000610,第1劫(6),105,1,500,"[2]=13000602,[3]=13000603,[4]=13000602,[5]=13000605,[6]=13000606,[8]=13000608,[9]=13000609,[10]=13000612,[11]=13000611,[12]=13000612","[2]=13000602,[3]=13000603,[4]=13000602,[5]=13000605,[6]=13000606,[8]=13000608,[9]=13000609,[10]=13000612,[11]=13000611,[12]=13000612","[2]=13000602,[3]=13000603,[5]=13000605,[6]=13000606,[8]=13000608,[9]=13000609,[10]=13000610,[11]=13000611,[12]=13000612",1,第一劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
6,13000710,第2劫(1),105,1,500,"[2]=13000702,[3]=13000703,[4]=13000702,[5]=13000705,[6]=13000706,[8]=13000708,[9]=13000709,[10]=13000712,[11]=13000711,[12]=13000712","[2]=13000702,[3]=13000703,[4]=13000702,[5]=13000705,[6]=13000706,[8]=13000708,[9]=13000709,[10]=13000712,[11]=13000711,[12]=13000712","[2]=13000702,[3]=13000703,[5]=13000705,[6]=13000706,[8]=13000708,[9]=13000709,[10]=13000710,[11]=13000711,[12]=13000712",2,第二劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
7,13000810,第2劫(2),105,1,500,"[2]=13000802,[3]=13000803,[4]=13000802,[5]=13000805,[6]=13000806,[8]=13000808,[9]=13000809,[10]=13000812,[11]=13000811,[12]=13000812","[2]=13000802,[3]=13000803,[4]=13000802,[5]=13000805,[6]=13000806,[8]=13000808,[9]=13000809,[10]=13000812,[11]=13000811,[12]=13000812","[2]=13000802,[3]=13000803,[5]=13000805,[6]=13000806,[8]=13000808,[9]=13000809,[10]=13000810,[11]=13000811,[12]=13000812",2,第二劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
8,13000910,第2劫(3),105,1,500,"[2]=13000902,[3]=13000903,[4]=13000902,[5]=13000905,[6]=13000906,[8]=13000908,[9]=13000909,[10]=13000912,[11]=13000911,[12]=13000912","[2]=13000902,[3]=13000903,[4]=13000902,[5]=13000905,[6]=13000906,[8]=13000908,[9]=13000909,[10]=13000912,[11]=13000911,[12]=13000912","[2]=13000902,[3]=13000903,[5]=13000905,[6]=13000906,[8]=13000908,[9]=13000909,[10]=13000910,[11]=13000911,[12]=13000912",2,第二劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
