材料副本索引,怪物entryId,等级（要求）,免费挑战次数（每天）,vip增加次数,付费扫荡,能否组队,怪物列表,掉落,可扫荡的等级差条件,掉落预览,副本名称
index_kn,entryId_n,level_n,chance_n,vipCount_t,rmb_n,canTeam_n,monster_t,prize_t,sweepLevel,itemShow_t,title_s
11,1000110,20,1,"[1]=0,[2]=0,[3]=0,[4]=0,[5]=2,[6]=0,[7]=0,[8]=0,[9]=0,[10]=1,[11]=0,[12]=0,[13]=0,[14]=0,[15]=1,[16]=0,[17]=0,[18]=0,[19]=0,[20]=0",185,0,"[9]=1000109,[10]=1000110,[11]=1000109","{""item"",20001,6},{""bindRmb"",200}",40,"{""item"",20001,6},{""bindRmb"",200}",坐骑副本
12,1000210,20,1,"[1]=0,[2]=0,[3]=0,[4]=0,[5]=2,[6]=0,[7]=0,[8]=0,[9]=0,[10]=1,[11]=0,[12]=0,[13]=0,[14]=0,[15]=1,[16]=0,[17]=0,[18]=0,[19]=0,[20]=0",185,0,"[3]=1000209,[4]=1000209,[9]=1000209,[10]=1000210,[11]=1000209","{""item"",20013,6},{""bindRmb"",200}",40,"{""item"",20013,6},{""bindRmb"",200}",宠物副本
13,1000310,20,1,"[1]=0,[2]=0,[3]=0,[4]=0,[5]=2,[6]=0,[7]=0,[8]=0,[9]=0,[10]=1,[11]=0,[12]=0,[13]=0,[14]=0,[15]=1,[16]=0,[17]=0,[18]=0,[19]=0,[20]=0",185,0,"[2]=1000309,[3]=1000309,[4]=1000309,[5]=1000309,[6]=1000309,[8]=1000309,[9]=1000309,[10]=1000310,[11]=1000309,[12]=1000309","{""item"",60001,30},{""bindRmb"",200}",40,"{""item"",60001,30},{""bindRmb"",200}",精炼副本
14,1000410,20,1,"[1]=0,[2]=0,[3]=0,[4]=0,[5]=2,[6]=0,[7]=0,[8]=0,[9]=0,[10]=1,[11]=0,[12]=0,[13]=0,[14]=0,[15]=1,[16]=0,[17]=0,[18]=0,[19]=0,[20]=0",185,0,"[2]=1000409,[3]=1000409,[4]=1000409,[5]=1000409,[6]=1000409,[8]=1000409,[9]=1000409,[10]=1000410,[11]=1000409,[12]=1000409","{""item"",20014,6},{""bindRmb"",200}",40,"{""item"",20014,6},{""bindRmb"",200}",仙君副本
15,1000510,30,1,"[1]=0,[2]=0,[3]=0,[4]=0,[5]=2,[6]=0,[7]=0,[8]=0,[9]=0,[10]=1,[11]=0,[12]=0,[13]=0,[14]=0,[15]=1,[16]=0,[17]=0,[18]=0,[19]=0,[20]=0",185,0,"[2]=1000509,[3]=1000509,[4]=1000509,[5]=1000509,[6]=1000509,[8]=1000509,[9]=1000509,[10]=1000510,[11]=1000509,[12]=1000509","{""item"",60002,6},{""bindRmb"",200}",40,"{""item"",60002,6},{""bindRmb"",200}",锻炼副本
16,1000610,40,1,"[1]=0,[2]=0,[3]=0,[4]=0,[5]=2,[6]=0,[7]=0,[8]=0,[9]=0,[10]=1,[11]=0,[12]=0,[13]=0,[14]=0,[15]=1,[16]=0,[17]=0,[18]=0,[19]=0,[20]=0",185,0,"[2]=1000609,[3]=1000609,[4]=1000609,[5]=1000609,[6]=1000609,[8]=1000609,[9]=1000609,[10]=1000610,[11]=1000609,[12]=1000609","{""item"",60003,6},{""bindRmb"",200}",40,"{""item"",60003,6},{""bindRmb"",200}",宝石副本
17,1000710,50,1,"[1]=0,[2]=0,[3]=0,[4]=0,[5]=2,[6]=0,[7]=0,[8]=0,[9]=0,[10]=1,[11]=0,[12]=0,[13]=0,[14]=0,[15]=1,[16]=0,[17]=0,[18]=0,[19]=0,[20]=0",185,0,"[2]=1000709,[3]=1000709,[4]=1000709,[5]=1000709,[6]=1000709,[8]=1000709,[9]=1000709,[10]=1000710,[11]=1000709,[12]=1000709","{""item"",20002,6},{""bindRmb"",200}",40,"{""item"",20002,6},{""bindRmb"",200}",天仙副本
18,1000810,70,1,"[1]=0,[2]=0,[3]=0,[4]=0,[5]=2,[6]=0,[7]=0,[8]=0,[9]=0,[10]=1,[11]=0,[12]=0,[13]=0,[14]=0,[15]=1,[16]=0,[17]=0,[18]=0,[19]=0,[20]=0",185,0,"[2]=1000809,[3]=1000809,[4]=1000809,[5]=1000809,[6]=1000809,[8]=1000809,[9]=1000809,[10]=1000810,[11]=1000809,[12]=1000809","{""item"",20003,6},{""bindRmb"",200}",40,"{""item"",20003,6},{""bindRmb"",200}",神兵副本
19,1000910,80,1,"[1]=0,[2]=0,[3]=0,[4]=0,[5]=2,[6]=0,[7]=0,[8]=0,[9]=0,[10]=1,[11]=0,[12]=0,[13]=0,[14]=0,[15]=1,[16]=0,[17]=0,[18]=0,[19]=0,[20]=0",185,0,"[2]=1000909,[3]=1000909,[4]=1000909,[5]=1000909,[6]=1000909,[8]=1000909,[9]=1000909,[10]=1000910,[11]=1000909,[12]=1000909","{""item"",20004,6},{""bindRmb"",200}",40,"{""item"",20004,6},{""bindRmb"",200}",翅膀副本
20,1001010,90,1,"[1]=0,[2]=0,[3]=0,[4]=0,[5]=2,[6]=0,[7]=0,[8]=0,[9]=0,[10]=1,[11]=0,[12]=0,[13]=0,[14]=0,[15]=1,[16]=0,[17]=0,[18]=0,[19]=0,[20]=0",185,0,"[2]=1001009,[3]=1001009,[4]=1001009,[5]=1001009,[6]=1001009,[8]=1001009,[9]=1001009,[10]=1001010,[11]=1001009,[12]=1001009","{""item"",20005,6},{""bindRmb"",200}",40,"{""item"",20005,6},{""bindRmb"",200}",法阵副本
21,1001110,95,1,"[1]=0,[2]=0,[3]=0,[4]=0,[5]=2,[6]=0,[7]=0,[8]=0,[9]=0,[10]=1,[11]=0,[12]=0,[13]=0,[14]=0,[15]=1,[16]=0,[17]=0,[18]=0,[19]=0,[20]=0",185,0,"[2]=1001109,[3]=1001109,[4]=1001109,[5]=1001109,[6]=1001109,[8]=1001109,[9]=1001109,[10]=1001110,[11]=1001109,[12]=1001109","{""item"",20006,6},{""bindRmb"",200}",40,"{""item"",20006,6},{""bindRmb"",200}",神位副本
22,1001210,100,1,"[1]=0,[2]=0,[3]=0,[4]=0,[5]=2,[6]=0,[7]=0,[8]=0,[9]=0,[10]=1,[11]=0,[12]=0,[13]=0,[14]=0,[15]=1,[16]=0,[17]=0,[18]=0,[19]=0,[20]=0",185,0,"[2]=1001209,[3]=1001209,[4]=1001209,[5]=1001209,[6]=1001209,[8]=1001209,[9]=1001209,[10]=1001210,[11]=1001209,[12]=1001209","{""item"",20007,6},{""bindRmb"",200}",40,"{""item"",20007,6},{""bindRmb"",200}",通灵副本
23,1001310,105,1,"[1]=0,[2]=0,[3]=0,[4]=0,[5]=2,[6]=0,[7]=0,[8]=0,[9]=0,[10]=1,[11]=0,[12]=0,[13]=0,[14]=0,[15]=1,[16]=0,[17]=0,[18]=0,[19]=0,[20]=0",185,0,"[2]=1001309,[3]=1001309,[4]=1001309,[5]=1001309,[6]=1001309,[8]=1001309,[9]=1001309,[10]=1001310,[11]=1001309,[12]=1001309","{""item"",20008,6},{""bindRmb"",200}",40,"{""item"",20008,6},{""bindRmb"",200}",兽灵副本
24,1001410,110,1,"[1]=0,[2]=0,[3]=0,[4]=0,[5]=2,[6]=0,[7]=0,[8]=0,[9]=0,[10]=1,[11]=0,[12]=0,[13]=0,[14]=0,[15]=1,[16]=0,[17]=0,[18]=0,[19]=0,[20]=0",185,0,"[2]=1001409,[3]=1001409,[4]=1001409,[5]=1001409,[6]=1001409,[8]=1001409,[9]=1001409,[10]=1001410,[11]=1001409,[12]=1001409","{""item"",20016,1},{""bindRmb"",200}",40,"{""item"",20016,1},{""bindRmb"",200}",房屋副本
