皇城天塔索引,怪物entryId,等级（要求）,能否组队,怪物列表,通关奖励,关卡序号,关卡名称,奖励预览
index_kn,entryId_n,level_n,canTeam_n,monster_t,prize_t,order,copyName_s,showItem_t
11,9000110,0,0,"[2]=9000109,[3]=9000109,[4]=9000109,[5]=9000109,[6]=9000109,[8]=9000109,[9]=9000109,[10]=9000110,[11]=9000109,[12]=9000109","{""exp"",1500000},{""funds"",1000}",1,第1关,"{""exp"",1500000},{""funds"",1000}"
12,9000210,0,0,"[2]=9000209,[3]=9000209,[4]=9000209,[5]=9000209,[6]=9000209,[8]=9000209,[9]=9000209,[10]=9000210,[11]=9000209,[12]=9000209","{""exp"",1800000},{""funds"",2500}",2,第2关,"{""exp"",1800000},{""funds"",2500}"
13,9000310,0,0,"[2]=9000309,[3]=9000309,[4]=9000309,[5]=9000309,[6]=9000309,[8]=9000309,[9]=9000309,[10]=9000310,[11]=9000309,[12]=9000309","{""exp"",2000000},{""item"",60019,6}",3,第3关,"{""exp"",2000000},{""item"",60019,6}"
14,9000410,0,0,"[2]=9000409,[3]=9000409,[4]=9000409,[5]=9000409,[6]=9000409,[8]=9000409,[9]=9000409,[10]=9000410,[11]=9000409,[12]=9000409","{""exp"",2300000},{""funds"",1200}",4,第4关,"{""exp"",2300000},{""funds"",1200}"
15,9000510,0,0,"[2]=9000509,[3]=9000509,[4]=9000509,[5]=9000509,[6]=9000509,[8]=9000509,[9]=9000509,[10]=9000510,[11]=9000509,[12]=9000509","{""exp"",2600000},{""funds"",3000}",5,第5关,"{""exp"",2600000},{""funds"",3000}"
16,9000610,0,0,"[2]=9000609,[3]=9000609,[4]=9000609,[5]=9000609,[6]=9000609,[8]=9000609,[9]=9000609,[10]=9000610,[11]=9000609,[12]=9000609","{""exp"",2800000},{""item"",60019,6}",6,第6关,"{""exp"",2800000},{""item"",60019,6}"
17,9000710,0,0,"[2]=9000709,[3]=9000709,[4]=9000709,[5]=9000709,[6]=9000709,[8]=9000709,[9]=9000709,[10]=9000710,[11]=9000709,[12]=9000709","{""exp"",3100000},{""funds"",1500}",7,第7关,"{""exp"",3100000},{""funds"",1500}"
18,9000810,0,0,"[2]=9000809,[3]=9000809,[4]=9000809,[5]=9000809,[6]=9000809,[8]=9000809,[9]=9000809,[10]=9000810,[11]=9000809,[12]=9000809","{""exp"",3400000},{""funds"",3750}",8,第8关,"{""exp"",3400000},{""funds"",3750}"
19,9000910,0,0,"[2]=9000909,[3]=9000909,[4]=9000909,[5]=9000909,[6]=9000909,[8]=9000909,[9]=9000909,[10]=9000910,[11]=9000909,[12]=9000909","{""exp"",3600000},{""item"",60019,6}",9,第9关,"{""exp"",3600000},{""item"",60019,6}"
20,50000006,0,0,"[2]=9001009,[3]=9001009,[4]=9001009,[5]=9001009,[6]=9001009,[8]=9001009,[9]=9001009,[10]=9001010,[11]=9001009,[12]=9001009","{""exp"",3900000},{""funds"",2000}",10,第10关,"{""exp"",3900000},{""funds"",2000}"
21,9001110,0,0,"[2]=9001109,[3]=9001109,[4]=9001109,[5]=9001109,[6]=9001109,[8]=9001109,[9]=9001109,[10]=9001110,[11]=9001109,[12]=9001109","{""exp"",4200000},{""funds"",5000}",11,第11关,"{""exp"",4200000},{""funds"",5000}"
22,9001210,0,0,"[2]=9001209,[3]=9001209,[4]=9001209,[5]=9001209,[6]=9001209,[8]=9001209,[9]=9001209,[10]=9001210,[11]=9001209,[12]=9001209","{""exp"",4400000},{""item"",60019,6}",12,第12关,"{""exp"",4400000},{""item"",60019,6}"
23,9001310,0,0,"[2]=9001309,[3]=9001309,[4]=9001309,[5]=9001309,[6]=9001309,[8]=9001309,[9]=9001309,[10]=9001310,[11]=9001309,[12]=9001309","{""exp"",4700000},{""funds"",2600}",13,第13关,"{""exp"",4700000},{""funds"",2600}"
24,9001410,0,0,"[2]=9001409,[3]=9001409,[4]=9001409,[5]=9001409,[6]=9001409,[8]=9001409,[9]=9001409,[10]=9001410,[11]=9001409,[12]=9001409","{""exp"",5000000},{""funds"",6500}",14,第14关,"{""exp"",5000000},{""funds"",6500}"
25,9001510,0,0,"[2]=9001509,[3]=9001509,[4]=9001509,[5]=9001509,[6]=9001509,[8]=9001509,[9]=9001509,[10]=9001510,[11]=9001509,[12]=9001509","{""exp"",5200000},{""item"",60019,6}",15,第15关,"{""exp"",5200000},{""item"",60019,6}"
26,9001610,0,0,"[2]=9001609,[3]=9001609,[4]=9001609,[5]=9001609,[6]=9001609,[8]=9001609,[9]=9001609,[10]=9001610,[11]=9001609,[12]=9001609","{""exp"",5500000},{""funds"",3200}",16,第16关,"{""exp"",5500000},{""funds"",3200}"
27,9001710,0,0,"[2]=9001709,[3]=9001709,[4]=9001709,[5]=9001709,[6]=9001709,[8]=9001709,[9]=9001709,[10]=9001710,[11]=9001709,[12]=9001709","{""exp"",5800000},{""funds"",8000}",17,第17关,"{""exp"",5800000},{""funds"",8000}"
28,9001810,0,0,"[2]=9001809,[3]=9001809,[4]=9001809,[5]=9001809,[6]=9001809,[8]=9001809,[9]=9001809,[10]=9001810,[11]=9001809,[12]=9001809","{""exp"",6000000},{""item"",60019,6}",18,第18关,"{""exp"",6000000},{""item"",60019,6}"
29,9001910,0,0,"[2]=9001909,[3]=9001909,[4]=9001909,[5]=9001909,[6]=9001909,[8]=9001909,[9]=9001909,[10]=9001910,[11]=9001909,[12]=9001909","{""exp"",6300000},{""funds"",3900}",19,第19关,"{""exp"",6300000},{""funds"",3900}"
30,9002010,0,0,"[2]=9002009,[3]=9002009,[4]=9002009,[5]=9002009,[6]=9002009,[8]=9002009,[9]=9002009,[10]=9002010,[11]=9002009,[12]=9002009","{""exp"",6600000},{""funds"",9750}",20,第20关,"{""exp"",6600000},{""funds"",9750}"
31,9002110,0,0,"[2]=9002109,[3]=9002109,[4]=9002109,[5]=9002109,[6]=9002109,[8]=9002109,[9]=9002109,[10]=9002110,[11]=9002109,[12]=9002109","{""exp"",6800000},{""item"",60019,6}",21,第21关,"{""exp"",6800000},{""item"",60019,6}"
32,9002210,0,0,"[2]=9002209,[3]=9002209,[4]=9002209,[5]=9002209,[6]=9002209,[8]=9002209,[9]=9002209,[10]=9002210,[11]=9002209,[12]=9002209","{""exp"",7100000},{""funds"",4700}",22,第22关,"{""exp"",7100000},{""funds"",4700}"
33,9002310,0,0,"[2]=9002309,[3]=9002309,[4]=9002309,[5]=9002309,[6]=9002309,[8]=9002309,[9]=9002309,[10]=9002310,[11]=9002309,[12]=9002309","{""exp"",7400000},{""funds"",11750}",23,第23关,"{""exp"",7400000},{""funds"",11750}"
34,9002410,0,0,"[2]=9002409,[3]=9002409,[4]=9002409,[5]=9002409,[6]=9002409,[8]=9002409,[9]=9002409,[10]=9002410,[11]=9002409,[12]=9002409","{""exp"",7600000},{""item"",60019,6}",24,第24关,"{""exp"",7600000},{""item"",60019,6}"
35,9002510,0,0,"[2]=9002509,[3]=9002509,[4]=9002509,[5]=9002509,[6]=9002509,[8]=9002509,[9]=9002509,[10]=9002510,[11]=9002509,[12]=9002509","{""exp"",7900000},{""funds"",5600}",25,第25关,"{""exp"",7900000},{""funds"",5600}"
36,9002610,0,0,"[2]=9002609,[3]=9002609,[4]=9002609,[5]=9002609,[6]=9002609,[8]=9002609,[9]=9002609,[10]=9002610,[11]=9002609,[12]=9002609","{""exp"",8200000},{""funds"",14000}",26,第26关,"{""exp"",8200000},{""funds"",14000}"
37,9002710,0,0,"[2]=9002709,[3]=9002709,[4]=9002709,[5]=9002709,[6]=9002709,[8]=9002709,[9]=9002709,[10]=9002710,[11]=9002709,[12]=9002709","{""exp"",8400000},{""item"",60019,12}",27,第27关,"{""exp"",8400000},{""item"",60019,12}"
38,9002810,0,0,"[2]=9002809,[3]=9002809,[4]=9002809,[5]=9002809,[6]=9002809,[8]=9002809,[9]=9002809,[10]=9002810,[11]=9002809,[12]=9002809","{""exp"",8700000},{""funds"",6600}",28,第28关,"{""exp"",8700000},{""funds"",6600}"
39,9002910,0,0,"[2]=9002909,[3]=9002909,[4]=9002909,[5]=9002909,[6]=9002909,[8]=9002909,[9]=9002909,[10]=9002910,[11]=9002909,[12]=9002909","{""exp"",9000000},{""funds"",16500}",29,第29关,"{""exp"",9000000},{""funds"",16500}"
40,9003010,0,0,"[2]=9003009,[3]=9003009,[4]=9003009,[5]=9003009,[6]=9003009,[8]=9003009,[9]=9003009,[10]=9003010,[11]=9003009,[12]=9003009","{""exp"",9200000},{""item"",60019,12}",30,第30关,"{""exp"",9200000},{""item"",60019,12}"
41,9003110,0,0,"[2]=9003109,[3]=9003109,[4]=9003109,[5]=9003109,[6]=9003109,[8]=9003109,[9]=9003109,[10]=9003110,[11]=9003109,[12]=9003109","{""exp"",9500000},{""funds"",7700}",31,第31关,"{""exp"",9500000},{""funds"",7700}"
