钟馗伏魔等级阶段,等级说明,奖励内容,"快速完成消耗货币种类id(1，银两,3，元宝,2，绑定元宝）",快速完成消耗数量,VIP等级
level_kn,,prize_t,unity_n,needNum,needVip
40,40~69级,"{""exp"",2580000},{""bindRmb"",500},{""item"",60045,1},{""item"",60046,5}",3,1000,6
70,70~79级,"{""exp"",3550000},{""bindRmb"",500},{""item"",60045,1},{""item"",60046,5}",3,1000,6
80,80~89级,"{""exp"",4513000},{""bindRmb"",500},{""item"",60045,1},{""item"",60046,5}",3,1000,6
90,90~99级,"{""exp"",6125000},{""bindRmb"",500},{""item"",60045,1},{""item"",60046,5}",3,1000,6
100,100~109级,"{""exp"",10831000},{""bindRmb"",500},{""item"",60045,1},{""item"",60046,5}",3,1000,6
110,110~119级,"{""exp"",14440000},{""bindRmb"",500},{""item"",60045,1},{""item"",60046,5}",3,1000,6
120,120~129级,"{""exp"",18050000},{""bindRmb"",500},{""item"",60045,1},{""item"",60046,5}",3,1000,6
130,130~139级,"{""exp"",25790000},{""bindRmb"",500},{""item"",60045,1},{""item"",60046,5}",3,1000,6
140,140~149级,"{""exp"",30950000},{""bindRmb"",500},{""item"",60045,1},{""item"",60046,5}",3,1000,6
150,150~159级,"{""exp"",37650000},{""bindRmb"",500},{""item"",60045,1},{""item"",60046,5}",3,1000,6
160,160~169级,"{""exp"",44360000},{""bindRmb"",500},{""item"",60045,1},{""item"",60046,5}",3,1000,6
170,170~179级,"{""exp"",51578000},{""bindRmb"",500},{""item"",60045,1},{""item"",60046,5}",3,1000,6
180,180~189级,"{""exp"",58800000},{""bindRmb"",500},{""item"",60045,1},{""item"",60046,5}",3,1000,6
190,190~199级,"{""exp"",66535000},{""bindRmb"",500},{""item"",60045,1},{""item"",60046,5}",3,1000,6
200,200~209级,"{""exp"",74272000},{""bindRmb"",500},{""item"",60045,1},{""item"",60046,5}",3,1000,6
210,210~219级,"{""exp"",82525000},{""bindRmb"",500},{""item"",60045,1},{""item"",60046,5}",3,1000,6
220,220~229级,"{""exp"",90777000},{""bindRmb"",500},{""item"",60045,1},{""item"",60046,5}",3,1000,6
230,230~239级,"{""exp"",99545000},{""bindRmb"",500},{""item"",60045,1},{""item"",60046,5}",3,1000,6
240,240~300级,"{""exp"",108310000},{""bindRmb"",500},{""item"",60045,1},{""item"",60046,5}",3,1000,6
