关卡Id,通关限时,通关奖励,额外通关奖励,额外奖励排名,
campaignId_kn,limitTime,prize_t,expPrize_t,rank,passPrize_t
1010,86400,"{""item"",63034,1},{""rmb"",10},{""bindRmb"",100}",,50,"{""item"",50023,1},{""item"",20013,10},{""item"",30001,1},{""bindRmb"",100}"
1020,86400,"{""item"",20001,5},{""item"",20014,5},{""bindRmb"",200}",,50,"{""item"",50023,1},{""item"",20001,15},{""item"",30001,1},{""bindRmb"",200}"
1030,86400,"{""item"",63035,1},{""rmb"",20},{""bindRmb"",300}",,50,"{""item"",50023,2},{""item"",20001,20},{""item"",30001,1},{""bindRmb"",300}"
1040,86400,"{""item"",20001,10},{""item"",20014,10},{""bindRmb"",400}",,50,"{""item"",50023,4},{""item"",20002,25},{""item"",30007,1},{""bindRmb"",400}"
1050,86400,"{""item"",20001,10},{""item"",20014,10},{""bindRmb"",500}",,50,"{""item"",50023,4},{""item"",20002,30},{""item"",30007,1},{""bindRmb"",500}"
1060,86400,"{""item"",63036,1},{""rmb"",30},{""bindRmb"",600}",,50,"{""item"",50023,4},{""item"",20002,35},{""item"",30007,1},{""bindRmb"",650}"
1070,86400,"{""item"",20001,15},{""item"",20014,15},{""bindRmb"",700}",,50,"{""item"",50023,6},{""item"",20003,40},{""item"",30008,1},{""bindRmb"",800}"
1080,86400,"{""item"",20001,15},{""item"",20014,15},{""bindRmb"",800}",,50,"{""item"",50023,6},{""item"",20003,45},{""item"",30008,1},{""bindRmb"",950}"
1090,86400,"{""item"",63037,1},{""rmb"",40},{""bindRmb"",900}",,50,"{""item"",50023,6},{""item"",20003,50},{""item"",30008,1},{""bindRmb"",1100}"
1100,86400,"{""item"",20001,20},{""item"",20014,20},{""bindRmb"",1000}",,50,"{""item"",50023,8},{""item"",20004,55},{""item"",30002,1},{""bindRmb"",1250}"
1110,86400,"{""item"",20001,20},{""item"",20014,20},{""bindRmb"",1100}",,50,"{""item"",50023,8},{""item"",20004,60},{""item"",30002,1},{""bindRmb"",1500}"
1120,86400,"{""item"",63038,1},{""rmb"",50},{""bindRmb"",1200}",,50,"{""item"",50022,1},{""item"",20004,65},{""item"",30002,1},{""bindRmb"",1750}"
1130,86400,"{""item"",20001,25},{""item"",20014,25},{""bindRmb"",1300}",,50,"{""item"",50022,1},{""item"",20005,70},{""item"",30003,2},{""bindRmb"",2000}"
1150,100800,"{""item"",20001,25},{""item"",20014,25},{""bindRmb"",1400}",,50,"{""item"",50022,2},{""item"",20005,75},{""item"",30003,2},{""bindRmb"",2250}"
1170,118800,"{""item"",63039,1},{""rmb"",80},{""bindRmb"",1500}",,50,"{""item"",50022,2},{""item"",20005,80},{""item"",30003,2},{""bindRmb"",2500}"
1180,129600,"{""item"",20001,30},{""item"",20014,30},{""bindRmb"",1600}",,50,"{""item"",50022,2},{""item"",20006,85},{""item"",30004,2},{""bindRmb"",2750}"
1200,144000,"{""item"",20001,30},{""item"",20014,30},{""bindRmb"",1700}",,50,"{""item"",50022,2},{""item"",20006,90},{""item"",30004,2},{""bindRmb"",3000}"
1220,162000,"{""item"",63040,1},{""rmb"",100},{""bindRmb"",1800}",,50,"{""item"",50022,3},{""item"",20006,95},{""item"",30004,2},{""bindRmb"",3250}"
1230,180000,"{""item"",20001,35},{""item"",20014,35},{""bindRmb"",1900}",,50,"{""item"",50022,3},{""item"",20007,100},{""item"",30005,2},{""bindRmb"",3500}"
1250,198000,"{""item"",20001,35},{""item"",20014,35},{""bindRmb"",2000}",,50,"{""item"",50022,3},{""item"",20007,105},{""item"",30005,2},{""bindRmb"",3750}"
1270,216000,"{""item"",20001,35},{""item"",20014,35},{""bindRmb"",2100}",,50,"{""item"",50022,3},{""item"",20007,110},{""item"",30005,2},{""bindRmb"",4000}"
1300,252000,"{""item"",63041,1},{""rmb"",200},{""bindRmb"",2200}",,50,"{""item"",50022,5},{""item"",20007,115},{""item"",30005,2},{""bindRmb"",4500}"
1310,288000,"{""item"",20001,40},{""item"",20014,40},{""bindRmb"",2300}",,50,"{""item"",50022,5},{""item"",20008,120},{""item"",30006,2},{""bindRmb"",5000}"
1330,324000,"{""item"",20001,40},{""item"",20014,40},{""bindRmb"",2400}",,50,"{""item"",50022,5},{""item"",20008,125},{""item"",30006,2},{""bindRmb"",5500}"
1350,420000,"{""item"",20001,40},{""item"",20014,40},{""bindRmb"",2500}",,50,"{""item"",50022,5},{""item"",20008,130},{""item"",30006,2},{""bindRmb"",6000}"
1380,518400,"{""item"",63042,1},{""rmb"",300},{""bindRmb"",2600}",,50,"{""item"",50022,8},{""item"",20008,135},{""item"",30006,2},{""bindRmb"",6500}"
