索引,矿类型,entryId,说明标题,说明,阵营组(0为公共组，可以抢夺),几率掉落展示,奖励,占领成员上限,坐标,积分
mIndex_kn,mType_n,entryId,title_s,read_s,campsIndex,itemShow_t,prize_t,memberCount,pos_t,score
1,1,10010,绿晶矿,每30秒采集一次可获得绿晶矿宝箱和10阵营积分,1,,"{""item"",60068,1}",100,"11,73",10
2,1,10010,绿晶矿,每30秒采集一次可获得绿晶矿宝箱和10阵营积分,1,,"{""item"",60068,1}",100,"25,81",10
3,1,10010,绿晶矿,每30秒采集一次可获得绿晶矿宝箱和10阵营积分,1,,"{""item"",60068,1}",100,"27,93",10
4,1,10010,绿晶矿,每30秒采集一次可获得绿晶矿宝箱和10阵营积分,2,,"{""item"",60068,1}",100,"33,35",10
5,1,10010,绿晶矿,每30秒采集一次可获得绿晶矿宝箱和10阵营积分,2,,"{""item"",60068,1}",100,"49,40",10
6,1,10010,绿晶矿,每30秒采集一次可获得绿晶矿宝箱和10阵营积分,2,,"{""item"",60068,1}",100,"65,35",10
7,1,10010,绿晶矿,每30秒采集一次可获得绿晶矿宝箱和10阵营积分,3,,"{""item"",60068,1}",100,"87,74",10
8,1,10010,绿晶矿,每30秒采集一次可获得绿晶矿宝箱和10阵营积分,3,,"{""item"",60068,1}",100,"71,81",10
9,1,10010,绿晶矿,每30秒采集一次可获得绿晶矿宝箱和10阵营积分,3,,"{""item"",60068,1}",100,"73,93",10
10,2,10009,蓝晶矿,每30秒采集一次可获得蓝晶矿宝箱和20阵营积分,0,,"{""item"",60067,1}",8,"56,93",20
11,2,10009,蓝晶矿,每30秒采集一次可获得蓝晶矿宝箱和20阵营积分,0,,"{""item"",60067,1}",8,"42,93",20
12,2,10009,蓝晶矿,每30秒采集一次可获得蓝晶矿宝箱和20阵营积分,0,,"{""item"",60067,1}",8,"85,58",20
13,2,10009,蓝晶矿,每30秒采集一次可获得蓝晶矿宝箱和20阵营积分,0,,"{""item"",60067,1}",8,"74,49",20
14,2,10009,蓝晶矿,每30秒采集一次可获得蓝晶矿宝箱和20阵营积分,0,,"{""item"",60067,1}",8,"26,49",20
15,2,10009,蓝晶矿,每30秒采集一次可获得蓝晶矿宝箱和20阵营积分,0,,"{""item"",60067,1}",8,"20,58",20
16,3,10008,紫晶矿,每30秒采集一次可获得紫晶矿宝箱和50阵营积分,0,,"{""item"",60066,1}",4,"61,76",50
17,3,10008,紫晶矿,每30秒采集一次可获得紫晶矿宝箱和50阵营积分,0,,"{""item"",60066,1}",4,"61,53",50
18,3,10008,紫晶矿,每30秒采集一次可获得紫晶矿宝箱和50阵营积分,0,,"{""item"",60066,1}",4,"39,53",50
19,3,10008,紫晶矿,每30秒采集一次可获得紫晶矿宝箱和50阵营积分,0,,"{""item"",60066,1}",4,"39,76",50
20,4,10007,粉晶矿,每30秒采集一次可获得粉晶矿宝箱和100阵营积分,0,,"{""item"",60065,1}",3,"50,65",100
