跨服组队索引,怪物entryId,说明,等级（要求）,能否组队,怪物列表,几率掉落展示,首通奖励,首通奖励展示,首通后固定物品,首通后固定物品显示,通用装备阶,强化规则
index_kn,entryId_n,read_s,level_n,canTeam_n,monster_t,itemShow_t,firstItem_t,firstItemShow_t,fixedItem_t,fixedItemShow_t,stage_t,forge_n
11,11000110,40级副本,40,1,"[2]=11000109,[3]=11000109,[4]=11000109,[5]=11000109,[6]=11000109,[8]=11000109,[9]=11000109,[10]=11000110,[11]=11000109,[12]=11000109","{""commonEquip"",10002,1,4,0},{""commonEquip"",10012,1,4,0},{""commonEquip"",10013,1,4,0},{""commonEquip"",10003,1,4,0},{""commonEquip"",10004,1,4,0}","{""item"",20001,30},{""funds"",200000}","{""item"",20001,30},{""funds"",60055,200000}","{""exp"",123000},{""funds"",64500}","{""item"",60061,123000},{""item"",60055,64500}","{0,400},{2,300},{3,100},{4,100}",11
12,11000210,60级副本,60,1,"[2]=11000209,[3]=11000209,[4]=11000209,[5]=11000209,[6]=11000209,[8]=11000209,[9]=11000209,[10]=11000210,[11]=11000209,[12]=11000209","{""commonEquip"",10005,1,4,0},{""commonEquip"",10015,1,4,0},{""commonEquip"",10025,1,4,0},{""commonEquip"",10034,1,4,0},{""commonEquip"",10044,1,4,0},{""commonEquip"",10054,1,4,0}","{""item"",20002,30},{""funds"",300000}","{""item"",20002,30},{""funds"",60055,300000}","{""exp"",157000},{""funds"",76700}","{""item"",60061,157000},{""item"",60055,76700}","{0,400},{3,300},{4,100},{5,100},{6,100}",11
13,11000310,80级副本,80,1,"[2]=11000309,[3]=11000309,[4]=11000309,[5]=11000309,[6]=11000309,[8]=11000309,[9]=11000309,[10]=11000310,[11]=11000309,[12]=11000309","{""commonEquip"",10006,1,4,0},{""commonEquip"",10016,1,4,0},{""commonEquip"",10026,1,4,0},{""commonEquip"",10036,1,4,0},{""commonEquip"",10046,1,4,0},{""commonEquip"",10056,1,4,0},{""commonEquip"",10076,1,4,0}","{""item"",20003,30},{""funds"",400000}","{""item"",20003,30},{""funds"",60055,400000}","{""exp"",213000},{""funds"",88900}","{""item"",60061,213000},{""item"",60055,88900}","{0,400},{4,300},{5,100},{6,100},{7,100}",11
14,11000410,100级副本,100,1,"[2]=11000409,[3]=11000409,[4]=11000409,[5]=11000409,[6]=11000409,[8]=11000409,[9]=11000409,[10]=11000410,[11]=11000409,[12]=11000409","{""commonEquip"",10007,1,4,0},{""commonEquip"",10017,1,4,0},{""commonEquip"",10027,1,4,0},{""commonEquip"",10037,1,4,0},{""commonEquip"",10047,1,4,0},{""commonEquip"",10057,1,4,0},{""commonEquip"",10077,1,4,0}","{""item"",20004,30},{""funds"",500000}","{""item"",20004,30},{""funds"",60055,500000}","{""exp"",376000},{""funds"",101000}","{""item"",60061,376000},{""item"",60055,101000}","{0,400},{5,300},{6,100},{7,100},{8,100}",11
15,11000510,120级副本,120,1,"[2]=11000509,[3]=11000509,[4]=11000509,[5]=11000509,[6]=11000509,[8]=11000509,[9]=11000509,[10]=11000510,[11]=11000509,[12]=11000509","{""commonEquip"",10008,1,4,0},{""commonEquip"",10018,1,4,0},{""commonEquip"",10028,1,4,0},{""commonEquip"",10038,1,4,0},{""commonEquip"",10047,1,4,0},{""commonEquip"",10057,1,4,0},{""commonEquip"",10077,1,4,0}","{""item"",20005,30},{""funds"",600000}","{""item"",20005,30},{""funds"",60055,600000}","{""exp"",627000},{""funds"",113000}","{""item"",60061,627000},{""item"",60055,113000}","{0,400},{5,300},{6,100},{7,100},{8,100}",11
16,11000610,140级副本,140,1,"[2]=11000609,[3]=11000609,[4]=11000609,[5]=11000609,[6]=11000609,[8]=11000609,[9]=11000609,[10]=11000610,[11]=11000609,[12]=11000609","{""commonEquip"",10009,1,4,0},{""commonEquip"",10019,1,4,0},{""commonEquip"",10028,1,4,0},{""commonEquip"",10038,1,4,0},{""commonEquip"",10047,1,4,0},{""commonEquip"",10057,1,4,0},{""commonEquip"",10077,1,4,0}","{""item"",20006,30},{""funds"",700000}","{""item"",20006,30},{""funds"",60055,700000}","{""exp"",1075000},{""funds"",126000}","{""item"",60061,1075000},{""item"",60055,126000}","{0,400},{6,300},{7,100},{8,100},{9,100}",11
17,11000710,160级副本,160,1,"[2]=11000709,[3]=11000709,[4]=11000709,[5]=11000709,[6]=11000709,[8]=11000709,[9]=11000709,[10]=11000710,[11]=11000709,[12]=11000709","{""commonEquip"",10009,1,4,0},{""commonEquip"",10019,1,4,0},{""commonEquip"",10028,1,4,0},{""commonEquip"",10038,1,4,0},{""commonEquip"",10047,1,4,0},{""commonEquip"",10057,1,4,0},{""commonEquip"",10077,1,4,0}","{""item"",20007,30},{""funds"",800000}","{""item"",20007,30},{""funds"",60055,800000}","{""exp"",1540000},{""funds"",138000}","{""item"",60061,1540000},{""item"",60055,138000}","{0,400},{6,300},{7,100},{8,100},{9,100}",11
18,11000810,180级副本,180,1,"[2]=11000809,[3]=11000809,[4]=11000809,[5]=11000809,[6]=11000809,[8]=11000809,[9]=11000809,[10]=11000810,[11]=11000809,[12]=11000809","{""commonEquip"",10010,1,4,0},{""commonEquip"",10020,1,4,0},{""commonEquip"",10029,1,4,0},{""commonEquip"",10039,1,4,0},{""commonEquip"",10048,1,4,0},{""commonEquip"",10058,1,4,0},{""commonEquip"",10078,1,4,0}","{""item"",20008,30},{""funds"",900000}","{""item"",20008,30},{""funds"",60055,900000}","{""exp"",2042000},{""funds"",150000}","{""item"",60061,2042000},{""item"",60055,150000}","{0,400},{7,300},{8,100},{9,100},{10,100}",11
19,11000910,200级副本,200,1,"[2]=11000909,[3]=11000909,[4]=11000909,[5]=11000909,[6]=11000909,[8]=11000909,[9]=11000909,[10]=11000910,[11]=11000909,[12]=11000909","{""commonEquip"",10010,1,4,0},{""commonEquip"",10020,1,4,0},{""commonEquip"",10029,1,4,0},{""commonEquip"",10039,1,4,0},{""commonEquip"",10048,1,4,0},{""commonEquip"",10058,1,4,0},{""commonEquip"",10078,1,4,0}","{""item"",20001,50},{""funds"",1000000}","{""item"",20001,50},{""funds"",60055,1000000}","{""exp"",2310000},{""funds"",169000}","{""item"",60061,2310000},{""item"",60055,169000}","{0,400},{7,300},{8,100},{9,100},{10,100}",11
