天数,冲多少点,奖励什么
dayIndex_kn,point_kn,prize_t
1,2000,"{""item"",20009,10},{""item"",60001,50}"
1,5000,"{""item"",20009,20},{""item"",60001,50}"
1,10000,"{""item"",20009,30},{""item"",60002,50}"
1,20000,"{""item"",20009,40},{""item"",60003,50}"
1,50000,"{""item"",20009,60},{""item"",60003,80}"
1,100000,"{""item"",20009,100},{""item"",60003,100}"
1,200000,"{""item"",20009,200},{""item"",60003,200}"
2,2000,"{""item"",20010,10},{""item"",60001,50}"
2,5000,"{""item"",20010,20},{""item"",60001,50}"
2,10000,"{""item"",20010,30},{""item"",60002,50}"
2,20000,"{""item"",20010,40},{""item"",60003,50}"
2,50000,"{""item"",20010,60},{""item"",60003,80}"
2,100000,"{""item"",20010,100},{""item"",60003,100}"
2,200000,"{""item"",20010,200},{""item"",60003,200}"
3,2000,"{""item"",20011,10},{""item"",60001,50}"
3,5000,"{""item"",20011,20},{""item"",60001,50}"
3,10000,"{""item"",20011,30},{""item"",60002,50}"
3,20000,"{""item"",20011,40},{""item"",60003,50}"
3,50000,"{""item"",20011,60},{""item"",60003,80}"
3,100000,"{""item"",20011,100},{""item"",60003,100}"
3,200000,"{""item"",20011,200},{""item"",60003,200}"
4,2000,"{""item"",20012,10},{""item"",60001,50}"
4,5000,"{""item"",20012,20},{""item"",60001,50}"
4,10000,"{""item"",20012,30},{""item"",60002,50}"
4,20000,"{""item"",20012,40},{""item"",60003,50}"
4,50000,"{""item"",20012,60},{""item"",60003,80}"
4,100000,"{""item"",20012,100},{""item"",60003,100}"
4,200000,"{""item"",20012,200},{""item"",60003,200}"
5,2000,"{""item"",20001,3},{""item"",60001,50}"
5,5000,"{""item"",20001,5},{""item"",60001,50}"
5,10000,"{""item"",20001,10},{""item"",60002,50},{""item"",30001,1}"
5,20000,"{""item"",20001,20},{""item"",60003,50},{""item"",30001,2}"
5,50000,"{""item"",20001,50},{""item"",60003,80},{""item"",30001,3}"
5,100000,"{""item"",20001,80},{""item"",60003,100},{""item"",30001,5}"
5,200000,"{""item"",20001,160},{""item"",60003,200},{""item"",30001,10}"
6,2000,"{""item"",20002,3},{""item"",60001,50}"
6,5000,"{""item"",20002,5},{""item"",60001,50}"
6,10000,"{""item"",20002,10},{""item"",60002,50},{""item"",30007,1}"
6,20000,"{""item"",20002,20},{""item"",60003,50},{""item"",30007,2}"
6,50000,"{""item"",20002,50},{""item"",60003,80},{""item"",30007,3}"
6,100000,"{""item"",20002,80},{""item"",60003,100},{""item"",30007,5}"
6,200000,"{""item"",20002,160},{""item"",60003,200},{""item"",30007,10}"
7,2000,"{""item"",20003,3},{""item"",60001,50}"
7,5000,"{""item"",20003,5},{""item"",60001,50}"
7,10000,"{""item"",20003,10},{""item"",60002,50},{""item"",30008,1}"
7,20000,"{""item"",20003,20},{""item"",60003,50},{""item"",30008,2}"
7,50000,"{""item"",20003,50},{""item"",60003,80},{""item"",30008,3}"
7,100000,"{""item"",20003,80},{""item"",60003,100},{""item"",30008,5}"
7,200000,"{""item"",20003,160},{""item"",60003,200},{""item"",30008,10}"
8,2000,"{""item"",20004,3},{""item"",60001,50}"
8,5000,"{""item"",20004,5},{""item"",60001,50}"
8,10000,"{""item"",20004,10},{""item"",60002,50},{""item"",30002,1}"
8,20000,"{""item"",20004,20},{""item"",60003,50},{""item"",30002,2}"
8,50000,"{""item"",20004,50},{""item"",60003,80},{""item"",30002,3}"
8,100000,"{""item"",20004,80},{""item"",60003,100},{""item"",30002,5}"
8,200000,"{""item"",20004,160},{""item"",60003,200},{""item"",30002,10}"
9,2000,"{""item"",20005,3},{""item"",60001,50}"
9,5000,"{""item"",20005,5},{""item"",60001,50}"
9,10000,"{""item"",20005,10},{""item"",60002,50},{""item"",30003,1}"
9,20000,"{""item"",20005,20},{""item"",60003,50},{""item"",30003,2}"
9,50000,"{""item"",20005,50},{""item"",60003,80},{""item"",30003,3}"
9,100000,"{""item"",20005,80},{""item"",60003,100},{""item"",30003,5}"
9,200000,"{""item"",20005,160},{""item"",60003,200},{""item"",30003,10}"
10,2000,"{""item"",20006,3},{""item"",60001,50}"
10,5000,"{""item"",20006,5},{""item"",60001,50}"
10,10000,"{""item"",20006,10},{""item"",60002,50},{""item"",30004,1}"
10,20000,"{""item"",20006,20},{""item"",60003,50},{""item"",30004,2}"
10,50000,"{""item"",20006,50},{""item"",60003,80},{""item"",30004,3}"
10,100000,"{""item"",20006,80},{""item"",60003,100},{""item"",30004,5}"
10,200000,"{""item"",20006,160},{""item"",60003,200},{""item"",30004,10}"
11,2000,"{""item"",20007,3},{""item"",60001,50}"
11,5000,"{""item"",20007,5},{""item"",60001,50}"
11,10000,"{""item"",20007,10},{""item"",60002,50},{""item"",30005,1}"
11,20000,"{""item"",20007,20},{""item"",60003,50},{""item"",30005,2}"
11,50000,"{""item"",20007,50},{""item"",60003,80},{""item"",30005,3}"
11,100000,"{""item"",20007,80},{""item"",60003,100},{""item"",30005,5}"
11,200000,"{""item"",20007,160},{""item"",60003,200},{""item"",30005,10}"
12,2000,"{""item"",20008,3},{""item"",60001,50}"
12,5000,"{""item"",20008,5},{""item"",60001,50}"
12,10000,"{""item"",20008,10},{""item"",60002,50},{""item"",30006,1}"
12,20000,"{""item"",20008,20},{""item"",60003,50},{""item"",30006,2}"
12,50000,"{""item"",20008,50},{""item"",60003,80},{""item"",30006,3}"
12,100000,"{""item"",20008,80},{""item"",60003,100},{""item"",30006,5}"
12,200000,"{""item"",20008,160},{""item"",60003,200},{""item"",30006,10}"
