类型,冲多少点,index,奖励什么,
Type_kn,point_kn,index,prize_t,value
100,1000,10,"{""item"",60008,2},{""item"",20015,5},{""item"",20001,10},{""item"",20002,10},{""bindRmb"",1000},{""funds"",800000}",5800
100,3000,11,"{""item"",60008,5},{""item"",20015,10},{""item"",20003,20},{""item"",20004,20},{""bindRmb"",1500},{""funds"",1200000}",16500
100,10000,12,"{""talisman"",19001,1,5},{""item"",20015,25},{""item"",20005,30},{""item"",20006,30},{""bindRmb"",2000},{""funds"",1600000}",36100
100,20000,13,"{""talisman"",19002,1,5},{""item"",20015,40},{""item"",20012,40},{""item"",20008,40},{""bindRmb"",3000},{""funds"",2000000}",62600
100,50000,14,"{""talisman"",19003,1,5},{""item"",20015,60},{""item"",20009,90},{""item"",20002,90},{""bindRmb"",4000},{""funds"",2400000}",115500
100,100000,15,"{""talisman"",19004,1,5},{""item"",20015,125},{""item"",20010,150},{""item"",20004,150},{""bindRmb"",5000},{""funds"",2800000}",196800
100,200000,16,"{""talisman"",19007,1,6},{""item"",20015,200},{""item"",20011,250},{""item"",20006,250},{""bindRmb"",7000},{""funds"",3500000}",319800
100,400000,17,"{""talisman"",19008,1,6},{""item"",20015,300},{""item"",20012,400},{""item"",20008,400},{""bindRmb"",10000},{""funds"",5000000}",499800
101,1000,10,"{""item"",60007,5},{""item"",60009,5},{""item"",20003,10},{""item"",20004,10},{""bindRmb"",1000},{""funds"",800000}",5800
101,3000,11,"{""item"",60007,15},{""item"",60009,15},{""item"",20005,20},{""item"",20006,20},{""bindRmb"",1500},{""funds"",1200000}",16500
101,10000,12,"{""item"",60007,30},{""item"",60009,30},{""item"",20012,30},{""item"",20008,30},{""bindRmb"",2000},{""funds"",1600000}",36100
101,20000,13,"{""item"",60007,40},{""item"",60009,40},{""item"",20009,40},{""item"",20002,40},{""bindRmb"",3000},{""funds"",2000000}",62600
101,50000,14,"{""item"",60007,70},{""item"",60009,70},{""item"",20010,90},{""item"",20004,90},{""bindRmb"",4000},{""funds"",2400000}",115500
101,100000,15,"{""item"",60007,100},{""item"",60009,100},{""item"",20011,150},{""item"",20006,150},{""bindRmb"",5000},{""funds"",2800000}",196800
101,200000,16,"{""item"",60007,135},{""item"",60009,135},{""item"",20012,250},{""item"",20008,250},{""bindRmb"",7000},{""funds"",3500000}",319800
