,玩家等级 ,返还(元宝，绑元)
index_kn,level,prize_t
100,10,"{""rmb"",2000},{""bindRmb"",3000}"
101,20,"{""rmb"",2000},{""bindRmb"",3000}"
102,30,"{""rmb"",2000},{""bindRmb"",3000}"
103,40,"{""rmb"",2000},{""bindRmb"",3000}"
104,50,"{""rmb"",2000},{""bindRmb"",3000}"
105,60,"{""rmb"",2000},{""bindRmb"",3000}"
106,70,"{""rmb"",2000},{""bindRmb"",3000}"
107,80,"{""rmb"",2000},{""bindRmb"",3000}"
108,90,"{""rmb"",2000},{""bindRmb"",3000}"
109,100,"{""rmb"",2000},{""bindRmb"",3000}"
110,110,"{""rmb"",2000},{""bindRmb"",3000}"
111,120,"{""rmb"",2000},{""bindRmb"",3000}"
112,130,"{""rmb"",2000},{""bindRmb"",3000}"
113,136,"{""rmb"",2000},{""bindRmb"",3000}"
114,140,"{""rmb"",2000},{""bindRmb"",3000}"
115,144,"{""rmb"",2000},{""bindRmb"",3000}"
116,148,"{""rmb"",2000},{""bindRmb"",3000}"
117,152,"{""rmb"",2000},{""bindRmb"",3000}"
118,156,"{""rmb"",2000},{""bindRmb"",3000}"
119,160,"{""rmb"",2000},{""bindRmb"",3000}"
120,165,"{""rmb"",2000},{""bindRmb"",3000}"
121,170,"{""rmb"",2000},{""bindRmb"",3000}"
122,175,"{""rmb"",2000},{""bindRmb"",3000}"
123,180,"{""rmb"",2000},{""bindRmb"",3000}"
124,185,"{""rmb"",2000},{""bindRmb"",3000}"
125,190,"{""rmb"",2000},{""bindRmb"",3000}"
126,195,"{""rmb"",2000},{""bindRmb"",3000}"
127,200,"{""rmb"",2000},{""bindRmb"",3000}"
128,205,"{""rmb"",2000},{""bindRmb"",3000}"
129,210,"{""rmb"",2000},{""bindRmb"",3000}"
130,215,"{""rmb"",2000},{""bindRmb"",3000}"
131,220,"{""rmb"",2000},{""bindRmb"",3000}"
132,225,"{""rmb"",2000},{""bindRmb"",3000}"
133,230,"{""rmb"",2000},{""bindRmb"",3000}"
134,235,"{""rmb"",2000},{""bindRmb"",3000}"
135,240,"{""rmb"",2000},{""bindRmb"",3000}"
136,245,"{""rmb"",2000},{""bindRmb"",3000}"
137,250,"{""rmb"",2000},{""bindRmb"",3000}"
138,255,"{""rmb"",2000},{""bindRmb"",3000}"
139,260,"{""rmb"",2000},{""bindRmb"",3000}"
