摇骰子次数,奖励,
index_kn,RockNum_n,prize_t
100,30,"{""item"",60059,15},{""item"",20010,20}"
101,60,"{""item"",60059,20},{""item"",20009,20}"
102,90,"{""item"",60060,8},{""item"",20011,60}"
103,150,"{""item"",60059,28},{""item"",20004,80}"
104,210,"{""item"",60097,1},{""item"",20003,150}"
105,270,"{""item"",60097,1},{""item"",20008,150}"
106,360,"{""item"",60060,10},{""item"",20010,220}"
107,450,"{""item"",60060,15},{""item"",20009,250}"
108,540,"{""item"",60018,3},{""item"",20011,280}"
109,660,"{""item"",60098,4},{""item"",20004,450}"
110,780,"{""item"",60018,6},{""item"",20003,450}"
111,900,"{""item"",60060,25},{""item"",20008,450}"
