天数,冲多少点,奖励什么,条目描述
dayIndex_kn,point_kn,prize_t,title_s
1,2000,"{""item"",20001,3},{""item"",60001,50}",累计充值20元
1,5000,"{""item"",20001,5},{""item"",60001,50}",累计充值50元
1,10000,"{""item"",20001,10},{""item"",60002,50},{""item"",30001,1}",累计充值100元
1,20000,"{""item"",20001,20},{""item"",60003,50},{""commonEquip"",10025,1,5,0}",累计充值200元
1,50000,"{""item"",20001,50},{""item"",30001,5},{""commonEquip"",10036,1,5,0}",累计充值500元
1,100000,"{""item"",20001,100},{""item"",60003,100},{""commonEquip"",10027,1,5,0}",累计充值1000元
1,200000,"{""item"",20001,200},{""item"",30001,20},{""commonEquip"",10037,1,5,0}",累计充值2000元
2,2000,"{""item"",20002,3},{""item"",60001,50}",累计充值20元
2,5000,"{""item"",20002,5},{""item"",60001,50}",累计充值50元
2,10000,"{""item"",20002,10},{""item"",60002,50},{""item"",30007,1}",累计充值100元
2,20000,"{""item"",20002,20},{""item"",60003,50},{""commonEquip"",10265,1,5,0}",累计充值200元
2,50000,"{""item"",20002,50},{""item"",30007,5},{""commonEquip"",10276,1,5,0}",累计充值500元
2,100000,"{""item"",20002,100},{""item"",60003,100},{""commonEquip"",10267,1,5,0}",累计充值1000元
2,200000,"{""item"",20002,200},{""item"",30007,20},{""commonEquip"",10277,1,5,0}",累计充值2000元
3,2000,"{""item"",20003,3},{""item"",60001,50}",累计充值20元
3,5000,"{""item"",20003,5},{""item"",60001,50}",累计充值50元
3,10000,"{""item"",20003,10},{""item"",60002,50},{""item"",30008,1}",累计充值100元
3,20000,"{""item"",20003,20},{""item"",60003,50},{""commonEquip"",10305,1,5,0}",累计充值200元
3,50000,"{""item"",20003,50},{""item"",30008,5},{""commonEquip"",10316,1,5,0}",累计充值500元
3,100000,"{""item"",20003,100},{""item"",60003,100},{""commonEquip"",10307,1,5,0}",累计充值1000元
3,200000,"{""item"",20003,200},{""item"",30008,20},{""commonEquip"",10317,1,5,0}",累计充值2000元
4,2000,"{""item"",20004,3},{""item"",60001,50}",累计充值20元
4,5000,"{""item"",20004,5},{""item"",60001,50}",累计充值50元
4,10000,"{""item"",20004,10},{""item"",60002,50},{""item"",30002,1}",累计充值100元
4,20000,"{""item"",20004,20},{""item"",60003,50},{""commonEquip"",10065,1,5,0}",累计充值200元
4,50000,"{""item"",20004,50},{""item"",30002,5},{""commonEquip"",10076,1,5,0}",累计充值500元
4,100000,"{""item"",20004,100},{""item"",60003,100},{""commonEquip"",10067,1,5,0}",累计充值1000元
4,200000,"{""item"",20004,200},{""item"",30002,20},{""commonEquip"",10077,1,5,0}",累计充值2000元
5,2000,"{""item"",20005,3},{""item"",60001,50}",累计充值20元
5,5000,"{""item"",20005,5},{""item"",60001,50}",累计充值50元
5,10000,"{""item"",20005,10},{""item"",60002,50},{""item"",30003,1}",累计充值100元
5,20000,"{""item"",20005,20},{""item"",60003,50},{""commonEquip"",10105,1,5,0}",累计充值200元
5,50000,"{""item"",20005,50},{""item"",30003,5},{""commonEquip"",10116,1,5,0}",累计充值500元
5,100000,"{""item"",20005,100},{""item"",60003,100},{""commonEquip"",10107,1,5,0}",累计充值1000元
5,200000,"{""item"",20005,200},{""item"",30003,20},{""commonEquip"",10117,1,5,0}",累计充值2000元
6,2000,"{""item"",20006,3},{""item"",60001,50}",累计充值20元
6,5000,"{""item"",20006,5},{""item"",60001,50}",累计充值50元
6,10000,"{""item"",20006,10},{""item"",60002,50},{""item"",30004,1}",累计充值100元
6,20000,"{""item"",20006,20},{""item"",60003,50},{""commonEquip"",10145,1,5,0}",累计充值200元
6,50000,"{""item"",20006,50},{""item"",30004,5},{""commonEquip"",10156,1,5,0}",累计充值500元
6,100000,"{""item"",20006,100},{""item"",60003,100},{""commonEquip"",10147,1,5,0}",累计充值1000元
6,200000,"{""item"",20006,200},{""item"",30004,20},{""commonEquip"",10157,1,5,0}",累计充值2000元
7,2000,"{""item"",20007,3},{""item"",60001,50}",累计充值20元
7,5000,"{""item"",20007,5},{""item"",60001,50}",累计充值50元
7,10000,"{""item"",20007,10},{""item"",60002,50},{""item"",30005,1}",累计充值100元
7,20000,"{""item"",20007,20},{""item"",60003,50},{""commonEquip"",10185,1,5,0}",累计充值200元
7,50000,"{""item"",20007,50},{""item"",30005,5},{""commonEquip"",10196,1,5,0}",累计充值500元
7,100000,"{""item"",20007,100},{""item"",60003,100},{""commonEquip"",10187,1,5,0}",累计充值1000元
7,200000,"{""item"",20007,200},{""item"",30005,20},{""commonEquip"",10197,1,5,0}",累计充值2000元
8,2000,"{""item"",20008,3},{""item"",60001,50}",累计充值20元
8,5000,"{""item"",20008,5},{""item"",60001,50}",累计充值50元
8,10000,"{""item"",20008,10},{""item"",60002,50},{""item"",30006,1}",累计充值100元
8,20000,"{""item"",20008,20},{""item"",60003,50},{""commonEquip"",10225,1,5,0}",累计充值200元
8,50000,"{""item"",20008,50},{""item"",30006,5},{""commonEquip"",10236,1,5,0}",累计充值500元
8,100000,"{""item"",20008,100},{""item"",60003,100},{""commonEquip"",10227,1,5,0}",累计充值1000元
8,200000,"{""item"",20008,200},{""item"",30006,20},{""commonEquip"",10237,1,5,0}",累计充值2000元
