天数,索引,对应排行榜索引,升阶类型,标题,描述,排名范围,奖励
day_kn,index_kn,rankType,stageUp_s,title_s,tips_s,rankRange_t,prize_t
1,1,16,HeroRide,坐骑排行,第1名,"1,1,","{""item"",64009,1},{""item"",60033,2},{""item"",30001,6},{""bindRmb"",5000},{""funds"",1000000}"
1,2,16,HeroRide,坐骑排行,第2名,"2,2,","{""item"",64008,1},{""item"",60033,1},{""item"",30001,3},{""bindRmb"",3000},{""funds"",800000}"
1,3,16,HeroRide,坐骑排行,第3名,"3,3,","{""item"",64008,1},{""item"",60033,1},{""item"",30001,2},{""bindRmb"",2000},{""funds"",500000}"
1,4,16,HeroRide,坐骑排行,第4～20名,"4,20","{""item"",60003,10},{""item"",30001,1},{""bindRmb"",1000},{""funds"",500000}"
2,1,18,TianXian,天仙排行,第1名,"1,1,","{""item"",67013,1},{""item"",60039,2},{""item"",30007,6},{""bindRmb"",5000},{""funds"",1000000}"
2,2,18,TianXian,天仙排行,第2名,"2,2,","{""item"",67011,1},{""item"",60039,1},{""item"",30007,3},{""bindRmb"",3000},{""funds"",800000}"
2,3,18,TianXian,天仙排行,第3名,"3,3,","{""item"",67011,1},{""item"",60039,1},{""item"",30007,2},{""bindRmb"",2000},{""funds"",500000}"
2,4,18,TianXian,天仙排行,第4～20名,"4,20","{""item"",60003,10},{""item"",30007,1},{""bindRmb"",1000},{""funds"",500000}"
3,1,13,TianXianWeapon,神兵排行,第1名,"1,1,","{""item"",68013,1},{""item"",60040,2},{""item"",30008,6},{""bindRmb"",5000},{""funds"",1000000}"
3,2,13,TianXianWeapon,神兵排行,第2名,"2,2,","{""item"",68011,1},{""item"",60040,1},{""item"",30008,3},{""bindRmb"",3000},{""funds"",800000}"
3,3,13,TianXianWeapon,神兵排行,第3名,"3,3,","{""item"",68011,1},{""item"",60040,1},{""item"",30008,2},{""bindRmb"",2000},{""funds"",500000}"
3,4,13,TianXianWeapon,神兵排行,第4～20名,"4,20","{""item"",60003,10},{""item"",30008,1},{""bindRmb"",1000},{""funds"",500000}"
4,1,17,HeroWing,翅膀排行,第1名,"1,1,","{""item"",66005,1},{""item"",60034,2},{""item"",30002,6},{""bindRmb"",5000},{""funds"",1000000}"
4,2,17,HeroWing,翅膀排行,第2名,"2,2,","{""item"",66004,1},{""item"",60034,1},{""item"",30002,3},{""bindRmb"",3000},{""funds"",800000}"
4,3,17,HeroWing,翅膀排行,第3名,"3,3,","{""item"",66004,1},{""item"",60034,1},{""item"",30002,2},{""bindRmb"",2000},{""funds"",500000}"
4,4,17,HeroWing,翅膀排行,第4～20名,"4,20","{""item"",60003,10},{""item"",30002,1},{""bindRmb"",1000},{""funds"",500000}"
5,1,20,XianLvFaZhen,法阵排行,第1名,"1,1,","{""item"",63049,1},{""item"",60029,15},{""item"",60035,2},{""item"",30003,6},{""bindRmb"",5000},{""funds"",1000000}"
5,2,20,XianLvFaZhen,法阵排行,第2名,"2,2,","{""item"",63007,1},{""item"",60035,1},{""item"",30003,3},{""bindRmb"",3000},{""funds"",800000}"
5,3,20,XianLvFaZhen,法阵排行,第3名,"3,3,","{""item"",63007,1},{""item"",60035,1},{""item"",30003,2},{""bindRmb"",2000},{""funds"",500000}"
5,4,20,XianLvFaZhen,法阵排行,第4～20名,"4,20","{""item"",60003,10},{""item"",30003,1},{""bindRmb"",1000},{""funds"",500000}"
6,1,21,XianLvXianWei,神位排行,第1名,"1,1,","{""item"",68014,1},{""item"",60031,15},{""item"",60036,2},{""item"",30004,6},{""bindRmb"",5000},{""funds"",1000000}"
6,2,21,XianLvXianWei,神位排行,第2名,"2,2,","{""item"",68012,1},{""item"",60036,1},{""item"",30004,3},{""bindRmb"",3000},{""funds"",800000}"
6,3,21,XianLvXianWei,神位排行,第3名,"3,3,","{""item"",68012,1},{""item"",60036,1},{""item"",30004,2},{""bindRmb"",2000},{""funds"",500000}"
6,4,21,XianLvXianWei,神位排行,第4～20名,"4,20","{""item"",60003,10},{""item"",30004,1},{""bindRmb"",1000},{""funds"",500000}"
7,1,22,PetTongLin,通灵排行,第1名,"1,1,","{""item"",63050,1},{""item"",60032,15},{""item"",60037,2},{""item"",30005,6},{""bindRmb"",5000},{""funds"",1000000}"
7,2,22,PetTongLin,通灵排行,第2名,"2,2,","{""item"",63046,1},{""item"",60037,1},{""item"",30005,3},{""bindRmb"",3000},{""funds"",800000}"
7,3,22,PetTongLin,通灵排行,第3名,"3,3,","{""item"",63046,1},{""item"",60037,1},{""item"",30005,2},{""bindRmb"",2000},{""funds"",500000}"
7,4,22,PetTongLin,通灵排行,第4～20名,"4,20","{""item"",60003,10},{""item"",30005,1},{""bindRmb"",1000},{""funds"",500000}"
8,1,23,PetSouHun,元神排行,第1名,"1,1,","{""item"",67014,1},{""item"",60030,15},{""item"",60038,2},{""item"",30006,6},{""bindRmb"",5000},{""funds"",1000000}"
8,2,23,PetSouHun,元神排行,第2名,"2,2,","{""item"",67012,1},{""item"",60038,1},{""item"",30006,3},{""bindRmb"",3000},{""funds"",800000}"
8,3,23,PetSouHun,元神排行,第3名,"3,3,","{""item"",67012,1},{""item"",60038,1},{""item"",30006,2},{""bindRmb"",2000},{""funds"",500000}"
8,4,23,PetSouHun,元神排行,第4～20名,"4,20","{""item"",60003,10},{""item"",30006,1},{""bindRmb"",1000},{""funds"",500000}"
