等级榜单,索引,说明,等级条件,晋级奖励,参与奖励
levelType_kn,typeIndex_kn,readme_c,level_t,winPrize_t,joinPrize_t
1,10,海选赛,"120,149,","{""item"",60108,1}","{""worldPoint"",280},{""item"",60058,1},{""item"",60071,2},{""item"",60015,5}"
1,11,16强,"120,149,","{""item"",60108,1}",
1,12,8强,"120,149,","{""item"",60109,1}",
1,13,4强,"120,149,","{""item"",60110,1}",
1,14,总决赛,"120,149,","{""item"",60111,1}",
2,10,海选赛,"150,179,","{""item"",60108,1}","{""worldPoint"",280},{""item"",60058,1},{""item"",60071,2},{""item"",60015,5}"
2,11,16强,"150,179,","{""item"",60108,1}",
2,12,8强,"150,179,","{""item"",60109,1}",
2,13,4强,"150,179,","{""item"",60110,1}",
2,14,总决赛,"150,179,","{""item"",60111,1}",
3,10,海选赛,"180,209,","{""item"",60108,1}","{""worldPoint"",280},{""item"",60058,1},{""item"",60071,2},{""item"",60015,5}"
3,11,16强,"180,209,","{""item"",60108,1}",
3,12,8强,"180,209,","{""item"",60109,1}",
3,13,4强,"180,209,","{""item"",60110,1}",
3,14,总决赛,"180,209,","{""item"",60111,1}",
4,10,海选赛,"210,239,","{""item"",60108,1}","{""worldPoint"",280},{""item"",60058,1},{""item"",60071,2},{""item"",60015,5}"
4,11,16强,"210,239,","{""item"",60108,1}",
4,12,8强,"210,239,","{""item"",60109,1}",
4,13,4强,"210,239,","{""item"",60110,1}",
4,14,总决赛,"210,239,","{""item"",60111,1}",
5,10,海选赛,"240,269,","{""item"",60108,1}","{""worldPoint"",280},{""item"",60058,1},{""item"",60071,2},{""item"",60015,5}"
5,11,16强,"240,269,","{""item"",60108,1}",
5,12,8强,"240,269,","{""item"",60109,1}",
5,13,4强,"240,269,","{""item"",60110,1}",
5,14,总决赛,"240,269,","{""item"",60111,1}",
6,10,海选赛,"270,299,","{""item"",60108,1}","{""worldPoint"",280},{""item"",60058,1},{""item"",60071,2},{""item"",60015,5}"
6,11,16强,"270,299,","{""item"",60108,1}",
6,12,8强,"270,299,","{""item"",60109,1}",
6,13,4强,"270,299,","{""item"",60110,1}",
6,14,总决赛,"270,299,","{""item"",60111,1}",
7,10,海选赛,"300,329,","{""item"",60108,1}","{""worldPoint"",280},{""item"",60058,1},{""item"",60071,2},{""item"",60015,5}"
7,11,16强,"300,329,","{""item"",60108,1}",
7,12,8强,"300,329,","{""item"",60109,1}",
7,13,4强,"300,329,","{""item"",60110,1}",
7,14,总决赛,"300,329,","{""item"",60111,1}",
8,10,海选赛,"330,359,","{""item"",60108,1}","{""worldPoint"",280},{""item"",60058,1},{""item"",60071,2},{""item"",60015,5}"
8,11,16强,"330,359,","{""item"",60108,1}",
8,12,8强,"330,359,","{""item"",60109,1}",
8,13,4强,"330,359,","{""item"",60110,1}",
8,14,总决赛,"330,359,","{""item"",60111,1}",
9,10,海选赛,"360,389,","{""item"",60108,1}","{""worldPoint"",280},{""item"",60058,1},{""item"",60071,2},{""item"",60015,5}"
9,11,16强,"360,389,","{""item"",60108,1}",
9,12,8强,"360,389,","{""item"",60109,1}",
