天数,索引,升阶类型,要求,货币类型,描述,原价,现价,限购数量(0不限购),限时(秒),物品
day_kn,index_kn,stageUp_s,cond_n,unit_n,tips_s,oldPrice,newPrice,limitCount,limitTime,item_t
1,0,TianNv,1,3,女王进阶丹,6000,1800,5,86400,"{""item"",20009,60}"
1,1,TianNv,1,3,女王进阶丹,4000,1600,1,86400,"{""item"",20009,40}"
1,2,TianNv,1,3,女王属性丹,8000,3200,1,86400,"{""item"",60041,1}"
1,3,TianNv,4,3,女王进阶丹,2200,660,5,86400,"{""item"",20009,22}"
1,4,TianNv,4,3,女王进阶丹,7200,2880,5,86400,"{""item"",20009,72}"
1,5,TianNv,4,3,女王属性丹,8000,3200,1,86400,"{""item"",60041,1}"
1,6,TianNv,5,3,女王进阶丹,4600,1380,5,86400,"{""item"",20009,46}"
1,7,TianNv,5,3,女王进阶丹,3000,1200,5,86400,"{""item"",20009,30}"
1,8,TianNv,5,3,女王属性丹,8000,3200,1,86400,"{""item"",60041,1}"
1,9,TianNv,6,3,女王进阶丹,8000,2400,10,86400,"{""item"",20009,80}"
1,10,TianNv,6,3,女王进阶丹,6000,2400,10,86400,"{""item"",20009,60}"
1,11,TianNv,6,3,女王6阶经验丹,5000,2500,1,86400,"{""item"",20066,1}"
1,12,TianNv,7,3,女王进阶丹,8000,2400,10,86400,"{""item"",20009,80}"
1,13,TianNv,7,3,女王进阶丹,6000,2400,10,86400,"{""item"",20009,60}"
1,14,TianNv,7,3,女王7阶经验丹,5000,2500,1,86400,"{""item"",20067,1}"
1,15,TianNv,8,3,女王进阶丹,8000,2400,10,86400,"{""item"",20009,80}"
1,16,TianNv,8,3,女王进阶丹,5500,2200,10,86400,"{""item"",20009,55}"
1,17,TianNv,8,3,女王8阶经验丹,5000,2500,1,86400,"{""item"",20068,1}"
1,18,TianNv,9,3,女王进阶丹,11500,3450,20,86400,"{""item"",20009,115}"
1,19,TianNv,9,3,女王进阶丹,8000,3200,20,86400,"{""item"",20009,80}"
1,20,TianNv,9,3,女王9阶经验丹,5000,2500,1,86400,"{""item"",20069,1}"
1,21,TianNv,10,3,女王进阶丹,16500,4950,20,86400,"{""item"",20009,165}"
1,22,TianNv,10,3,女王进阶丹,11500,4600,20,86400,"{""item"",20009,115}"
2,0,TianNvXianQi,1,3,仙位进阶丹,6000,1800,5,86400,"{""item"",20010,60}"
2,1,TianNvXianQi,1,3,仙位进阶丹,4000,1600,1,86400,"{""item"",20010,40}"
2,2,TianNvXianQi,1,3,仙位属性丹,8000,3200,1,86400,"{""item"",60042,1}"
2,3,TianNvXianQi,4,3,仙位进阶丹,2200,660,5,86400,"{""item"",20010,22}"
2,4,TianNvXianQi,4,3,仙位进阶丹,7200,2880,5,86400,"{""item"",20010,72}"
2,5,TianNvXianQi,4,3,仙位属性丹,8000,3200,1,86400,"{""item"",60042,1}"
2,6,TianNvXianQi,5,3,仙位进阶丹,4600,1380,5,86400,"{""item"",20010,46}"
2,7,TianNvXianQi,5,3,仙位进阶丹,3000,1200,5,86400,"{""item"",20010,30}"
2,8,TianNvXianQi,5,3,仙位属性丹,8000,3200,1,86400,"{""item"",60042,1}"
2,9,TianNvXianQi,6,3,仙位进阶丹,8000,2400,10,86400,"{""item"",20010,80}"
2,10,TianNvXianQi,6,3,仙位进阶丹,6000,2400,10,86400,"{""item"",20010,60}"
2,11,TianNvXianQi,6,3,仙位6阶经验丹,5000,2500,1,86400,"{""item"",20071,1}"
2,12,TianNvXianQi,7,3,仙位进阶丹,8000,2400,10,86400,"{""item"",20010,80}"
2,13,TianNvXianQi,7,3,仙位进阶丹,6000,2400,10,86400,"{""item"",20010,60}"
2,14,TianNvXianQi,7,3,仙位7阶经验丹,5000,2500,1,86400,"{""item"",20072,1}"
2,15,TianNvXianQi,8,3,仙位进阶丹,8000,2400,10,86400,"{""item"",20010,80}"
2,16,TianNvXianQi,8,3,仙位进阶丹,5500,2200,10,86400,"{""item"",20010,55}"
2,17,TianNvXianQi,8,3,仙位8阶经验丹,5000,2500,1,86400,"{""item"",20073,1}"
2,18,TianNvXianQi,9,3,仙位进阶丹,11500,3450,20,86400,"{""item"",20010,115}"
2,19,TianNvXianQi,9,3,仙位进阶丹,8000,3200,20,86400,"{""item"",20010,80}"
2,20,TianNvXianQi,9,3,仙位9阶经验丹,5000,2500,1,86400,"{""item"",20074,1}"
2,21,TianNvXianQi,10,3,仙位进阶丹,16500,4950,20,86400,"{""item"",20010,165}"
2,22,TianNvXianQi,10,3,仙位进阶丹,11500,4600,20,86400,"{""item"",20010,115}"
3,0,TianNvHuaNian,1,3,花辇进阶丹,6000,1800,5,86400,"{""item"",20011,60}"
3,1,TianNvHuaNian,1,3,花辇进阶丹,4000,1600,1,86400,"{""item"",20011,40}"
3,2,TianNvHuaNian,1,3,花辇属性丹,8000,3200,1,86400,"{""item"",60043,1}"
3,3,TianNvHuaNian,4,3,花辇进阶丹,2200,660,5,86400,"{""item"",20011,22}"
3,4,TianNvHuaNian,4,3,花辇进阶丹,7200,2880,5,86400,"{""item"",20011,72}"
3,5,TianNvHuaNian,4,3,花辇属性丹,8000,3200,1,86400,"{""item"",60043,1}"
3,6,TianNvHuaNian,5,3,花辇进阶丹,4600,1380,5,86400,"{""item"",20011,46}"
3,7,TianNvHuaNian,5,3,花辇进阶丹,3000,1200,5,86400,"{""item"",20011,30}"
3,8,TianNvHuaNian,5,3,花辇属性丹,8000,3200,1,86400,"{""item"",60043,1}"
3,9,TianNvHuaNian,6,3,花辇进阶丹,8000,2400,10,86400,"{""item"",20011,80}"
3,10,TianNvHuaNian,6,3,花辇进阶丹,6000,2400,10,86400,"{""item"",20011,60}"
3,11,TianNvHuaNian,6,3,花辇6阶经验丹,5000,2500,1,86400,"{""item"",20076,1}"
3,12,TianNvHuaNian,7,3,花辇进阶丹,8000,2400,10,86400,"{""item"",20011,80}"
3,13,TianNvHuaNian,7,3,花辇进阶丹,6000,2400,10,86400,"{""item"",20011,60}"
3,14,TianNvHuaNian,7,3,花辇7阶经验丹,5000,2500,1,86400,"{""item"",20077,1}"
3,15,TianNvHuaNian,8,3,花辇进阶丹,8000,2400,10,86400,"{""item"",20011,80}"
3,16,TianNvHuaNian,8,3,花辇进阶丹,5500,2200,10,86400,"{""item"",20011,55}"
3,17,TianNvHuaNian,8,3,花辇8阶经验丹,5000,2500,1,86400,"{""item"",20078,1}"
3,18,TianNvHuaNian,9,3,花辇进阶丹,11500,3450,20,86400,"{""item"",20011,115}"
3,19,TianNvHuaNian,9,3,花辇进阶丹,8000,3200,20,86400,"{""item"",20011,80}"
3,20,TianNvHuaNian,9,3,花辇9阶经验丹,5000,2500,1,86400,"{""item"",20079,1}"
3,21,TianNvHuaNian,10,3,花辇进阶丹,16500,4950,20,86400,"{""item"",20011,165}"
3,22,TianNvHuaNian,10,3,花辇进阶丹,11500,4600,20,86400,"{""item"",20011,115}"
4,0,TianNvLingQi,1,3,灵气进阶丹,6000,1800,5,86400,"{""item"",20012,60}"
4,1,TianNvLingQi,1,3,灵气进阶丹,4000,1600,1,86400,"{""item"",20012,40}"
4,2,TianNvLingQi,1,3,灵气属性丹,8000,3200,1,86400,"{""item"",60044,1}"
4,3,TianNvLingQi,4,3,灵气进阶丹,2200,660,5,86400,"{""item"",20012,22}"
4,4,TianNvLingQi,4,3,灵气进阶丹,7200,2880,5,86400,"{""item"",20012,72}"
4,5,TianNvLingQi,4,3,灵气属性丹,8000,3200,1,86400,"{""item"",60044,1}"
4,6,TianNvLingQi,5,3,灵气进阶丹,4600,1380,5,86400,"{""item"",20012,46}"
4,7,TianNvLingQi,5,3,灵气进阶丹,3000,1200,5,86400,"{""item"",20012,30}"
4,8,TianNvLingQi,5,3,灵气属性丹,8000,3200,1,86400,"{""item"",60044,1}"
4,9,TianNvLingQi,6,3,灵气进阶丹,8000,2400,10,86400,"{""item"",20012,80}"
4,10,TianNvLingQi,6,3,灵气进阶丹,6000,2400,10,86400,"{""item"",20012,60}"
4,11,TianNvLingQi,6,3,灵气6阶经验丹,5000,2500,1,86400,"{""item"",20081,1}"
4,12,TianNvLingQi,7,3,灵气进阶丹,8000,2400,10,86400,"{""item"",20012,80}"
4,13,TianNvLingQi,7,3,灵气进阶丹,6000,2400,10,86400,"{""item"",20012,60}"
4,14,TianNvLingQi,7,3,灵气7阶经验丹,5000,2500,1,86400,"{""item"",20082,1}"
4,15,TianNvLingQi,8,3,灵气进阶丹,8000,2400,10,86400,"{""item"",20012,80}"
4,16,TianNvLingQi,8,3,灵气进阶丹,5500,2200,10,86400,"{""item"",20012,55}"
4,17,TianNvLingQi,8,3,灵气8阶经验丹,5000,2500,1,86400,"{""item"",20083,1}"
4,18,TianNvLingQi,9,3,灵气进阶丹,11500,3450,20,86400,"{""item"",20012,115}"
4,19,TianNvLingQi,9,3,灵气进阶丹,8000,3200,20,86400,"{""item"",20012,80}"
4,20,TianNvLingQi,9,3,灵气9阶经验丹,5000,2500,1,86400,"{""item"",20084,1}"
