天数,索引,标题,描述,要求,要求,奖励
day_kn,index_kn,title_s,tips_s,stageUp_s,cond_n,prize_t
1,0,女儿国王进阶,女儿国王达到4阶,TianNv,4,"{""item"",20009,5}"
1,1,女儿国王进阶,女儿国王达到5阶,TianNv,5,"{""item"",20009,10},{""commonEquip"",10315,1,5,11}"
1,2,女儿国王进阶,女儿国王达到6阶,TianNv,6,"{""item"",20009,15},{""commonEquip"",10316,1,5,11}"
1,3,女儿国王进阶,女儿国王达到7阶,TianNv,7,"{""item"",20009,20},{""commonEquip"",10317,1,5,11}"
1,4,女儿国王进阶,女儿国王达到8阶,TianNv,8,"{""item"",20009,25},{""commonEquip"",10318,1,5,11}"
1,5,女儿国王进阶,女儿国王达到9阶,TianNv,9,"{""item"",20009,25},{""commonEquip"",10319,1,5,11}"
1,6,女儿国王进阶,女儿国王达到10阶,TianNv,10,"{""item"",20009,25},{""commonEquip"",10320,1,5,11}"
2,0,仙位进阶,仙位达到4阶,TianNvXianQi,4,"{""item"",20010,5}"
2,1,仙位进阶,仙位达到5阶,TianNvXianQi,5,"{""item"",20010,10},{""commonEquip"",10075,1,5,11}"
2,2,仙位进阶,仙位达到6阶,TianNvXianQi,6,"{""item"",20010,15},{""commonEquip"",10076,1,5,11}"
2,3,仙位进阶,仙位达到7阶,TianNvXianQi,7,"{""item"",20010,20},{""commonEquip"",10077,1,5,11}"
2,4,仙位进阶,仙位达到8阶,TianNvXianQi,8,"{""item"",20010,25},{""commonEquip"",10078,1,5,11}"
2,5,仙位进阶,仙位达到9阶,TianNvXianQi,9,"{""item"",20010,25},{""commonEquip"",10079,1,5,11}"
2,6,仙位进阶,仙位达到10阶,TianNvXianQi,10,"{""item"",20010,25},{""commonEquip"",10080,1,5,11}"
3,0,花辇进阶,花辇达到4阶,TianNvHuaNian,4,"{""item"",20011,5}"
3,1,花辇进阶,花辇达到5阶,TianNvHuaNian,5,"{""item"",20011,10},{""commonEquip"",10235,1,5,11}"
3,2,花辇进阶,花辇达到6阶,TianNvHuaNian,6,"{""item"",20011,15},{""commonEquip"",10236,1,5,11}"
3,3,花辇进阶,花辇达到7阶,TianNvHuaNian,7,"{""item"",20011,20},{""commonEquip"",10237,1,5,11}"
3,4,花辇进阶,花辇达到8阶,TianNvHuaNian,8,"{""item"",20011,25},{""commonEquip"",10238,1,5,11}"
3,5,花辇进阶,花辇达到9阶,TianNvHuaNian,9,"{""item"",20011,25},{""commonEquip"",10239,1,5,11}"
3,6,花辇进阶,花辇达到10阶,TianNvHuaNian,10,"{""item"",20011,25},{""commonEquip"",10240,1,5,11}"
4,0,灵气进阶,灵气达到4阶,TianNvLingQi,4,"{""item"",20012,5}"
4,1,灵气进阶,灵气达到5阶,TianNvLingQi,5,"{""item"",20012,10},{""commonEquip"",10195,1,5,11}"
4,2,灵气进阶,灵气达到6阶,TianNvLingQi,6,"{""item"",20012,15},{""commonEquip"",10196,1,5,11}"
4,3,灵气进阶,灵气达到7阶,TianNvLingQi,7,"{""item"",20012,20},{""commonEquip"",10197,1,5,11}"
4,4,灵气进阶,灵气达到8阶,TianNvLingQi,8,"{""item"",20012,25},{""commonEquip"",10198,1,5,11}"
4,5,灵气进阶,灵气达到9阶,TianNvLingQi,9,"{""item"",20012,25},{""commonEquip"",10199,1,5,11}"
4,6,灵气进阶,灵气达到10阶,TianNvLingQi,10,"{""item"",20012,25},{""commonEquip"",10200,1,5,11}"
5,0,法阵进阶,法阵达到4阶,XianLvFaZhen,4,"{""item"",20005,5}"
5,1,法阵进阶,法阵达到5阶,XianLvFaZhen,5,"{""item"",20005,10},{""commonEquip"",10045,1,5,11}"
5,2,法阵进阶,法阵达到6阶,XianLvFaZhen,6,"{""item"",20005,15},{""commonEquip"",10046,1,5,11}"
5,3,法阵进阶,法阵达到7阶,XianLvFaZhen,7,"{""item"",20005,20},{""commonEquip"",10047,1,5,11}"
