充值Id,"充值类型(1普通充值,2战争号角，3宗族资材，4星灵,5是卖将)",充值金额,返利数量,首冲赠送,获得数量,单位名称,描述：用于写入日志,元宝图片,都填元宝这两个字
RechargeId_kn,Type_n,ChargeCount_n,Rebate_n,First_n,Gain_n,title_s,Tips_s,Image_s,UnitName_s
1,1,10,0,1000,1000,元宝,10元,cz_yuanBaoIcon01,元宝
2,1,20,0,2000,2000,元宝,20元,cz_yuanBaoIcon01,元宝
3,1,30,0,3000,3000,元宝,30元,cz_yuanBaoIcon01,元宝
4,1,50,0,5000,5000,元宝,50元,cz_yuanBaoIcon01,元宝
5,1,100,0,10000,10000,元宝,100元,cz_yuanBaoIcon02,元宝
6,1,200,0,20000,20000,元宝,200元,cz_yuanBaoIcon02,元宝
7,1,300,0,30000,30000,元宝,300元,cz_yuanBaoIcon02,元宝
8,1,400,0,40000,40000,元宝,400元,cz_yuanBaoIcon02,元宝
9,1,500,0,50000,50000,元宝,500元,cz_yuanBaoIcon02,元宝
10,1,600,0,60000,60000,元宝,600元,cz_yuanBaoIcon03,元宝
11,1,800,0,80000,80000,元宝,800元,cz_yuanBaoIcon03,元宝
12,1,1000,0,100000,100000,元宝,1000元,cz_yuanBaoIcon03,元宝
13,1,1200,0,120000,120000,元宝,1200元,cz_yuanBaoIcon03,元宝
14,1,1500,0,150000,150000,元宝,1500元,cz_yuanBaoIcon04,元宝
15,1,1800,0,180000,180000,元宝,1800元,cz_yuanBaoIcon04,元宝
16,1,2000,0,200000,200000,元宝,2000元,cz_yuanBaoIcon04,元宝
17,1,2500,0,250000,250000,元宝,2500元,cz_yuanBaoIcon05,元宝
18,1,3000,0,300000,300000,元宝,3000元,cz_yuanBaoIcon05,元宝
1000,2,25,0,0,3000,月卡,25元,,元宝
1001,3,18,0,0,2000,周卡,18元,,元宝
1200,4,10,0,0,1000,10元礼包,10元,,元宝
1300,4,48,0,0,4800,星灵,48元,,元宝
1301,4,68,0,0,6800,星灵,68元,,元宝
1302,4,98,0,0,9800,星灵,98元,,元宝
1303,4,188,0,0,18800,星灵,188元,,元宝
1304,4,288,0,0,28800,星灵,288元,,元宝
