类型1（30天前）2（30天以后）,索引,奖励,说明
atype_kn,index_kn,award_t,readme_c
1,1,"{""bindRmb"",1000}",个人签到
1,2,"{""bindRmb"",1200}",
1,3,"{""bindRmb"",1400}",
1,4,"{""bindRmb"",1600}",
1,5,"{""bindRmb"",1800}",
1,6,"{""bindRmb"",2000}",
1,7,"{""bindRmb"",2200}",
1,8,"{""bindRmb"",2400}",
1,9,"{""bindRmb"",2600}",
1,10,"{""bindRmb"",2800}",
1,11,"{""bindRmb"",3000}",
1,12,"{""bindRmb"",3000}",
1,13,"{""bindRmb"",3000}",
1,14,"{""bindRmb"",3000}",
1,15,"{""bindRmb"",3000}",
1,16,"{""bindRmb"",3000}",
1,17,"{""bindRmb"",3000}",
1,18,"{""bindRmb"",3000}",
1,19,"{""bindRmb"",3000}",
1,20,"{""bindRmb"",3000}",
1,21,"{""bindRmb"",3000}",
1,22,"{""bindRmb"",3000}",
1,23,"{""bindRmb"",3000}",
1,24,"{""bindRmb"",3000}",
1,25,"{""bindRmb"",3000}",
1,26,"{""bindRmb"",3000}",
1,27,"{""bindRmb"",3000}",
1,28,"{""bindRmb"",3000}",
1,29,"{""bindRmb"",3000}",
1,30,"{""bindRmb"",3000}",
2,1,"{'item',20001,3},{'item',20001,3},{'item',20001,3},{'item',20001,3}",全服奖励
2,2,"{'item',20013,3},{'item',20013,3},{'item',20013,3},{'item',60005,3}",
2,3,"{'item',20014,3},{'item',20014,3},{'item',20014,3},{'item',60012,3}",
2,4,"{'item',20002,3},{'item',20002,3},{'item',20002,3},{'item',20002,3}",
2,5,"{'item',20003,3},{'item',20003,3},{'item',20003,3},{'item',20003,3}",
2,6,"{'item',20004,3},{'item',20004,3},{'item',20004,3},{'item',20004,3}",
2,7,"{'item',20005,3},{'item',20005,3},{'item',20005,3},{'item',20005,3}",
2,8,"{'item',20006,3},{'item',20006,3},{'item',20006,3},{'item',20006,3}",
2,9,"{'item',20007,3},{'item',20007,3},{'item',20007,3},{'item',20007,3}",
2,10,"{'item',20008,3},{'item',20008,3},{'item',20008,3},{'item',20008,3}",
2,11,"{'item',60003,3},{'item',60003,3},{'item',60003,3},{'item',60003,3}",
