宠物ID,名字,激活道具,子节点,兄弟节点,父节点,消耗材料[材料Id]=概率,提示
Id_kn,name_s,itemid_n,Son_t,Brother_t,Father_n,CondItemRate_t,Tips_s
20062,灵狐,40100,,20063,20064,"[60188]=1,[60114]=0.1,[60126]=0.1,[60137]=0.15,[60127]=0.15,[60116]=0,[60130]=0,[60128]=0,[60112]=0,",洗涤妖兽心灵之美，开启神圣蜕变，进化为灵兽。
20063,人鱼王,40101,,20062,20064,"[60188]=1,[60114]=0.1,[60126]=0.1,[60139]=0.05,[60132]=0.05,[60116]=0,[60122]=0,[60129]=0,[60124]=0,",作为人与鱼的异类，你知道我内心的煎熬吗？
20064,强盗王,40102,"20062,20063,",20067,20068,"[60188]=0.83,[60131]=0.025,[60136]=0.025,[60135]=0.025,[60139]=0.0042,[60116]=0.0083,[60112]=0.0458,[60141]=0,[60123]=0,[60125]=0,[60131]=0,[60121]=0,[60140]=0,",作为强盗界的王者，我积累了大量宝藏，但我更喜欢研究
20065,火烈鸟,40103,,20066,20067,"[60188]=1,[60115]=0.1,[60117]=0.05,[60113]=0.1,[60120]=0.05,[60133]=0,[60134]=0,[60127]=0,[60128]=0,",在我飞行时，不要靠近我，我身上的火焰会烧伤你
20066,飞天猫,40104,,20065,20067,"[60188]=1,[60115]=0.1,[60117]=0.05,[60127]=0.15,[60119]=0.05,[60112]=0,[60128]=0,[60130]=0,[60134]=0,",努力学习飞行，就能成为一只有出息的飞天猫。
20067,风魔王,40105,"20065,20066,",20064,20068,"[60188]=0.83,[60131]=0.025,[60136]=0.025,[60135]=0.025,[60119]=0.0042,[60138]=0.0458,[60127]=0.0125,[60125]=0,[60140]=0,[60134]=0,[60141]=0,[60124]=0,[60132]=0,",寄情于风，感悟于风，才能把控风，成为风中值王。
20068,地狱魔犬,40106,"20064,20067,",,,"[60188]=0.125,[60119]=0.0006,[60124]=0.0063,[60121]=0.0063,[60133]=0.0038,[60112]=0.0069,[60138]=0.0069,[60140]=0,[60125]=0,[60136]=0,[60135]=0,[60128]=0,[60130]=0,[60131]=0,[60129]=0,[60141]=0,[60132]=0,",深渊地域，魔气丛生，这里属于我魔犬一族，擅入者死！
20069,神兵小将,40107,,20070,20071,"[60188]=1,[60123]=0.1,[60118]=0.05,[60137]=0.15,[60127]=0.15,[60121]=0,[60125]=0,[60131]=0,[60130]=0,",作为天神小兵，我渴望执掌虎符成为将军。
20070,水神,40108,,20069,20071,"[60188]=1,[60123]=0.1,[60118]=0.05,[60116]=0.1,[60122]=0.15,[60127]=0,[60112]=0,[60132]=0,[60129]=0,",想要借用我的分水珠，除非有虎符，不然无法借出。
20071,神君,40109,"20069,20070,",,,"[60188]=0.833,[60123]=0.0083,[60118]=0.0042,[60125]=0.025,[60128]=0.0083,[60130]=0.0083,[60131]=0.025,[60121]=0,[60140]=0,[60137]=0,[60127]=0,[60135]=0,[60139]=0,",言出法随、掌控诸天，神君号令，谁敢不从！
