ID,,宠物被动技能库ID,宠物被动技能ID,,权重
index_kn,readme_c,lib,id,name_c,weight
1,,801,60001,,12000
2,,801,60008,,4000
3,,801,60015,,12000
4,,801,60022,,15000
5,,801,60029,,9000
6,,801,60036,,15000
7,,801,60043,,15000
8,,801,60050,,9000
9,,801,60057,,9000
10,,801,60064,,9000
11,,801,60002,,7531
12,,801,60009,,2510
13,,801,60016,,7531
14,,801,60023,,9413
15,,801,60030,,5648
16,,801,60037,,9413
17,,801,60044,,9413
18,,801,60051,,5648
19,,801,60058,,5648
20,,801,60065,,5648
21,,801,60003,,4965
22,,801,60010,,1654
23,,801,60017,,4965
24,,801,60024,,6206
25,,801,60031,,3723
26,,801,60038,,6206
27,,801,60045,,6206
28,,801,60052,,3723
29,,801,60059,,3723
30,,801,60066,,3723
31,,801,60071,,12000
32,,801,60078,,8000
33,,801,60085,,8000
34,,801,60092,,16000
35,,801,60099,,12000
36,,801,60106,,12000
37,,801,60113,,8000
38,,801,60120,,12000
39,,801,60127,,8000
40,,801,60134,,8000
41,,801,60141,,8000
42,,801,60072,,6000
43,,801,60079,,4000
44,,801,60086,,4000
45,,801,60093,,8000
46,,801,60100,,6000
47,,801,60107,,6000
48,,801,60114,,4000
49,,801,60121,,6000
50,,801,60128,,4000
51,,801,60135,,4000
52,,801,60142,,4000
53,,801,60073,,3000
54,,801,60080,,2000
55,,801,60087,,2000
56,,801,60094,,4000
57,,801,60101,,3000
58,,801,60108,,3000
59,,801,60115,,2000
60,,801,60122,,3000
61,,801,60129,,2000
62,,801,60136,,2000
63,,801,60143,,2000
64,,802,60001,,12000
65,,802,60008,,4000
66,,802,60015,,12000
67,,802,60022,,15000
68,,802,60029,,9000
69,,802,60036,,15000
70,,802,60043,,15000
71,,802,60050,,9000
72,,802,60057,,9000
73,,802,60064,,9000
74,,802,60002,,7531
75,,802,60009,,2510
76,,802,60016,,7531
77,,802,60023,,9413
78,,802,60030,,5648
79,,802,60037,,9413
80,,802,60044,,9413
81,,802,60051,,5648
82,,802,60058,,5648
83,,802,60065,,5648
84,,802,60003,,4965
85,,802,60010,,1654
86,,802,60017,,4965
87,,802,60024,,6206
88,,802,60031,,3723
89,,802,60038,,6206
90,,802,60045,,6206
91,,802,60052,,3723
92,,802,60059,,3723
93,,802,60066,,3723
94,,802,60004,,3144
95,,802,60011,,1047
96,,802,60018,,3144
97,,802,60025,,3930
98,,802,60032,,2357
99,,802,60039,,3930
100,,802,60046,,3930
101,,802,60053,,2357
102,,802,60060,,2357
103,,802,60067,,2357
104,,802,60071,,12000
105,,802,60078,,8000
106,,802,60085,,8000
107,,802,60092,,16000
108,,802,60099,,12000
109,,802,60106,,12000
110,,802,60113,,8000
111,,802,60120,,12000
112,,802,60127,,8000
113,,802,60134,,8000
114,,802,60141,,8000
115,,802,60072,,6000
116,,802,60079,,4000
117,,802,60086,,4000
118,,802,60093,,8000
119,,802,60100,,6000
120,,802,60107,,6000
121,,802,60114,,4000
122,,802,60121,,6000
123,,802,60128,,4000
124,,802,60135,,4000
125,,802,60142,,4000
126,,802,60073,,3000
127,,802,60080,,2000
128,,802,60087,,2000
129,,802,60094,,4000
130,,802,60101,,3000
131,,802,60108,,3000
132,,802,60115,,2000
133,,802,60122,,3000
134,,802,60129,,2000
135,,802,60136,,2000
136,,802,60143,,2000
137,,802,60074,,1500
138,,802,60081,,1000
139,,802,60088,,1000
140,,802,60095,,2000
141,,802,60102,,1500
142,,802,60109,,1500
143,,802,60116,,1000
144,,802,60123,,1500
145,,802,60130,,1000
146,,802,60137,,1000
147,,802,60144,,1000
148,,803,60001,,12000
149,,803,60008,,4000
150,,803,60015,,12000
151,,803,60022,,15000
152,,803,60029,,9000
153,,803,60036,,15000
154,,803,60043,,15000
155,,803,60050,,9000
156,,803,60057,,9000
157,,803,60064,,9000
158,,803,60002,,7531
159,,803,60009,,2510
160,,803,60016,,7531
161,,803,60023,,9413
162,,803,60030,,5648
