ID,名字,激活道具ID,激活道具数量,技能id,仙君初始属性,宠物头像,宠物模型,头像款的颜色
Id_kn,name_s,itemid_n,itemnum_n,skilllist_n,effects_t,icon,model_n,quality_n
17001,二郎神,50011,1,40004,"{'maxhp',16000},{'demage',6400},{'hujia',1600}",17006,17006,5
17002,炼丹童子,50012,1,40002,"{'maxhp',1280},{'demage',512},{'hujia',128}",17002,17002,3
17003,功夫熊猫,50013,1,40003,"{'maxhp',4000},{'demage',1600},{'hujia',400}",17003,17003,4
17004,孙悟空,50014,1,40001,"{'maxhp',4400},{'demage',1760},{'hujia',440}",17001,17001,4
17005,大唐捕快,50015,1,40005,"{'maxhp',6920},{'demage',2768},{'hujia',692}",17005,17005,4
17006,狐狸精,50016,1,40006,"{'maxhp',8000},{'demage',3200},{'hujia',800}",17004,17004,4
17007,增长天王,50017,1,40007,"{'maxhp',16000},{'demage',6400},{'hujia',1600}",17007,17007,5
17008,青牛精,50018,1,40008,"{'maxhp',28000},{'demage',11200},{'hujia',2800}",17008,17008,6
17009,多闻天王,50019,1,40009,"{'maxhp',34000},{'demage',13600},{'hujia',3400}",17009,17009,6
17010,雷震子,50020,1,40010,"{'maxhp',40000},{'demage',16000},{'hujia',4000}",17010,17010,6
17011,美猴王,50100,1,40011,"{'maxhp',16000},{'demage',6400},{'hujia',1600}",17011,17011,5
17012,花花公子,50101,1,40012,"{'maxhp',4800},{'demage',1920},{'hujia',480}",17004,17004,4
