时装类型,,时装位置,说明,名字,皮肤id,增加战斗力,那个皮肤,皮肤索引
fashionType_ks,typeName_s,fashionIndex_kn,shopEntry,name_s,skin_n,force_n,cellIndex_n,skinIndex_n
DaHuaXianzi,红尘炼心,1,,幻影羽衣,90016,5000,2,7
DaHuaXianzi,红尘炼心,2,,金羽翎音,60005,7500,15,5
DaHuaXianzi,红尘炼心,3,,古老龙舟,30004,7500,4,7
DaHuaXianzi,红尘炼心,4,,月轮仙子,50007,4500,14,7
HaiZhiLanJing,梦幻轩辕,1,,万物珍裳,90014,5000,2,5
HaiZhiLanJing,梦幻轩辕,2,,轩辕剑,60003,7500,15,3
HaiZhiLanJing,梦幻轩辕,3,,神秘羊驼,30005,28300,4,1
HaiZhiLanJing,梦幻轩辕,4,,破灭之翼,40003,7500,5,3
ZidianQingShuang,冰霜孤影,1,,太虚道袍,90013,5000,2,4
ZidianQingShuang,冰霜孤影,2,,孤狼烈魂,60010,5500,15,10
ZidianQingShuang,冰霜孤影,3,,牛魔王,30007,32000,4,2
ZidianQingShuang,冰霜孤影,4,,书画仙子,50002,13000,14,2
JiZhiBanLv,羽化登仙,1,,玄冥寒光,60001,19500,15,1
JiZhiBanLv,羽化登仙,2,,破风羽毛,30002,23100,4,4
JiZhiBanLv,羽化登仙,3,,彩虹羽翼,40001,17500,5,1
JiZhiBanLv,羽化登仙,4,,蓝蝶精灵,50001,7500,14,1
BiYiSuanFei,冥月灵火,1,,冰晶弧月,60007,53500,15,4
BiYiSuanFei,冥月灵火,2,,灵活小猫,30001,18300,4,5
BiYiSuanFei,冥月灵火,3,,冥火之翼,40002,31500,5,2
BiYiSuanFei,冥月灵火,4,,蓝灵猫,50005,4500,14,5
