玩法名字,升级后的等级,,物品id,物品数量,货币单位,货币数量,增加属性的标准值
name_ks,level_kn,,itemid_n,itemnum_n,moneyunit_n,money_n,value_n
qianghua,1,,,,1,1000,8
qianghua,2,,,,1,3500,16
qianghua,3,,,,1,5900,24
qianghua,4,,,,1,8400,33
qianghua,5,,,,1,11000,42
qianghua,6,,,,1,13800,51
qianghua,7,,,,1,16800,60
qianghua,8,,,,1,19900,69
qianghua,9,,,,1,23200,78
qianghua,10,,,,1,26700,87
qianghua,11,,,,1,30300,96
qianghua,12,,,,1,34100,105
qianghua,13,,,,1,38200,114
qianghua,14,,,,1,42500,123
qianghua,15,,,,1,47000,133
qianghua,16,,,,1,51700,143
qianghua,17,,,,1,56700,153
qianghua,18,,,,1,62000,163
qianghua,19,,,,1,67500,173
qianghua,20,,,,1,73300,183
qianghua,21,,,,1,79500,193
qianghua,22,,,,1,86000,203
qianghua,23,,,,1,92800,213
qianghua,24,,,,1,100000,224
qianghua,25,,,,1,107600,235
qianghua,26,,,,1,115600,246
qianghua,27,,,,1,124000,257
qianghua,28,,,,1,132900,268
qianghua,29,,,,1,142300,279
qianghua,30,,,,1,152200,290
qianghua,31,,,,1,162600,301
qianghua,32,,,,1,173600,313
qianghua,33,,,,1,185200,325
qianghua,34,,,,1,197400,337
qianghua,35,,,,1,210300,349
qianghua,36,,,,1,223800,361
qianghua,37,,,,1,238100,373
qianghua,38,,,,1,253100,385
qianghua,39,,,,1,269000,398
qianghua,40,,,,1,285700,411
qianghua,41,,,,1,303300,424
qianghua,42,,,,1,321900,437
qianghua,43,,,,1,341500,450
qianghua,44,,,,1,362100,463
qianghua,45,,,,1,383800,477
qianghua,46,,,,1,406700,491
qianghua,47,,,,1,430800,505
qianghua,48,,,,1,456200,519
qianghua,49,,,,1,483000,533
qianghua,50,,,,1,511300,548
qianghua,51,,,,1,541100,563
qianghua,52,,,,1,572500,578
qianghua,53,,,,1,605600,593
qianghua,54,,,,1,640500,608
qianghua,55,,,,1,677200,624
qianghua,56,,,,1,715900,640
qianghua,57,,,,1,756700,656
qianghua,58,,,,1,799700,672
qianghua,59,,,,1,845000,689
qianghua,60,,,,1,892800,706
qianghua,61,,,,1,943100,723
qianghua,62,,,,1,996100,740
qianghua,63,,,,1,1052000,758
qianghua,64,,,,1,1110900,776
qianghua,65,,,,1,1173000,794
qianghua,66,,,,1,1238400,812
qianghua,67,,,,1,1307400,831
qianghua,68,,,,1,1380100,850
qianghua,69,,,,1,1456700,869
qianghua,70,,,,1,1537400,888
qianghua,71,,,,1,1622500,908
qianghua,72,,,,1,1712200,928
qianghua,73,,,,1,1806700,948
qianghua,74,,,,1,1906300,969
qianghua,75,,,,1,2011300,990
qianghua,76,,,,1,2121900,1011
qianghua,77,,,,1,2238500,1033
qianghua,78,,,,1,2361400,1055
qianghua,79,,,,1,2490900,1077
qianghua,80,,,,1,2627400,1100
qianghua,81,,,,1,2771200,1123
qianghua,82,,,,1,2922800,1146
qianghua,83,,,,1,3082600,1170
qianghua,84,,,,1,3251000,1194
qianghua,85,,,,1,3428500,1218
qianghua,86,,,,1,3615500,1243
qianghua,87,,,,1,3812600,1268
qianghua,88,,,,1,4020300,1294
qianghua,89,,,,1,4239200,1320
qianghua,90,,,,1,4469900,1346
qianghua,91,,,,1,4713100,1373
qianghua,92,,,,1,4969400,1400
qianghua,93,,,,1,5239500,1428
qianghua,94,,,,1,5524100,1456
qianghua,95,,,,1,5824100,1485
qianghua,96,,,,1,6140300,1514
qianghua,97,,,,1,6473500,1544
qianghua,98,,,,1,6824700,1574
qianghua,99,,,,1,7194800,1605
qianghua,100,,,,1,7584800,1636
qianghua,101,,,,1,7995900,1668
qianghua,102,,,,1,8429100,1700
qianghua,103,,,,1,8885700,1733
qianghua,104,,,,1,9366900,1766
qianghua,105,,,,1,9874000,1800
qianghua,106,,,,1,10408400,1834
qianghua,107,,,,1,10971600,1869
qianghua,108,,,,1,11565200,1905
qianghua,109,,,,1,12190800,1941
qianghua,110,,,,1,12850100,1978
qianghua,111,,,,1,13545000,2015
qianghua,112,,,,1,14277300,2053
qianghua,113,,,,1,15049100,2092
qianghua,114,,,,1,15862500,2131
qianghua,115,,,,1,16719700,2171
qianghua,116,,,,1,17623100,2212
qianghua,117,,,,1,18575200,2254
qianghua,118,,,,1,19578700,2296
qianghua,119,,,,1,20636300,2339
qianghua,120,,,,1,21750900,2383
qianghua,121,,,,1,22925500,2427
qianghua,122,,,,1,24163500,2472
qianghua,123,,,,1,25468200,2518
qianghua,124,,,,1,26843200,2565
qianghua,125,,,,1,28292300,2613
qianghua,126,,,,1,29819500,2662
qianghua,127,,,,1,31429100,2711
qianghua,128,,,,1,33125400,2761
qianghua,129,,,,1,34913200,2812
qianghua,130,,,,1,36797300,2864
qianghua,131,,,,1,38783000,2917
qianghua,132,,,,1,40875700,2971
qianghua,133,,,,1,43081200,3026
qianghua,134,,,,1,45405600,3082
qianghua,135,,,,1,47855300,3139
qianghua,136,,,,1,50437000,3197
qianghua,137,,,,1,53157900,3256
qianghua,138,,,,1,56025500,3316
qianghua,139,,,,1,59047600,3377
qianghua,140,,,,1,62232600,3439
qianghua,141,,,,1,65589300,3502
qianghua,142,,,,1,69127000,3566
qianghua,143,,,,1,72855300,3631
qianghua,144,,,,1,76784600,3698
qianghua,145,,,,1,80925700,3766
qianghua,146,,,,1,85290000,3835
qianghua,147,,,,1,89889600,3905
qianghua,148,,,,1,94737100,3977
qianghua,149,,,,1,99845900,4050
qianghua,150,,,,1,105230100,4124
qianghua,151,,,,1,110904500,4200
qianghua,152,,,,1,116884800,4277
qianghua,153,,,,1,123187400,4355
qianghua,154,,,,1,129829700,4435
qianghua,155,,,,1,136830100,4516
qianghua,156,,,,1,144207800,4599
qianghua,157,,,,1,151983200,4683
qianghua,158,,,,1,160177700,4769
qianghua,159,,,,1,168813900,4856
qianghua,160,,,,1,177915600,4945
qianghua,161,,,,1,187507900,5036
qianghua,162,,,,1,197617300,5128
qianghua,163,,,,1,208271600,5222
qianghua,164,,,,1,219500200,5318
qianghua,165,,,,1,231334000,5415
qianghua,166,,,,1,243805700,5514
qianghua,167,,,,1,256949700,5615
qianghua,168,,,,1,270802200,5718
qianghua,169,,,,1,285401300,5823
qianghua,170,,,,1,300787400,5930
qianghua,171,,,,1,317002800,6039
qianghua,172,,,,1,334092300,6150
qianghua,173,,,,1,352102900,6263
qianghua,174,,,,1,371084400,6378
qianghua,175,,,,1,391089000,6495
qianghua,176,,,,1,412171900,6614
qianghua,177,,,,1,434391200,6735
qianghua,178,,,,1,457808200,6859
qianghua,179,,,,1,482487500,6985
qianghua,180,,,,1,508497000,7113
qianghua,181,,,,1,535908500,7244
qianghua,182,,,,1,564797600,7377
qianghua,183,,,,1,595243900,7513
qianghua,184,,,,1,627331300,7651
qianghua,185,,,,1,661148300,7792
qianghua,186,,,,1,696788100,7935
qianghua,187,,,,1,734349000,8081
qianghua,188,,,,1,773934500,8230
qianghua,189,,,,1,815653800,8382
qianghua,190,,,,1,859621800,8537
qianghua,191,,,,1,905959800,8694
