名字,位置索引,每个位置的技能ID,解锁等级,需要什么物品,解锁加多少属性,每升一级加多少属性,技能名字
Name_ks,Index_kn,SkillId_n,UnlockLevel_n,itemid_n,effects_t,addeffects_t,skillName_s
HeroRide,1,20001,2,30001,"{'maxhp',0},{'demage',0}","{'maxhp',450},{'demage',30}",血海无量
HeroRide,2,20002,3,30001,"{'demage',0},{'hujia',0}","{'demage',45},{'hujia',30}",铜墙铁壁
HeroRide,3,20003,5,30001,"{'demage',0}","{'demage',70}",攻无不克
HeroRide,4,20004,7,30001,"{'demage',0},{'critrate',0}","{'demage',50},{'critrate',20}",乾坤借速
HeroWing,1,20005,2,30002,"{'maxhp',0},{'demage',0}","{'maxhp',450},{'demage',30}",固若金汤
HeroWing,2,20006,3,30002,"{'demage',0},{'hujia',0}","{'demage',45},{'hujia',30}",化咤暗呜
HeroWing,3,20007,5,30002,"{'demage',0}","{'demage',70}",百里穿杨
HeroWing,4,20008,7,30002,"{'demage',0},{'critratedec',0}","{'demage',50},{'critratedec',20}",飞云掣电
PetTongLin,1,20009,2,30005,"{'maxhp',0},{'demage',0}","{'maxhp',450},{'demage',30}",火列星屯
PetTongLin,2,20010,3,30005,"{'demage',0},{'hujia',0}","{'demage',45},{'hujia',30}",无懈可击
PetTongLin,3,20011,5,30005,"{'demage',0}","{'demage',70}",千钧一发
PetTongLin,4,20012,7,30005,"{'demage',0},{'hitrate',0}","{'demage',50},{'hitrate',20}",气势熏灼
PetSouHun,1,20013,2,30006,"{'maxhp',0},{'demage',0}","{'maxhp',450},{'demage',30}",气吞斗牛
PetSouHun,2,20014,3,30006,"{'demage',0},{'hujia',0}","{'demage',45},{'hujia',30}",森严壁垒
PetSouHun,3,20015,5,30006,"{'demage',0}","{'demage',70}",弑神灭魂
PetSouHun,4,20016,7,30006,"{'demage',0},{'dodge',0}","{'demage',50},{'dodge',20}",伏虎降龙
XianLvFaZhen,1,20017,2,30003,"{'maxhp',0},{'demage',0}","{'maxhp',450},{'demage',30}",翻云覆雨
XianLvFaZhen,2,20018,3,30003,"{'demage',0},{'hujia',0}","{'demage',45},{'hujia',30}",席卷八荒
XianLvFaZhen,3,20019,5,30003,"{'demage',0}","{'demage',70}",飞龙在天
XianLvFaZhen,4,20020,7,30003,"{'demage',0},{'critratedec',0}","{'demage',50},{'critratedec',20}",亢龙有悔
XianLvXianWei,1,20021,2,30004,"{'maxhp',0},{'demage',0}","{'maxhp',450},{'demage',30}",风驰草靡
XianLvXianWei,2,20022,3,30004,"{'demage',0},{'hujia',0}","{'demage',45},{'hujia',30}",摧枯拉朽
XianLvXianWei,3,20023,5,30004,"{'demage',0}","{'demage',70}",白日升天
XianLvXianWei,4,20024,7,30004,"{'demage',0},{'critrate',0}","{'demage',50},{'critrate',20}",潮鸣电挚
TianXian,1,20025,2,30007,"{'maxhp',0},{'demage',0}","{'maxhp',450},{'demage',30}",身轻如燕
TianXian,2,20026,3,30007,"{'demage',0},{'hujia',0}","{'demage',45},{'hujia',30}",雪飞风花
TianXian,3,20027,5,30007,"{'demage',0}","{'demage',70}",天女散花
TianXian,4,20028,7,30007,"{'demage',0},{'hitrate',0}","{'demage',50},{'hitrate',20}",大步流星
TianXianWeapon,1,20029,2,30008,"{'maxhp',0},{'demage',0}","{'maxhp',450},{'demage',30}",靡坚不摧
TianXianWeapon,2,20030,3,30008,"{'demage',0},{'hujia',0}","{'demage',45},{'hujia',30}",圣光之力
TianXianWeapon,3,20031,5,30008,"{'demage',0}","{'demage',70}",雷霆万钧
TianXianWeapon,4,20032,7,30008,"{'demage',0},{'dodge',0}","{'demage',50},{'dodge',20}",瀚海苍云
TianNv,1,20033,1,30009,,,天外飞仙
TianNvXianQi,1,20034,2,30010,,,破空一击
TianNvHuaNian,1,20035,2,30011,,,所向披靡
TianNvLingQi,1,20036,2,30012,,,灵气护体
