名字,宠物ID,宠物名,锁定技能需要扣什么货币,洗练物品ID,物品数量,高级洗练物品ID,物品数量,最多多少个技能,初始的技能列表,洗练星级1级时洗出来的库,2级洗练库,3级洗练库,4级洗练库,5级洗练库,6级洗练库,7级洗练库
Name_ks,EntryId_kn,Name_s,moneyunit_n,itemid_n,itemnum_n,highitemid_n,highitemnum_n,MaxNum_n,SkillId_n,Random1_n,Random2_n,Random3_n,Random4_n,Random5_n,Random6_n,Random7_n
PetSkill,20001,天将,3,60005,1,60006,1,1,"60120,",801,802,803,804,805,806,807
PetSkill,20002,月兔,3,60005,1,60006,1,1,"60120,",801,802,803,804,805,806,807
PetSkill,20003,鲛人,3,60005,1,60006,1,1,"60120,60008,",801,802,803,804,805,806,807
PetSkill,20004,狐妖,3,60005,1,60006,1,2,"60078,60190,",801,802,803,804,805,806,807
PetSkill,20005,巡海夜叉,3,60005,1,60006,1,2,"60043,60155,",801,802,803,804,805,806,807
PetSkill,20006,持国天王,3,60005,1,60006,1,2,"60176,60148,",808,809,810,811,812,813,814
PetSkill,20007,河神,3,60005,1,60006,1,2,"60015,60022,",801,802,803,804,805,806,807
PetSkill,20008,棕熊,3,60005,1,60006,1,2,"60008,60057,",801,802,803,804,805,806,807
PetSkill,20009,黑熊精,3,60005,1,60006,1,3,"60022,60197,60015,",801,802,803,804,805,806,807
PetSkill,20010,人鱼公主,3,60005,1,60006,1,3,"60099,60064,60050,",801,802,803,804,805,806,807
PetSkill,20011,猛虎,3,60005,1,60006,1,3,"60064,60015,60183,",808,809,810,811,812,813,814
PetSkill,20012,广目天王,3,60005,1,60006,1,3,"60078,60155,60036,",801,802,803,804,805,806,807
PetSkill,20013,重明鸟,3,60005,1,60006,1,3,"60036,60204,60008,",808,809,810,811,812,813,814
PetSkill,20014,巨灵神,3,60005,1,60006,1,4,"60197,60190,60022,60043,",808,809,810,811,812,813,814
PetSkill,20015,趴趴熊,3,60005,1,60006,1,4,"60036,60148,60169,60022,",801,802,803,804,805,806,807
PetSkill,20016,变异九尾狐,3,60005,1,60006,1,3,"60092,60029,60057,",801,802,803,804,805,806,807
PetSkill,20017,龙龟,3,60005,1,60006,1,5,"60176,60197,60155,60057,60043,",808,809,810,811,812,813,814
PetSkill,20018,武士,3,60005,1,60006,1,5,"60064,60183,60043,60155,60204,",801,802,803,804,805,806,807
PetSkill,20019,年兽,3,60005,1,60006,1,5,"60022,60169,60148,60029,60190,",808,809,810,811,812,813,814
PetSkill,20020,黑风小妖,3,60005,1,60006,1,5,"60036,60169,60148,60064,60176,",801,802,803,804,805,806,807
PetSkill,20021,熊猫,3,60005,1,60006,1,5,"60211,60036,60050,60176,60190,",808,809,810,811,812,813,814
PetSkill,20022,黑水麒麟,3,60005,1,60006,1,5,"60106,60169,60204,60029,60148,",801,802,803,804,805,806,807
PetSkill,20023,火德真君,3,60005,1,60006,1,5,"60155,60176,60169,60029,60015,",808,809,810,811,812,813,814
PetSkill,20024,六耳猕猴,3,60005,1,60006,1,5,"60092,60148,60176,60050,60064,",801,802,803,804,805,806,807
PetSkill,20025,地狱三头犬,3,60005,1,60006,1,5,"60050,60204,60183,60190,60218,",808,809,810,811,812,813,814
PetSkill,20026,夜游神,3,60005,1,60006,1,5,"60197,60064,60050,60190,60162,",808,809,810,811,812,813,814
PetSkill,20027,莲花仙子,3,60005,1,60006,1,5,"60162,60036,60183,60029,60148,",801,802,803,804,805,806,807
PetSkill,20028,强盗,3,60005,1,60006,1,5,"60176,60211,60057,60204,60029,",801,802,803,804,805,806,807
PetSkill,20029,白象王,3,60005,1,60006,1,5,"60029,60155,60183,60008,60218,",808,809,810,811,812,813,814
PetSkill,20030,冰龙,3,60005,1,60006,1,5,"60085,60022,60190,60218,60211,",801,802,803,804,805,806,807
PetSkill,20031,剑侠兔,3,60005,1,60006,1,5,"60141,60057,60204,60197,60155,",808,809,810,811,812,813,814
PetSkill,20032,封蛇,3,60005,1,60006,1,5,"60204,60169,60057,60211,60036,",801,802,803,804,805,806,807
PetSkill,20033,神将,3,60005,1,60006,1,5,"60071,60050,60211,60204,60008,",808,809,810,811,812,813,814
PetSkill,20034,圣灵蝶,3,60005,1,60006,1,5,"60148,60190,60015,60169,60211,",801,802,803,804,805,806,807
PetSkill,20035,招财猫,3,60005,1,60006,1,5,"60057,60064,60197,60204,60155,",808,809,810,811,812,813,814
PetSkill,20036,熊猫大侠,3,60005,1,60006,1,5,"60197,60190,60162,60218,60169,",801,802,803,804,805,806,807
PetSkill,20037,青狮怪,3,60005,1,60006,1,5,"60071,60169,60148,60064,60022,",801,802,803,804,805,806,807
PetSkill,20038,东海龙王,3,60005,1,60006,1,5,"60211,60204,60155,60183,60197,",801,802,803,804,805,806,807
PetSkill,20039,朱雀,3,60005,1,60006,1,5,"60141,60176,60022,60155,60183,",808,809,810,811,812,813,814
