共鸣类型,索引,说明,需要皮肤Id,装备需要大于的等级,总等级,共鸣效果,,,
Name_ks,index_kn,readme_s,itemid_t,greater_n,maxLevel_n,effects_t,,,
DaHuaXianzi,2,大话仙子,"{90007,60005,30007,50007}",,,"{'maxhp',4000},{'demage',800}",,,
DaHuaXianzi,3,大话仙子,"{90007,60005,30007,50007}",,,"{'demage',800},{'hujia',400}",,,
DaHuaXianzi,4,大话仙子,"{90007,60005,30007,50007}",,,"{'chuanjia',1000},{'chuanjiadec', 1000}",,,
HaiZhiLanJing,2,海之蓝鲸,"{90005,60003,30005,40003}",,,"{'maxhp',6000},{'demage',1200}",,,
HaiZhiLanJing,3,海之蓝鲸,"{90005,60003,30005,40003}",,,"{'demage',1200},{'hujia',600}",,,
HaiZhiLanJing,4,海之蓝鲸,"{90005,60003,30005,40003}",,,"{'chuanjia',1500},{'chuanjiadec', 1500}",,,
ZidianQingShuang,2,紫电清霜,"{90004,60010,30006,50002}",,,"{'maxhp',8000},{'demage',1600}",,,
ZidianQingShuang,3,紫电清霜,"{90004,60010,30006,50002}",,,"{'demage',1600},{'hujia',800}",,,
ZidianQingShuang,4,紫电清霜,"{90004,60010,30006,50002}",,,"{'chuanjia',2000},{'chuanjiadec', 2000}",,,
JiZhiBanLv,2,机智斑驴,"{60001,30002,40001,50001}",,,"{'maxhp',10000},{'demage',2000}",,,
JiZhiBanLv,3,机智斑驴,"{60001,30002,40001,50001}",,,"{'demage',2000},{'hujia',1000}",,,
JiZhiBanLv,4,机智斑驴,"{60001,30002,40001,50001}",,,"{'chuanjia',2250},{'chuanjiadec', 2250}",,,
BiYiSuanFei,2,比翼双飞,"{60007,30001,40002,50005}",,,"{'maxhp',12000},{'demage',2400}",,,
BiYiSuanFei,3,比翼双飞,"{60007,30001,40002,50005}",,,"{'demage',2400},{'hujia',1200}",,,
BiYiSuanFei,4,比翼双飞,"{60007,30001,40002,50005}",,,"{'chuanjia',2500},{'chuanjiadec', 2500}",,,
