索引,说明,排名,绑定元宝,物品奖励,金币,竞技积分
index_kn,readme_c,rank,bRmb,item_t,gold,jjPoint
1,进入4900,4900,500,,,
2,进入4800,4800,500,,,
3,进入4700,4700,500,,,
4,进入4600,4600,500,,,
5,进入4500,4500,500,,,
6,进入4400,4400,500,,,
7,进入4300,4300,500,,,
8,进入4200,4200,500,,,
9,进入4100,4100,500,,,
10,进入4000,4000,500,,,
11,进入3900,3900,500,,,
12,进入3800,3800,500,,,
13,进入3700,3700,500,,,
14,进入3600,3600,500,,,
15,进入3500,3500,500,,,
16,进入3400,3400,500,,,
17,进入3300,3300,500,,,
18,进入3200,3200,500,,,
19,进入3100,3100,500,,,
20,进入3000,3000,500,,,
21,进入2900,2900,500,,,
22,进入2800,2800,500,,,
23,进入2700,2700,500,,,
24,进入2600,2600,500,,,
25,进入2500,2500,500,,,
26,进入2400,2400,500,,,
27,进入2300,2300,500,,,
28,进入2200,2200,500,,,
29,进入2100,2100,500,,,
30,进入2000,2000,500,,,
31,进入1900,1900,500,,,
32,进入1800,1800,500,,,
33,进入1700,1700,500,,,
34,进入1600,1600,500,,,
35,进入1500,1500,500,,,
36,进入1400,1400,500,,,
37,进入1300,1300,500,,,
38,进入1200,1200,500,,,
39,进入1100,1100,500,,,
40,进入1000,1000,500,,,
41,进入950,950,500,,,
42,进入900,900,500,,,
43,进入850,850,500,,,
44,进入800,800,500,,,
45,进入750,750,500,,,
46,进入700,700,500,,,
47,进入650,650,500,,,
48,进入600,600,500,,,
49,进入550,550,500,,,
50,进入500,500,500,,,
51,进入450,450,500,,,
52,进入400,400,500,,,
53,进入350,350,500,,,
54,进入300,300,500,,,
55,进入250,250,500,,,
56,进入200,200,500,,,
57,进入180,180,500,,,
58,进入160,160,500,,,
59,进入140,140,500,,,
60,进入120,120,500,,,
61,进入100,100,500,,,
62,进入80,80,500,,,
63,进入60,60,500,,,
64,进入40,40,500,,,
65,进入20,20,500,,,
66,进入10,10,500,,,
67,进入5,5,500,,,
68,进入4,4,500,,,
69,进入3,3,800,,,
70,进入2,2,1000,,,
71,进入1,1,1500,,,
