等级索引,需要经验,奖励内容,属性
ID_kn,exp_n,prize_t,effects_t
0,20,"{""facContribute"",50},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',0},{'demage',0},{'hujia',0}"
1,20,"{""facContribute"",50},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',120},{'demage',48},{'hujia',12}"
2,20,"{""facContribute"",50},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',241},{'demage',96},{'hujia',24}"
3,20,"{""facContribute"",50},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',362},{'demage',144},{'hujia',36}"
4,20,"{""facContribute"",50},{""bindRmb"",200},{""item"",60018,1}","{'maxhp',484},{'demage',193},{'hujia',48}"
5,20,"{""facContribute"",50},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',606},{'demage',242},{'hujia',60}"
6,20,"{""facContribute"",50},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',729},{'demage',291},{'hujia',72}"
7,20,"{""facContribute"",50},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',853},{'demage',341},{'hujia',85}"
8,20,"{""facContribute"",50},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',977},{'demage',390},{'hujia',97}"
9,30,"{""facContribute"",50},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',1102},{'demage',440},{'hujia',110}"
10,30,"{""facContribute"",60},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',1227},{'demage',491},{'hujia',122}"
11,30,"{""facContribute"",60},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',1416},{'demage',566},{'hujia',141}"
12,30,"{""facContribute"",60},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',1915},{'demage',766},{'hujia',191}"
13,30,"{""facContribute"",60},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',2093},{'demage',837},{'hujia',209}"
14,30,"{""facContribute"",60},{""bindRmb"",200},{""item"",60018,1}","{'maxhp',2273},{'demage',909},{'hujia',227}"
15,30,"{""facContribute"",60},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',2455},{'demage',982},{'hujia',245}"
16,30,"{""facContribute"",60},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',2639},{'demage',1055},{'hujia',263}"
17,30,"{""facContribute"",60},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',2826},{'demage',1130},{'hujia',282}"
18,30,"{""facContribute"",60},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',3015},{'demage',1206},{'hujia',301}"
19,35,"{""facContribute"",60},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',3206},{'demage',1282},{'hujia',320}"
20,35,"{""facContribute"",70},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',3399},{'demage',1359},{'hujia',339}"
21,35,"{""facContribute"",70},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',3595},{'demage',1438},{'hujia',359}"
22,35,"{""facContribute"",70},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',3792},{'demage',1516},{'hujia',379}"
23,35,"{""facContribute"",70},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',3992},{'demage',1596},{'hujia',399}"
24,35,"{""facContribute"",70},{""bindRmb"",200},{""item"",60018,1}","{'maxhp',4194},{'demage',1677},{'hujia',419}"
25,35,"{""facContribute"",70},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',4399},{'demage',1759},{'hujia',439}"
26,35,"{""facContribute"",70},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',4605},{'demage',1842},{'hujia',460}"
27,35,"{""facContribute"",70},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',4814},{'demage',1925},{'hujia',481}"
28,35,"{""facContribute"",70},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',5025},{'demage',2010},{'hujia',502}"
29,35,"{""facContribute"",70},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',5239},{'demage',2095},{'hujia',523}"
30,35,"{""facContribute"",70},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',5454},{'demage',2181},{'hujia',545}"
31,35,"{""facContribute"",70},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',5672},{'demage',2268},{'hujia',567}"
32,35,"{""facContribute"",70},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',5892},{'demage',2356},{'hujia',589}"
33,35,"{""facContribute"",70},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',6114},{'demage',2445},{'hujia',611}"
34,40,"{""facContribute"",70},{""bindRmb"",200},{""item"",60018,1}","{'maxhp',6338},{'demage',2535},{'hujia',633}"
35,40,"{""facContribute"",80},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',6565},{'demage',2626},{'hujia',656}"
36,40,"{""facContribute"",80},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',6794},{'demage',2717},{'hujia',679}"
37,40,"{""facContribute"",80},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',7025},{'demage',2810},{'hujia',702}"
38,40,"{""facContribute"",80},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',7258},{'demage',2903},{'hujia',725}"
39,40,"{""facContribute"",80},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',7493},{'demage',2997},{'hujia',749}"
40,40,"{""facContribute"",80},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',7731},{'demage',3092},{'hujia',773}"
41,40,"{""facContribute"",80},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',7971},{'demage',3188},{'hujia',797}"
42,40,"{""facContribute"",80},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',8213},{'demage',3285},{'hujia',821}"
43,40,"{""facContribute"",80},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',8457},{'demage',3382},{'hujia',845}"
44,40,"{""facContribute"",80},{""bindRmb"",200},{""item"",60018,1}","{'maxhp',8704},{'demage',3481},{'hujia',870}"
45,40,"{""facContribute"",80},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',8953},{'demage',3581},{'hujia',895}"
46,40,"{""facContribute"",80},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',9204},{'demage',3681},{'hujia',920}"
47,40,"{""facContribute"",80},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',9457},{'demage',3782},{'hujia',945}"
48,40,"{""facContribute"",80},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',9712},{'demage',3884},{'hujia',971}"
49,46,"{""facContribute"",80},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',9970},{'demage',3988},{'hujia',997}"
50,46,"{""facContribute"",92},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',10230},{'demage',4092},{'hujia',1023}"
51,46,"{""facContribute"",92},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',10492},{'demage',4196},{'hujia',1049}"
52,46,"{""facContribute"",92},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',10756},{'demage',4302},{'hujia',1075}"
53,46,"{""facContribute"",92},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',11023},{'demage',4409},{'hujia',1102}"
54,46,"{""facContribute"",92},{""bindRmb"",200},{""item"",60018,1}","{'maxhp',11292},{'demage',4516},{'hujia',1129}"
55,46,"{""facContribute"",92},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',11563},{'demage',4625},{'hujia',1156}"
56,46,"{""facContribute"",92},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',11836},{'demage',4734},{'hujia',1183}"
57,46,"{""facContribute"",92},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',12111},{'demage',4844},{'hujia',1211}"
58,46,"{""facContribute"",92},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',12389},{'demage',4955},{'hujia',1238}"
59,46,"{""facContribute"",92},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',12669},{'demage',5067},{'hujia',1266}"
60,46,"{""facContribute"",92},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',12951},{'demage',5180},{'hujia',1295}"
61,46,"{""facContribute"",92},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',13235},{'demage',5294},{'hujia',1323}"
62,46,"{""facContribute"",92},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',13522},{'demage',5408},{'hujia',1352}"
63,46,"{""facContribute"",92},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',13811},{'demage',5524},{'hujia',1381}"
64,52,"{""facContribute"",92},{""bindRmb"",200},{""item"",60018,1}","{'maxhp',14102},{'demage',5640},{'hujia',1410}"
65,52,"{""facContribute"",92},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',14395},{'demage',5758},{'hujia',1439}"
66,52,"{""facContribute"",92},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',14690},{'demage',5876},{'hujia',1469}"
67,52,"{""facContribute"",92},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',14988},{'demage',5995},{'hujia',1498}"
68,52,"{""facContribute"",92},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',15288},{'demage',6115},{'hujia',1528}"
69,52,"{""facContribute"",92},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',15590},{'demage',6236},{'hujia',1559}"
70,52,"{""facContribute"",104},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',15894},{'demage',6357},{'hujia',1589}"
71,52,"{""facContribute"",104},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',16201},{'demage',6480},{'hujia',1620}"
72,52,"{""facContribute"",104},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',16509},{'demage',6603},{'hujia',1650}"
73,52,"{""facContribute"",104},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',16820},{'demage',6728},{'hujia',1682}"
74,52,"{""facContribute"",104},{""bindRmb"",200},{""item"",60018,1}","{'maxhp',17133},{'demage',6853},{'hujia',1713}"
75,52,"{""facContribute"",104},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',17449},{'demage',6979},{'hujia',1744}"
76,52,"{""facContribute"",104},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',17766},{'demage',7106},{'hujia',1776}"
77,52,"{""facContribute"",104},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',18086},{'demage',7234},{'hujia',1808}"
78,52,"{""facContribute"",104},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',18408},{'demage',7363},{'hujia',1840}"
79,52,"{""facContribute"",104},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',18733},{'demage',7493},{'hujia',1873}"
80,52,"{""facContribute"",104},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',19059},{'demage',7623},{'hujia',1905}"
81,52,"{""facContribute"",104},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',19388},{'demage',7755},{'hujia',1938}"
82,52,"{""facContribute"",104},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',19719},{'demage',7887},{'hujia',1971}"
83,52,"{""facContribute"",104},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',20052},{'demage',8020},{'hujia',2005}"
84,52,"{""facContribute"",104},{""bindRmb"",200},{""item"",60018,1}","{'maxhp',20387},{'demage',8154},{'hujia',2038}"
85,52,"{""facContribute"",104},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',20725},{'demage',8290},{'hujia',2072}"
86,52,"{""facContribute"",104},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',21065},{'demage',8426},{'hujia',2106}"
87,52,"{""facContribute"",104},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',21407},{'demage',8562},{'hujia',2140}"
88,52,"{""facContribute"",104},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',21751},{'demage',8700},{'hujia',2175}"
89,60,"{""facContribute"",104},{""bindRmb"",200},{""item"",60017,1}","{'maxhp',22097},{'demage',8838},{'hujia',2209}"
