ID,帮贡消耗,技能1,技能2,技能3,技能4,技能5,技能6,技能7,技能8
level_kn,facContribute_n,effects1_t,effects2_t,effects3_t,effects4_t,effects5_t,effects6_t,effects7_t,effects8_t
0,0,"{'maxhp',0},{'hujia',0}","{'demage',0}","{'demage',0},{'hujia',0}","{'demage',0},{'critrate',0}","{'demage',0},{'critratedec',0}","{'demage',0},{'hitrate',0}","{'demage',0},{'dodge',0}","{'maxhp',0},{'speed',0}"
1,200,"{'maxhp',344},{'hujia',10}","{'demage',53}","{'demage',3},{'hujia',50}","{'demage',50},{'critrate',2}","{'demage',50},{'critratedec',2}","{'demage',50},{'hitrate',2}","{'demage',50},{'dodge',2}","{'maxhp',224},{'speed',1}"
2,200,"{'maxhp',688},{'hujia',20}","{'demage',106}","{'demage',6},{'hujia',100}","{'demage',100},{'critrate',4}","{'demage',100},{'critratedec',4}","{'demage',100},{'hitrate',4}","{'demage',100},{'dodge',4}","{'maxhp',448},{'speed',2}"
3,200,"{'maxhp',1032},{'hujia',30}","{'demage',159}","{'demage',9},{'hujia',150}","{'demage',150},{'critrate',6}","{'demage',150},{'critratedec',6}","{'demage',150},{'hitrate',6}","{'demage',150},{'dodge',6}","{'maxhp',672},{'speed',3}"
4,200,"{'maxhp',1376},{'hujia',40}","{'demage',212}","{'demage',12},{'hujia',200}","{'demage',200},{'critrate',8}","{'demage',200},{'critratedec',8}","{'demage',200},{'hitrate',8}","{'demage',200},{'dodge',8}","{'maxhp',896},{'speed',4}"
5,200,"{'maxhp',1720},{'hujia',50}","{'demage',265}","{'demage',15},{'hujia',250}","{'demage',250},{'critrate',10}","{'demage',250},{'critratedec',10}","{'demage',250},{'hitrate',10}","{'demage',250},{'dodge',10}","{'maxhp',1120},{'speed',5}"
6,200,"{'maxhp',2064},{'hujia',60}","{'demage',318}","{'demage',18},{'hujia',300}","{'demage',300},{'critrate',12}","{'demage',300},{'critratedec',12}","{'demage',300},{'hitrate',12}","{'demage',300},{'dodge',12}","{'maxhp',1344},{'speed',6}"
7,200,"{'maxhp',2408},{'hujia',70}","{'demage',371}","{'demage',21},{'hujia',350}","{'demage',350},{'critrate',14}","{'demage',350},{'critratedec',14}","{'demage',350},{'hitrate',14}","{'demage',350},{'dodge',14}","{'maxhp',1568},{'speed',7}"
8,200,"{'maxhp',2752},{'hujia',80}","{'demage',424}","{'demage',24},{'hujia',400}","{'demage',400},{'critrate',16}","{'demage',400},{'critratedec',16}","{'demage',400},{'hitrate',16}","{'demage',400},{'dodge',16}","{'maxhp',1792},{'speed',8}"
9,200,"{'maxhp',3096},{'hujia',90}","{'demage',477}","{'demage',27},{'hujia',450}","{'demage',450},{'critrate',18}","{'demage',450},{'critratedec',18}","{'demage',450},{'hitrate',18}","{'demage',450},{'dodge',18}","{'maxhp',2016},{'speed',9}"
10,200,"{'maxhp',3440},{'hujia',100}","{'demage',530}","{'demage',30},{'hujia',500}","{'demage',500},{'critrate',20}","{'demage',500},{'critratedec',20}","{'demage',500},{'hitrate',20}","{'demage',500},{'dodge',20}","{'maxhp',2240},{'speed',10}"
11,200,"{'maxhp',3784},{'hujia',110}","{'demage',583}","{'demage',33},{'hujia',550}","{'demage',550},{'critrate',22}","{'demage',550},{'critratedec',22}","{'demage',550},{'hitrate',22}","{'demage',550},{'dodge',22}","{'maxhp',2464},{'speed',11}"
12,200,"{'maxhp',4128},{'hujia',120}","{'demage',636}","{'demage',36},{'hujia',600}","{'demage',600},{'critrate',24}","{'demage',600},{'critratedec',24}","{'demage',600},{'hitrate',24}","{'demage',600},{'dodge',24}","{'maxhp',2688},{'speed',12}"
13,200,"{'maxhp',4472},{'hujia',130}","{'demage',689}","{'demage',39},{'hujia',650}","{'demage',650},{'critrate',26}","{'demage',650},{'critratedec',26}","{'demage',650},{'hitrate',26}","{'demage',650},{'dodge',26}","{'maxhp',2912},{'speed',13}"
14,200,"{'maxhp',4816},{'hujia',140}","{'demage',742}","{'demage',42},{'hujia',700}","{'demage',700},{'critrate',28}","{'demage',700},{'critratedec',28}","{'demage',700},{'hitrate',28}","{'demage',700},{'dodge',28}","{'maxhp',3136},{'speed',14}"
15,200,"{'maxhp',5160},{'hujia',150}","{'demage',795}","{'demage',45},{'hujia',750}","{'demage',750},{'critrate',30}","{'demage',750},{'critratedec',30}","{'demage',750},{'hitrate',30}","{'demage',750},{'dodge',30}","{'maxhp',3360},{'speed',15}"
16,200,"{'maxhp',5504},{'hujia',160}","{'demage',848}","{'demage',48},{'hujia',800}","{'demage',800},{'critrate',32}","{'demage',800},{'critratedec',32}","{'demage',800},{'hitrate',32}","{'demage',800},{'dodge',32}","{'maxhp',3584},{'speed',16}"
17,200,"{'maxhp',5848},{'hujia',170}","{'demage',901}","{'demage',51},{'hujia',850}","{'demage',850},{'critrate',34}","{'demage',850},{'critratedec',34}","{'demage',850},{'hitrate',34}","{'demage',850},{'dodge',34}","{'maxhp',3808},{'speed',17}"
18,200,"{'maxhp',6192},{'hujia',180}","{'demage',954}","{'demage',54},{'hujia',900}","{'demage',900},{'critrate',36}","{'demage',900},{'critratedec',36}","{'demage',900},{'hitrate',36}","{'demage',900},{'dodge',36}","{'maxhp',4032},{'speed',18}"
19,200,"{'maxhp',6536},{'hujia',190}","{'demage',1007}","{'demage',57},{'hujia',950}","{'demage',950},{'critrate',38}","{'demage',950},{'critratedec',38}","{'demage',950},{'hitrate',38}","{'demage',950},{'dodge',38}","{'maxhp',4256},{'speed',19}"
20,200,"{'maxhp',6880},{'hujia',200}","{'demage',1060}","{'demage',60},{'hujia',1000}","{'demage',1000},{'critrate',40}","{'demage',1000},{'critratedec',40}","{'demage',1000},{'hitrate',40}","{'demage',1000},{'dodge',40}","{'maxhp',4480},{'speed',20}"
21,200,"{'maxhp',7224},{'hujia',210}","{'demage',1113}","{'demage',63},{'hujia',1050}","{'demage',1050},{'critrate',42}","{'demage',1050},{'critratedec',42}","{'demage',1050},{'hitrate',42}","{'demage',1050},{'dodge',42}","{'maxhp',4704},{'speed',21}"
22,200,"{'maxhp',7568},{'hujia',220}","{'demage',1166}","{'demage',66},{'hujia',1100}","{'demage',1100},{'critrate',44}","{'demage',1100},{'critratedec',44}","{'demage',1100},{'hitrate',44}","{'demage',1100},{'dodge',44}","{'maxhp',4928},{'speed',22}"
23,200,"{'maxhp',7912},{'hujia',230}","{'demage',1219}","{'demage',69},{'hujia',1150}","{'demage',1150},{'critrate',46}","{'demage',1150},{'critratedec',46}","{'demage',1150},{'hitrate',46}","{'demage',1150},{'dodge',46}","{'maxhp',5152},{'speed',23}"
24,200,"{'maxhp',8256},{'hujia',240}","{'demage',1272}","{'demage',72},{'hujia',1200}","{'demage',1200},{'critrate',48}","{'demage',1200},{'critratedec',48}","{'demage',1200},{'hitrate',48}","{'demage',1200},{'dodge',48}","{'maxhp',5376},{'speed',24}"
25,200,"{'maxhp',8600},{'hujia',250}","{'demage',1325}","{'demage',75},{'hujia',1250}","{'demage',1250},{'critrate',50}","{'demage',1250},{'critratedec',50}","{'demage',1250},{'hitrate',50}","{'demage',1250},{'dodge',50}","{'maxhp',5600},{'speed',25}"
