索引,说明,名称,装备名称,摘要 简单描述,物品图标,堆叠数量,物品等级,使用等级,类型(通用装备的大类2),子类型,装备位置
ItemEntry_kn,readme_s,title_s,name_s,summary_s,Icon_n,overlap,level,uselevel,type_n,subtype_n,pos_n
10001,坐骑 位置1,骑（铠）,1阶铠首,,10001,1,1,1,2,501,1
10002,坐骑 位置1,骑（铠）,2阶铠首,,10001,1,2,2,2,501,1
10003,坐骑 位置1,骑（铠）,3阶铠首,,10001,1,3,3,2,501,1
10004,坐骑 位置1,骑（铠）,4阶铠首,,10001,1,4,4,2,501,1
10005,坐骑 位置1,骑（铠）,5阶铠首,,10001,1,5,5,2,501,1
10006,坐骑 位置1,骑（铠）,6阶铠首,,10001,1,6,6,2,501,1
10007,坐骑 位置1,骑（铠）,7阶铠首,,10001,1,7,7,2,501,1
10008,坐骑 位置1,骑（铠）,8阶铠首,,10001,1,8,8,2,501,1
10009,坐骑 位置1,骑（铠）,9阶铠首,,10001,1,9,9,2,501,1
10010,坐骑 位置1,骑（铠）,10阶铠首,,10001,1,10,10,2,501,1
10011,坐骑 位置2,骑（鞍）,1阶马鞍,,10002,1,1,1,2,502,2
10012,坐骑 位置2,骑（鞍）,2阶马鞍,,10002,1,2,2,2,502,2
10013,坐骑 位置2,骑（鞍）,3阶马鞍,,10002,1,3,3,2,502,2
10014,坐骑 位置2,骑（鞍）,4阶马鞍,,10002,1,4,4,2,502,2
10015,坐骑 位置2,骑（鞍）,5阶马鞍,,10002,1,5,5,2,502,2
10016,坐骑 位置2,骑（鞍）,6阶马鞍,,10002,1,6,6,2,502,2
10017,坐骑 位置2,骑（鞍）,7阶马鞍,,10002,1,7,7,2,502,2
10018,坐骑 位置2,骑（鞍）,8阶马鞍,,10002,1,8,8,2,502,2
10019,坐骑 位置2,骑（鞍）,9阶马鞍,,10002,1,9,9,2,502,2
10020,坐骑 位置2,骑（鞍）,10阶马鞍,,10002,1,10,10,2,502,2
10021,坐骑 位置3,骑（缰）,1阶缰绳,,10003,1,1,1,2,503,3
10022,坐骑 位置3,骑（缰）,2阶缰绳,,10003,1,2,2,2,503,3
10023,坐骑 位置3,骑（缰）,3阶缰绳,,10003,1,3,3,2,503,3
10024,坐骑 位置3,骑（缰）,4阶缰绳,,10003,1,4,4,2,503,3
10025,坐骑 位置3,骑（缰）,5阶缰绳,,10003,1,5,5,2,503,3
10026,坐骑 位置3,骑（缰）,6阶缰绳,,10003,1,6,6,2,503,3
10027,坐骑 位置3,骑（缰）,7阶缰绳,,10003,1,7,7,2,503,3
10028,坐骑 位置3,骑（缰）,8阶缰绳,,10003,1,8,8,2,503,3
10029,坐骑 位置3,骑（缰）,9阶缰绳,,10003,1,9,9,2,503,3
10030,坐骑 位置3,骑（缰）,10阶缰绳,,10003,1,10,10,2,503,3
10031,坐骑 位置4,骑（蹬）,1阶马蹬,,10004,1,1,1,2,504,4
10032,坐骑 位置4,骑（蹬）,2阶马蹬,,10004,1,2,2,2,504,4
10033,坐骑 位置4,骑（蹬）,3阶马蹬,,10004,1,3,3,2,504,4
10034,坐骑 位置4,骑（蹬）,4阶马蹬,,10004,1,4,4,2,504,4
10035,坐骑 位置4,骑（蹬）,5阶马蹬,,10004,1,5,5,2,504,4
10036,坐骑 位置4,骑（蹬）,6阶马蹬,,10004,1,6,6,2,504,4
10037,坐骑 位置4,骑（蹬）,7阶马蹬,,10004,1,7,7,2,504,4
10038,坐骑 位置4,骑（蹬）,8阶马蹬,,10004,1,8,8,2,504,4
10039,坐骑 位置4,骑（蹬）,9阶马蹬,,10004,1,9,9,2,504,4
10040,坐骑 位置4,骑（蹬）,10阶马蹬,,10004,1,10,10,2,504,4
10041,翅膀 位置1,翅（翎）,1阶翎羽,,10001,1,1,1,2,511,1
10042,翅膀 位置1,翅（翎）,2阶翎羽,,10001,1,2,2,2,511,1
10043,翅膀 位置1,翅（翎）,3阶翎羽,,10001,1,3,3,2,511,1
10044,翅膀 位置1,翅（翎）,4阶翎羽,,10001,1,4,4,2,511,1
10045,翅膀 位置1,翅（翎）,5阶翎羽,,10001,1,5,5,2,511,1
10046,翅膀 位置1,翅（翎）,6阶翎羽,,10001,1,6,6,2,511,1
10047,翅膀 位置1,翅（翎）,7阶翎羽,,10001,1,7,7,2,511,1
10048,翅膀 位置1,翅（翎）,8阶翎羽,,10001,1,8,8,2,511,1
10049,翅膀 位置1,翅（翎）,9阶翎羽,,10001,1,9,9,2,511,1
10050,翅膀 位置1,翅（翎）,10阶翎羽,,10001,1,10,10,2,511,1
10051,翅膀 位置2,翅（飞）,1阶飞羽,,10002,1,1,1,2,512,2
10052,翅膀 位置2,翅（飞）,2阶飞羽,,10002,1,2,2,2,512,2
10053,翅膀 位置2,翅（飞）,3阶飞羽,,10002,1,3,3,2,512,2
10054,翅膀 位置2,翅（飞）,4阶飞羽,,10002,1,4,4,2,512,2
10055,翅膀 位置2,翅（飞）,5阶飞羽,,10002,1,5,5,2,512,2
10056,翅膀 位置2,翅（飞）,6阶飞羽,,10002,1,6,6,2,512,2
10057,翅膀 位置2,翅（飞）,7阶飞羽,,10002,1,7,7,2,512,2
10058,翅膀 位置2,翅（飞）,8阶飞羽,,10002,1,8,8,2,512,2
10059,翅膀 位置2,翅（飞）,9阶飞羽,,10002,1,9,9,2,512,2
10060,翅膀 位置2,翅（飞）,10阶飞羽,,10002,1,10,10,2,512,2
10061,翅膀 位置3,翅（覆）,1阶覆羽,,10003,1,1,1,2,513,3
10062,翅膀 位置3,翅（覆）,2阶覆羽,,10003,1,2,2,2,513,3
10063,翅膀 位置3,翅（覆）,3阶覆羽,,10003,1,3,3,2,513,3
10064,翅膀 位置3,翅（覆）,4阶覆羽,,10003,1,4,4,2,513,3
10065,翅膀 位置3,翅（覆）,5阶覆羽,,10003,1,5,5,2,513,3
10066,翅膀 位置3,翅（覆）,6阶覆羽,,10003,1,6,6,2,513,3
10067,翅膀 位置3,翅（覆）,7阶覆羽,,10003,1,7,7,2,513,3
10068,翅膀 位置3,翅（覆）,8阶覆羽,,10003,1,8,8,2,513,3
