索引,说明,名称,摘要 简单描述,传奇特效说明,物品图标,堆叠数量,物品等级,使用等级,类型,子类型,性别,能否出售（0否）,能否丢弃（1否）,购买价格,出售价格,效用,专属类型（伙伴或者职业Type),品质（普通传奇103，套装104）,面具品阶,装备系列,装备战力修正,品阶(1普通2高级3至尊),兑换所需要的粉末,分解得到的粉末,能否分解,掉落权重,特效1属性,特效2技能,特效3状态,能否掉落,效果说明
ItemEntry_kn,readme_s,name_s,summary_s,special_s,Icon_n,overlap,level,uselevel,type,subtype,gender,cansell,candrop,buyprice,sellprice,effects_t,heroId_t,quality,stage,series_n,score,equipStar,powder,splitPowder,canSplit,weight,specialEffect1_t,specialEffect2_t,specialEffect3_t,canDrop,info_s
300001,武器,武器,,,,,,2,3,201,,,,,,,,,,,,,,,,,,,,,
300002,头盔,头盔,,,,,,4,4,301,,,,,,,,,,,,,,,,,,,,,
300003,项链,项链,,,,,,5,5,401,,,,,,,,,,,,,,,,,,,,,
300004,衣服,衣服,,,,,,6,6,501,,,,,,,,,,,,,,,,,,,,,
300005,护肩,护肩,,,,,,8,7,601,,,,,,,,,,,,,,,,,,,,,
300006,腰带,腰带,,,,,,10,8,701,,,,,,,,,,,,,,,,,,,,,
300007,护腕,护腕,,,,,,12,9,801,,,,,,,,,,,,,,,,,,,,,
300008,戒指,戒指,,,,,,14,10,901,,,,,,,,,,,,,,,,,,,,,
300009,裤子,裤子,,,,,,16,11,1001,,,,,,,,,,,,,,,,,,,,,
300010,鞋子,鞋子,,,,,,18,12,1101,,,,,,,,,,,,,,,,,,,,,
