索引,说明,名称,摘要 简单描述,物品图标,堆叠数量,物品等级,使用等级,类型(角色装备的大类3),子类型,套装ID
ItemEntry_kn,readme_s,name_s,summary_s,Icon_n,overlap,level,uselevel,type,subtype,suit_n
15001,,青锋头盔,,15002,1,1,1,3,201,101
15002,,青锋剑,,15001,1,2,2,3,202,101
15003,,青锋衣服,,15004,1,4,4,3,203,101
15004,,青锋戒指,,15008,1,6,6,3,204,101
15005,,青锋项链,,15003,1,8,8,3,205,101
15006,,青锋鞋子,,15010,1,10,10,3,206,101
15007,,青锋披肩,,15005,1,12,12,3,207,101
15008,,青锋腰带,,15006,1,14,14,3,208,101
15009,,青锋披风,,15009,1,16,16,3,209,101
15010,,青锋护腕,,15007,1,18,18,3,210,101
15011,,青光头盔,,15012,1,20,20,3,201,102
15012,,青光剑,,15011,1,22,22,3,202,102
15013,,青光衣服,,15014,1,24,24,3,203,102
15014,,青光戒指,,15018,1,26,26,3,204,102
15015,,青光项链,,15013,1,28,28,3,205,102
15016,,青光鞋子,,15020,1,30,30,3,206,102
15017,,青光披肩,,15015,1,32,32,3,207,102
15018,,青光腰带,,15016,1,34,34,3,208,102
15019,,青光披风,,15019,1,36,36,3,209,102
15020,,青光护腕,,15017,1,38,38,3,210,102
15021,,玄冰头盔,,15022,1,40,40,3,201,103
15022,,玄冰剑,,15021,1,42,42,3,202,103
15023,,玄冰衣服,,15024,1,44,44,3,203,103
15024,,玄冰戒指,,15028,1,46,46,3,204,103
15025,,玄冰项链,,15023,1,48,48,3,205,103
15026,,玄冰鞋子,,15030,1,50,50,3,206,103
15027,,玄冰披肩,,15025,1,52,52,3,207,103
15028,,玄冰腰带,,15026,1,54,54,3,208,103
15029,,玄冰披风,,15029,1,56,56,3,209,103
15030,,玄冰护腕,,15027,1,58,58,3,210,103
15031,,赤焰头盔,,15032,1,60,60,3,201,104
15032,,赤焰剑,,15031,1,62,62,3,202,104
15033,,赤焰衣服,,15034,1,64,64,3,203,104
15034,,赤焰戒指,,15038,1,66,66,3,204,104
15035,,赤焰项链,,15033,1,68,68,3,205,104
15036,,赤焰鞋子,,15040,1,70,70,3,206,104
15037,,赤焰披肩,,15035,1,72,72,3,207,104
15038,,赤焰腰带,,15036,1,74,74,3,208,104
15039,,赤焰披风,,15039,1,76,76,3,209,104
15040,,赤焰护腕,,15037,1,78,78,3,210,104
15041,,飞虎头盔,,15042,1,80,80,3,201,105
15042,,飞虎剑,,15041,1,82,82,3,202,105
15043,,飞虎衣服,,15044,1,84,84,3,203,105
15044,,飞虎戒指,,15048,1,86,86,3,204,105
15045,,飞虎项链,,15043,1,88,88,3,205,105
15046,,飞虎鞋子,,15050,1,90,90,3,206,105
15047,,飞虎披肩,,15045,1,92,92,3,207,105
15048,,飞虎腰带,,15046,1,94,94,3,208,105
15049,,飞虎披风,,15049,1,96,96,3,209,105
15050,,飞虎护腕,,15047,1,98,98,3,210,105
15051,,秋鸿头盔,,15042,1,100,100,3,201,106
15052,,秋鸿剑,,15041,1,102,102,3,202,106
15053,,秋鸿衣服,,15044,1,104,104,3,203,106
15054,,秋鸿戒指,,15048,1,106,106,3,204,106
15055,,秋鸿项链,,15043,1,108,108,3,205,106
15056,,秋鸿鞋子,,15050,1,110,110,3,206,106
15057,,秋鸿披肩,,15045,1,112,112,3,207,106
15058,,秋鸿腰带,,15046,1,114,114,3,208,106
15059,,秋鸿披风,,15049,1,116,116,3,209,106
15060,,秋鸿护腕,,15047,1,118,118,3,210,106
15061,,血蚀头盔,,15052,1,120,120,3,201,107
15062,,血蚀刀,,15051,1,122,122,3,202,107
15063,,血蚀衣服,,15054,1,124,124,3,203,107
15064,,血蚀戒指,,15058,1,126,126,3,204,107
15065,,血蚀项链,,15053,1,128,128,3,205,107
15066,,血蚀鞋子,,15060,1,130,130,3,206,107
15067,,血蚀披肩,,15055,1,132,132,3,207,107
15068,,血蚀腰带,,15056,1,134,134,3,208,107
15069,,血蚀披风,,15059,1,136,136,3,209,107
15070,,血蚀护腕,,15057,1,138,138,3,210,107
15071,,噬魂头盔,,15052,1,140,140,3,201,108
15072,,噬魂刃,,15051,1,142,142,3,202,108
15073,,噬魂衣服,,15054,1,144,144,3,203,108
15074,,噬魂戒指,,15058,1,146,146,3,204,108
15075,,噬魂项链,,15053,1,148,148,3,205,108
15076,,噬魂鞋子,,15060,1,150,150,3,206,108
15077,,噬魂披肩,,15055,1,152,152,3,207,108
15078,,噬魂腰带,,15056,1,154,154,3,208,108
15079,,噬魂披风,,15059,1,156,156,3,209,108
15080,,噬魂护腕,,15057,1,158,158,3,210,108
15081,,乾坤头盔,,15062,1,160,160,3,201,109
15082,,乾坤扇,,15061,1,162,162,3,202,109
15083,,乾坤衣服,,15064,1,164,164,3,203,109
15084,,乾坤戒指,,15068,1,166,166,3,204,109
15085,,乾坤项链,,15063,1,168,168,3,205,109
15086,,乾坤鞋子,,15070,1,170,170,3,206,109
15087,,乾坤披肩,,15065,1,172,172,3,207,109
15088,,乾坤腰带,,15066,1,174,174,3,208,109
15089,,乾坤披风,,15069,1,176,176,3,209,109
15090,,乾坤护腕,,15067,1,178,178,3,210,109
15091,,九龙头盔,,15062,1,180,180,3,201,110
15092,,九龙扇,,15061,1,182,182,3,202,110
15093,,九龙衣服,,15064,1,184,184,3,203,110
15094,,九龙戒指,,15068,1,186,186,3,204,110
15095,,九龙项链,,15063,1,188,188,3,205,110
15096,,九龙鞋子,,15070,1,190,190,3,206,110
15097,,九龙披肩,,15065,1,192,192,3,207,110
15098,,九龙腰带,,15066,1,194,194,3,208,110
15099,,九龙披风,,15069,1,196,196,3,209,110
15100,,九龙护腕,,15067,1,198,198,3,210,110
15101,,星落头盔,,15072,1,200,200,3,201,111
15102,,星落钉耙,,15071,1,202,202,3,202,111
15103,,星落衣服,,15074,1,204,204,3,203,111
15104,,星落戒指,,15078,1,206,206,3,204,111
15105,,星落项链,,15073,1,208,208,3,205,111
15106,,星落鞋子,,15080,1,210,210,3,206,111
15107,,星落披肩,,15075,1,212,212,3,207,111
15108,,星落腰带,,15076,1,214,214,3,208,111
15109,,星落战旗,,15079,1,216,216,3,209,111
15110,,星落护腕,,15077,1,218,218,3,210,111
15111,,逐日头盔,,15072,1,220,220,3,201,112
15112,,逐日钉耙,,15071,1,222,222,3,202,112
15113,,逐日衣服,,15074,1,224,224,3,203,112
15114,,逐日戒指,,15078,1,226,226,3,204,112
15115,,逐日项链,,15073,1,228,228,3,205,112
15116,,逐日鞋子,,15080,1,230,230,3,206,112
15117,,逐日披肩,,15075,1,232,232,3,207,112
15118,,逐日腰带,,15076,1,234,234,3,208,112
15119,,逐日战旗,,15079,1,236,236,3,209,112
15120,,逐日护腕,,15077,1,238,238,3,210,112
15121,,狱焰头盔,,15082,1,240,240,3,201,113
15122,,狱焰剑,,15081,1,242,242,3,202,113
15123,,狱焰衣服,,15084,1,244,244,3,203,113
15124,,狱焰戒指,,15088,1,246,246,3,204,113
15125,,狱焰项链,,15083,1,248,248,3,205,113
15126,,狱焰鞋子,,15090,1,250,250,3,206,113
15127,,狱焰披肩,,15085,1,252,252,3,207,113
15128,,狱焰腰带,,15086,1,254,254,3,208,113
15129,,狱焰披风,,15089,1,256,256,3,209,113
15130,,狱焰护腕,,15087,1,258,258,3,210,113
18001,,青锋头盔,,15002,1,1,1,3,201,100
18002,,青锋剑,,15001,1,1,1,3,202,100
18003,,青锋衣服,,15004,1,1,1,3,203,100
18004,,青锋戒指,,15008,1,1,1,3,204,100
18005,,青锋项链,,15003,1,1,1,3,205,100
18006,,青锋鞋子,,15010,1,1,1,3,206,100
18007,,青锋披肩,,15005,1,1,1,3,207,100
18008,,青锋腰带,,15006,1,1,1,3,208,100
18009,,青锋披风,,15009,1,1,1,3,209,100
18010,,青锋护腕,,15007,1,1,1,3,210,100
18801,,定海神针,,18801,1,1,1,3,202,901
