法宝ID,品质,装备基础属性,技能,技能名称,技能描述,技能显示,技能效果,属性效果
ItemEntry_kn,quality_kn,effects_t,skillId,skillName_s,skillTips_s,skillattt_t,attrEffects_t,skillAttri_t
70007,1,"{'chuanjia',192},{'chuanjiadec',192},{'critratedec',384}",,,与前方队友对敌人造成单体伤害时，有20%几率造成额外6.4%伤害。,,"{""BUFF"",""F86""}",
72006,1,"{'demage',480},{'hitrate',384},{'critratedec',384}",,,每回合结束时，自身生命若低于30%，则下回合开始，我方全体攻击增加2.4%，持续1回合,,"{""BUFF"",""F99""}",
73002,1,"{'hujia',480},{'critrate',384},{'demage',480}",,,第3回合开始，若自身生命高于60%，则本回合内，承担己方全体队友所受到伤害的5%（计入受伤次数）,,"{""BUFF"",""F113""}",
70006,2,"{'demage',960},{'hujia',960},{'dodge',768}",,,使己方全体攻击处于持续掉血（中毒、灼烧等）状态的敌人，额外造成4.4%的伤害。,,"{""BUFF"",""F142"",Tag=""ALLY""}",
71006,2,"{'hujia',960},{'dodge',768},{'critrate',768}",,,对处于持续掉血状态的敌人造成伤害时，有33.33%的几率使其降低8%防御和8%攻击，持续1回合,,"{""BUFF"",""F151""}",
73001,2,"{'demage',960},{'speed',38.4},{'maxhp',7680}",,,自已在本回合内受到的伤害超过生命上限20%时，下回合内，自身左右相邻队友防御提高20.8%，同时两人分担自己受到的所有伤害。,,"{""BUFF"",""F163""}",
71001,3,"{'critdamage',0.072},{'speed',57.6},{'critrate',1152}",,,第3回合开始，自已及左右相邻队友对敌人造成伤害时，有9.6%的几率晕厥敌人1回合。,,"{""BUFF"",""F175""}",
70001,3,"{'maxhp',11520},{'demage',1440},{'hujia',1440}",,,第3回合时，若敌方主位（BOSS）或主角生命低于40%，己方全体攻击增加10.68%，持续至战斗结束,,"{""BUFF"",""F182"",Tag=""ALLY""}",
72001,3,"{'chuanjiadec',576},{'dodge',1152},{'hitrate',1152}",,,在第3回合后，与左右相邻的队友对敌人造成伤害时，有9.6%几率对敌人造成重伤，在2回合内无法恢复生命。,,"{""BUFF"",""F193""}",
73004,3,"{'maxhp',11520},{'hitrate',1152},{'critratedec',1152}",,,反弹12%攻击力的伤害给攻击者。,,"{""BUFF"",""F198""}",
71005,3,"{'demage',1440},{'critrate',1152},{'critdadec',0.072}",,,"我方全体对敌人造成负面状态时，使他们攻击也会降低6.6%,持续1回合",,"{""BUFF"",""F204"",Tag=""ALLY""}",
70012,3,"{'critratedec',1152},{'dodge',1152},{'chuanjiadec',576}",,,自身与前方队友，对处于无法行动（晕厥、冰冻等）状态的人造成伤害时，必定造成暴击且暴击伤害提升25.8%,,"{""BUFF"",""F225""}",
73003,4,"{'demage',1920},{'hitrate',1536},{'chuanjia',768}",,,每回合开始时，有20%的几率嘲讽敌方全体，强制敌人攻击自己，期间自身受到的伤害减少24%，持续1回合,,"{""BUFF"",""F229""}",
71002,4,"{'hujia',1920},{'critrate',1536},{'speed',76.8}",,,自已与前方队友，使用单体攻击对敌人造成伤害时，有18.4%的几率使其陷入混乱，在1回合内攻击自己方的主位,,"{""BUFF"",""F234""}",
70002,4,"{'dodge',1536},{'critratedec',1536},{'chuanjia',768}",,,自身使用单体攻击对敌人造成伤害时，有33.33%的几率使其陷入中毒状态，每回合结束损失4%的生命，持续2回合，触发后冷却2回合,,"{""BUFF"",""F241""}",
70003,4,"{'chuanjiadec',768},{'critrate',1536},{'hitrate',1536}",,,若回合结束时，自身未受到伤害，则对敌方主位造成以27.2%攻击力的真实伤害。,,"{""BUFF"",""F243""}",
71004,4,"{'critrate',1536},{'maxhp',15360},{'critratedec',1536}",,,在第4回合后对敌人造成伤害的同时，有10%几率治疗我方最虚弱的一名队友，恢复59.8%攻击力的生命。,,"{""BUFF"",""F248""}",
72002,4,"{'demage',1920},{'hujia',1920},{'critdadec',0.096}",,,若本回合内，自已受到的攻击超过6次，则在回合结束后，恢复己方全体队友8%攻击力的生命。,,"{""BUFF"",""F253""}",
72003,4,"{'critdadec',0.096},{'critdamage',0.096},{'critratedec',1536}",,,自身死亡时，己方剩余队友下回合必然攻击击杀自己的敌人，若期间击杀了该名敌人，则自身有24%的几率复活并恢复12%的生命。,,"{""BUFF"",""F262""}",
70009,4,"{'hitrate',1536},{'maxhp',15360},{'hujia',1920}",,,己方队友接受治疗时，有40%的几率在下回合获得100%的暴击率，同时暴击伤害增加28%。,,"{""BUFF"",""F272"",Tag=""ALLYMATE""}",
70011,4,"{'demage',1920},{'hitrate',1536},{'critratedec',1536}",,,自已接受治疗时，对敌方随机一人造成本次治疗总值32%的伤害,,"{""BUFF"",""F276""}",
71003,5,"{'critrate',1920},{'chuanjia',960},{'critdamage',0.12}",,,在一个回合内受到的攻击超过5次时，则回合结束后对在本回合内输出最高的一名敌人晕厥2回合。触发后，冷却2回合。,,"{""BUFF"",""F9""}",
70004,5,"{'chuanjia',960},{'hitrate',1920},{'speed',96}",,,第3回合开始，对敌人造成单体伤害时，有33.33%的几率进行3连击。,,"{""BUFF"",""F16""}",
70005,5,"{'critratedec',1920},{'hitrate',1920},{'chuanjiadec',960}",,,与前方队友累计对敌方造成16次伤害时，对敌方全体造成灼烧效果，每回合受到14%的攻击伤害，持续2回合，冷却5回合。,,"{""BUFF"",""F17""}",
70008,5,"{'maxhp',19200},{'dodge',1920},{'demage',2400}",,,攻击低于10%生命的敌人有33%几率进行斩杀；攻击高于10%生命的敌人则有33%几率造成20%额外伤害。,,"{""BUFF"",""F32""}",
72004,5,"{'chuanjiadec',960},{'critratedec',1920},{'speed',96}",,,战斗开始时，自已与前方队友，将攻击对方主位（BOSS），且伤害提高28%，持续2回合，冷却5回合,,"{""BUFF"",""F36""}",
72005,5,"{'critdadec',0.12},{'dodge',1920},{'demage',2400}",,,若你本回合被攻击超过6次，则下回合结束后，恢复己方全体2%的生命，持续2回合。,,"{""BUFF"",""F40""}",
70010,5,"{'critdamage',0.12},{'speed',96},{'chuanjiadec',960}",,,使用单体伤害击杀敌人时，将会随机对另一名敌人造成相同伤害，每回合只触发一次,,"{""BUFF"",""F46""}",
72007,5,"{'dodge',1920},{'chuanjia',960},{'hujia',2400}",,,本回合内，若自身对同一个敌人造成的伤害总额超过己方全体造成伤害总额的40%，则己方全体下回合攻击提升23%,,"{""BUFF"",""F52""}",
