品质,等级,升级需要的经验,属性百分比
quality_kn,level_kn,needExp,percentage
1,0,50,0
1,1,60,0.1
1,2,72,0.2
1,3,86,0.3
1,4,104,0.4
1,5,124,0.5
1,6,149,0.6
1,7,179,0.7
1,8,215,0.8
1,9,258,0.9
1,10,310,1
1,11,372,1.1
1,12,446,1.2
1,13,535,1.3
1,14,642,1.4
1,15,,1.5
2,0,75,0
2,1,90,0.1
2,2,108,0.2
2,3,130,0.3
2,4,156,0.4
2,5,187,0.5
2,6,224,0.6
2,7,269,0.7
2,8,322,0.8
2,9,387,0.9
2,10,464,1
2,11,557,1.1
2,12,669,1.2
2,13,802,1.3
2,14,963,1.4
2,15,,1.5
3,0,113,0
3,1,135,0.1
3,2,162,0.2
3,3,194,0.3
3,4,233,0.4
3,5,280,0.5
3,6,336,0.6
3,7,403,0.7
3,8,484,0.8
3,9,580,0.9
3,10,697,1
3,11,836,1.1
3,12,1003,1.2
3,13,1204,1.3
3,14,1444,1.4
3,15,,1.5
4,0,225,0
4,1,270,0.1
4,2,324,0.2
4,3,389,0.3
4,4,467,0.4
4,5,560,0.5
4,6,672,0.6
4,7,806,0.7
4,8,967,0.8
4,9,1161,0.9
4,10,1393,1
4,11,1672,1.1
4,12,2006,1.2
4,13,2407,1.3
4,14,2889,1.4
4,15,,1.5
5,0,518,0
5,1,621,0.1
5,2,745,0.2
5,3,894,0.3
5,4,1073,0.4
5,5,1288,0.5
5,6,1545,0.6
5,7,1854,0.7
5,8,2225,0.8
5,9,2670,0.9
5,10,3204,1
5,11,3845,1.1
5,12,4614,1.2
5,13,5537,1.3
5,14,6644,1.4
5,15,,1.5
