索引,奖励,随机物品库,权重(魂币),权重(元宝),等级,是否为稀有物品0否1是,第一使用元宝10连抽必中物品(1是0否),只能抽中一次(1是0否),是否极品(1是0否),品质概率
index_kn,prize_t,randItem_t,weight1,weight2,level_n,lucky,first,once,isAcura,quality_t
1,"{""shenhun"",70007,1,0,0,1}","{{""shenhun"",70007,1,0,0,1},100},{{""shenhun"",72006,1,0,0,1},100},{{""shenhun"",73002,1,0,0,1},100}",5333,0,,0,0,0,0,"{1,100},{2,20},{3,100},{4,100},{5,100}"
2,"{""shenhun"",70006,1,0,0,2}","{{""shenhun"",70006,1,0,0,2},100},{{""shenhun"",71006,1,0,0,2},100},{{""shenhun"",73001,1,0,0,2},100}",3333,7111,,0,0,0,0,"{1,100},{2,20},{3,100},{4,100},{5,100}"
3,"{""shenhun"",70001,1,0,0,3}","{{""shenhun"",70001,1,0,0,3},100},{{""shenhun"",70012,1,0,0,3},100},{{""shenhun"",71001,1,0,0,3},100},{{""shenhun"",71005,1,0,0,3},100},{{""shenhun"",72001,1,0,0,3},100},{{""shenhun"",73004,1,0,0,3},100}",1111,2000,,0,0,0,0,"{1,100},{2,20},{3,100},{4,100},{5,100}"
4,"{""shenhun"",70002,1,0,0,4}","{{""shenhun"",70002,1,0,0,4},100},{{""shenhun"",70003,1,0,0,4},100},{{""shenhun"",70009,1,0,0,4},100},{{""shenhun"",70011,1,0,0,4},100},{{""shenhun"",71002,1,0,0,4},100},{{""shenhun"",71004,1,0,0,4},100},{{""shenhun"",72002,1,0,0,4},100},{{""shenhun"",72003,1,0,0,4},100},{{""shenhun"",73003,1,0,0,4},100}",222,667,,1,0,0,1,"{1,100},{2,20},{3,100},{4,100},{5,100}"
5,"{""shenhun"",70004,1,0,0,5}","{{""shenhun"",70004,1,0,0,5},100},{{""shenhun"",70005,1,0,0,5},100},{{""shenhun"",70008,1,0,0,5},100},{{""shenhun"",70010,1,0,0,5},100},{{""shenhun"",71003,1,0,0,5},100},{{""shenhun"",72004,1,0,0,5},100},{{""shenhun"",72005,1,0,0,5},100},{{""shenhun"",72007,1,0,0,5},100}",0,222,,1,0,0,1,"{1,100},{2,20},{3,100},{4,100},{5,100}"
6,"{""shenhun"",70007,1,0,0,1}","{{""shenhun"",70007,1,0,0,1},100},{{""shenhun"",72006,1,0,0,1},100},{{""shenhun"",73002,1,0,0,1},100}",5333,0,,0,0,0,0,"{1,100},{2,20},{3,100},{4,100},{5,100}"
7,"{""shenhun"",70006,1,0,0,2}","{{""shenhun"",70006,1,0,0,2},100},{{""shenhun"",71006,1,0,0,2},100},{{""shenhun"",73001,1,0,0,2},100}",3333,7111,,0,0,0,0,"{1,100},{2,20},{3,100},{4,100},{5,100}"
8,"{""shenhun"",70001,1,0,0,3}","{{""shenhun"",70001,1,0,0,3},100},{{""shenhun"",70012,1,0,0,3},100},{{""shenhun"",71001,1,0,0,3},100},{{""shenhun"",71005,1,0,0,3},100},{{""shenhun"",72001,1,0,0,3},100},{{""shenhun"",73004,1,0,0,3},100}",1111,2000,,0,0,0,0,"{1,100},{2,20},{3,100},{4,100},{5,100}"
9,"{""shenhun"",70002,1,0,0,4}","{{""shenhun"",70002,1,0,0,4},100},{{""shenhun"",70003,1,0,0,4},100},{{""shenhun"",70009,1,0,0,4},100},{{""shenhun"",70011,1,0,0,4},100},{{""shenhun"",71002,1,0,0,4},100},{{""shenhun"",71004,1,0,0,4},100},{{""shenhun"",72002,1,0,0,4},100},{{""shenhun"",72003,1,0,0,4},100},{{""shenhun"",73003,1,0,0,4},100}",222,667,,1,0,0,1,"{1,100},{2,20},{3,100},{4,100},{5,100}"
10,"{""shenhun"",70004,1,0,0,5}","{{""shenhun"",70004,1,0,0,5},100},{{""shenhun"",70005,1,0,0,5},100},{{""shenhun"",70008,1,0,0,5},100},{{""shenhun"",70010,1,0,0,5},100},{{""shenhun"",71003,1,0,0,5},100},{{""shenhun"",72004,1,0,0,5},100},{{""shenhun"",72005,1,0,0,5},100},{{""shenhun"",72007,1,0,0,5},100}",0,222,,1,0,0,1,"{1,100},{2,20},{3,100},{4,100},{5,100}"
11,"{""shenhun"",70007,1,0,0,1}","{{""shenhun"",70007,1,0,0,1},100},{{""shenhun"",72006,1,0,0,1},100},{{""shenhun"",73002,1,0,0,1},100}",0,0,,0,0,0,0,"{1,100},{2,20},{3,100},{4,100},{5,100}"
12,"{""shenhun"",70007,1,0,0,1}","{{""shenhun"",70007,1,0,0,1},100},{{""shenhun"",72006,1,0,0,1},100},{{""shenhun"",73002,1,0,0,1},100}",0,0,,0,0,0,0,"{1,100},{2,20},{3,100},{4,100},{5,100}"
